"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOCC_VESICLE_LUMEN",1.77307009568217e-11,1.16668012295887e-08,0.863415391606693,0.382958010992945,2.07676061219801,308,"ARHGAP9;GHDC;VEGFB;PSMD3;CTSW;STK11IP;BIN2;FERMT3;CFP;ADM;GSDMD;ALDOA;ARHGAP45;MAN2B1;CTSG;S100A9;PFKL;DPP7;IMPDH1;ADA;APRT;ARSA;S100A8;FCN1;PTGES2;FASLG;TOR4A;HSPA6;NAPRT;CDA;CPPED1;C3;NEU1;FGR;ACTR1B;BPI;TEX264;COTL1;TUBB;F5;PRF1;EEF2;ACLY;GMFG;PTPN6;MVP;MAPK14;VAT1;CAT;C1orf35;IMPDH2;HSPA8;DBNL;TGFB1;GZMB;PRSS2;CNN2;VWF;TOLLIP;UNC13D;S100A12;CAMP;RARRES2;RNASE3;GALNS;PSMC3;OLFM4;CHI3L1;RNASET2;B2M;TXNDC5;POMC;GRN;PADI2;GLA;HSP90AB1;ORM1;PGLYRP1;QSOX1;MPO;HP;HK3;JUP;ILF2;MAGED2;DOCK2;NFKB1;PRDX6;GYG1;EEF1A1;RETN;DDX3X;APP;IGF2;LRRC7;OSCAR;PNP;FUCA2;ELANE;VEGFD;CFD;SERPINF2;ALDOC;GTPBP2;ORM2;CYFIP1;ACAA1;SRGN;SERPING1;CYB5R3;CLEC3B;LGALS3BP;CREG1;ADA2;PSMD2;XRCC5;CXCL1;VCP;ALOX5;PSMB7;GHRL;VEGFA;OSTF1;SPARC;GPI;ITIH4;RNASE2;HEBP2;GUSB;PPIE;HPSE;QPCT;COMMD9"
"GOCC_SPECIFIC_GRANULE",5.83634493972063e-09,1.28010499011206e-06,0.761460801445585,0.435413708802865,2.19868074545621,154,"MMP25;ITGAL;GHDC;STK10;STXBP2;DGAT1;SLC2A3;ADAM8;CFP;GSDMD;CD177;TOM1;TNFRSF1B;SLC15A4;CEACAM3;BST1;TRPM2;NEU1;KCNAB2;TMC6;BPI;LAMTOR1;PTPN6;CKAP4;ITGB2;CNN2;TOLLIP;CYBA;SLC2A5;CAMP;ADGRG3;OLFM4;CHI3L1;GPR84;B2M;AP1M1;ORM1;PGLYRP1;QSOX1;FCAR;ORMDL3;HP;JUP;ILF2;AGPAT2;DOCK2;RAB37;STX4;NFKB1;CD33;RETN;LRRC7;OSCAR;TMBIM1;HMOX2;HVCN1;ELANE;ITGAM;CD53;ORM2;CYFIP1;ACAA1;CD36;PLAU;RAP2B;LAMTOR2;CXCL1;LAIR1;SLC44A2;CLEC4D;HPSE;QPCT;AOC1;PLAUR;TSPAN14"
"GOCC_FICOLIN_1_RICH_GRANULE",5.0134526829422e-09,1.28010499011206e-06,0.761460801445585,0.425507311244441,2.13980304731604,174,"TBC1D10C;PSMD3;BIN2;SLC2A3;ADAM8;GSDMD;ALDOA;CD300A;PFKL;IMPDH1;LILRB2;FCN1;PDAP1;HSPA6;NBEAL2;CDA;TRPM2;ACTR1B;PLEKHO2;ARL8A;COTL1;EEF2;LAMTOR1;ACLY;GMFG;CAPN1;MVP;MAPK14;TCIRG1;CAT;C1orf35;IMPDH2;ITGB2;HSPA8;KRT1;DBNL;DOK3;APEH;SIRPA;GAA;PSMC3;HBB;CTSS;PGM1;HSP90AB1;FCAR;HK3;JUP;ILF2;ATAD3B;GYG1;EEF1A1;MMP9;DDX3X;PNP;FCER1G;SIGLEC5;ADGRE3;STBD1;CFD;ALDOC;AP2A2;DIAPH1;PSMD2;VCP;ALOX5;PSMB7;DYNC1LI1;OSTF1;GPI;VPS35L;CLEC4D;COMMD3;GUSB;PPIE;QPCT;COMMD9;MGAM;ITGAX;SLC11A1;PSMB1;CANT1"
"GOCC_EARLY_ENDOSOME",2.87900928138148e-08,3.78877621429802e-06,0.73376198835648,0.316609635750186,1.77158063487944,425,"WDR81;PTPN23;EHD1;MIB2;AKT2;VPS16;TICAM1;CORO1A;CACFD1;ABCA7;CLN6;ARAP1;TMEM108;SPHK1;DYSF;TOM1;PHETA1;TBC1D16;SNX8;SH3GL1;HLA-B;HLA-E;SLC15A4;LRP1;PLD4;CD8B;FCMR;HPS6;MAP2K2;RAB11FIP5;RABEP2;GGA3;CD22;LLGL1;GGA1;ZFYVE28;AP1B1;RIN3;SNX21;NIPA1;UBXN6;MLC1;FGD5;CCDC154;PLEKHF1;ARC;AP3D1;ACKR1;NEURL3;MME;FLOT1;PTP4A3;PLA2G4B;NEURL1B;PML;TM9SF4;HYAL3;SNX12;DBNL;MARCHF3;PLD3;RUSC1;ANKRD13B;RAB5C;VPS28;RCC2;VPS18;DAGLA;ADRB2;PI4K2A;TOLLIP;PHETA2;MGRN1;HGS;CYTIP;SNX17;CLEC10A;SNX20;HLA-F;RAB32;EHD2;MAPK3;TGFBRAP1;GRIPAP1;B2M;AP1M1;PLEKHJ1;BOK;RHOB;HAP1;RHOD;PCSK9;WASHC2A;KCNH1;VPS11;MVB12B;ACKR3;CLIP3;TPCN1;CTNS;STX8;VPS4A;LITAF;GGA2;WASHC1;AOC3;SORCS2;CD4;SLC9A9;ARRDC3;RAB20;APP;VIPAS39;ABCB9;GATD1;SNX32;VAC14;TACR1;NISCH;RAPGEF1;ATP6V0D1;SLC39A14;STEAP4;EHD4;IGF2R;VPS26B;IFITM3;HLA-DRA;NME1;FGD2;VPS33B;CXCR4;SNX19;WASF2;BLOC1S1;WNT3A;RUFY1;AP1S1;NTRK1;GPNMB"
"GOCC_CELL_SUBSTRATE_JUNCTION",2.65256554877385e-08,3.78877621429802e-06,0.73376198835648,0.316539541724006,1.7605651044055,403,"BCAR1;GAK;SORBS3;SLC4A2;HSPA5;FZD2;FERMT3;GIT1;FES;ARHGAP22;AMBRA1;CORO1B;ZYX;PI4KA;PRAG1;TRIOBP;LIMK1;VASP;TGM2;LRP1;BCAR3;PLEC;SCARF2;RPS18;MAP2K2;PTK2B;HYOU1;PEAK3;MRC2;GNB2;SLC9A1;PDGFRB;EVL;FLOT2;TSPAN4;ASAP3;RPS3;DNM2;THSD1;CORO2B;RHOG;LASP1;RPS9;PDLIM2;ATAT1;FLII;SHC1;MME;EFS;FLOT1;CAPN1;MMP14;RAC2;TSPAN9;TRIP6;CAT;TGFB1I1;CDC42EP1;ITGA2B;ITGB2;HSPA8;GNA12;NECTIN2;RPLP0;MYH9;APBB1IP;CNN2;FHL3;CYBA;ITGB1BP1;TNS2;RPS11;MAPK3;STARD8;CD99L2;HCK;PARVG;RPS15;MARCKS;B2M;ADGRE5;RPS2;NPM1;RSU1;RHOB;CASS4;L1CAM;CTTN;RPL7A;DLC1;JUP;RPL3;GJA1;MAP4K4;ANXA6;SLC6A4;PTPRC;ARF1;PAK4;TLN2;ARPC5L;HSPG2;MSN;RPL31;TLN1;SH3KBP1;IGF2R;HSPB1;PPP1CC;RPLP2;LIMS2;LCP1;EPHA2;MPZL1;RPS16;HSPA9;RPS19"
"GOCC_RNA_POLYMERASE_II_TRANSCRIPTION_REGULATOR_COMPLEX",3.81171475546779e-08,4.18018051516301e-06,0.719512826338911,0.364810559428621,1.92290371463991,242,"JUN;JUNB;DEAF1;RUNX3;BCL9L;NOTCH1;TEAD2;MED24;ATF4;BMAL1;ATXN7L3;MYCN;RXRA;FOS;ERCC2;MED15;THRA;ATF6B;DRAP1;MED22;MED16;STAT6;TAF6L;TCF3;NPAS2;TRIM28;ATF5;NFIL3;BATF;RXRB;RARA;BATF3;NCOA1;MAFB;PPARD;CEBPE;MED27;NR1H2;STAT5B;JUND;ASCL2;GTF2F1;TCF7;RARG;ATF3;MED25;MAFG;PSPC1;DDIT3;BATF2;STAT5A;MYC;E2F4;MED26;JDP2;CEBPB;MED30;BCL9;TLE3;CREB3;RFXANK;NFYC;MAFF;STAT3;SFPQ;TCF7L1;TADA3;TLE1;LMO4;MMS19;MXD3;E2F6;TFDP1;NR1H4;TAF4;TAF6;FOSL1;NONO;CHD4;LIN37;LDB1;CEBPA;RXRG;NFE2;CEBPD;NR1H3;SMAD1;ARNT;NFE2L1;KAT2A;MLXIPL;PYGO2"
"GOCC_PLASMA_MEMBRANE_SIGNALING_RECEPTOR_COMPLEX",6.74565590484565e-08,6.34091655055491e-06,0.704975715167238,0.385787721906978,1.97690716528595,197,"IL2RB;CD6;ITGAL;PORCN;DLG4;TRBC1;TRGV4;CHRNE;EMILIN1;ZAP70;TYK2;TRAF2;CD8A;LIME1;IL12RB1;NRN1;CD8B;CPT1C;TRAV12-2;CD247;PTK2B;IL2RG;TRBC2;TSPAN32;CXCL8;BMP2;TRAC;GRIN2C;GP1BA;ACKR1;IL1B;CHRNA1;CD3D;CD3E;PTPN6;OLFM2;IL12A;ITGA2B;GRIK4;ITGB2;IL6;TGFB1;GRIN2D;HTR3C;TRDC;APBB1IP;TRGC1;RARRES2;CMKLR1;TFR2;CXCR2;SKAP1;RAMP3;IL4R;B2M;IL23A;TRAV13-1;CSF2RB;ITGAE;ACVRL1;TGFBR2;RAMP2;CXCR1;CD79B;CD4;ITGA7;CNTFR;GP9;GRIN2A;CD3G;CD40;GPR156;GRID1"
"GOCC_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE",1.23335628882414e-07,1.01443554755786e-05,0.690132458796796,0.329059923906921,1.80136676917183,334,"LAG3;CD244;IL2RB;BTN3A2;ICOSLG;ULBP3;CD248;CX3CR1;CD8A;TNFRSF11A;CSF3R;IL12RB1;ADA;HLA-B;HLA-DRB1;HLA-E;TNFRSF14;FCGRT;BTNL3;ASGR2;TNFRSF4;FCRL6;FCN1;CD5;BTN3A1;IL2RG;CEACAM21;CXCR3;CD22;CCR7;CLEC4M;GP1BA;ASGR1;CLPTM1;SELL;CD3D;FLOT1;CD69;CD3E;CLEC4A;SLC7A5;CD83;TNFRSF18;ITGA2B;RAET1G;ITGB2;ADGRE1;CLEC14A;CD14;RTN4RL2;CCR5;ROBO4;CD163L1;TNFRSF9;BTN3A3;CLEC10A;SEMA7A;HLA-F;TFR2;CD2;CD1B;CXCR2;IL4R;B2M;FCRL1;GHR;PRND;PCSK9;BTN2A2;ATP1B2;CSF2RB;ACKR3;IGSF21;SLAMF7;FCGR3B;TLR8;CD33;CD19;ITGAE;S1PR1;RTN4R;IL21R;TGFBR2;CXCR1;CD79B;FOLR2;CD4;PTPRC;CLEC6A;GFRA2;CNTFR;APP;CD209;STAB2;IL1RL1;BCAM;CLEC4E;FCER1G;CCRL2;LILRB1;CD3G;ABCG1;CD40;CXCL9;CTSK;CXCR4;FAS;ITGAM;F10;MILR1;ULBP2;CD36;CD79A;NRCAM;PDCD1LG2;FCRLA;SLC4A3;CD276;BTNL8;PLAU;VCAM1;CLEC17A;IL23R;CD1D;TGFBR3"
"GOCC_VACUOLAR_LUMEN",1.77077396633279e-07,1.2946325220522e-05,0.690132458796796,0.400385591156485,2.01448524220279,166,"NAGLU;SGSH;STK11IP;ARHGAP45;MAN2B1;CTSG;DPP7;IMPDH1;ARSA;IFI30;PTGES2;FASLG;PDGFRB;NAPRT;CPPED1;C3;NEU1;BPI;TUBB;PRF1;AGRN;IDUA;ACLY;VAT1;CSF3;HSPA8;PLD3;GZMB;PRSS2;TOLLIP;UNC13D;GAA;RNASE3;GALNS;PSAP;GBA1;SMPD1;ATP13A2;RNASET2;TXNDC5;NAAA;CTSS;GRN;PADI2;GLA;MPO;GPC1;FMOD;SNRNP70;PRDX6;GYG1;CSPG5;RETN;GPC2;HSPG2;ACP2;CTSK;FUCA2;ELANE;CHID1;ORM2;CYB5R3;DCN;CREG1;ADA2;VCP;CD74;RNASE2;HEBP2;GUSB;HPSE;GPC3;LUM;PRTN3;SDCBP;MNDA;PLBD2;ARG1;PRELP;CCT2;GLB1;MANBA;FABP5"
"GOCC_ENDOCYTIC_VESICLE",3.26520514942184e-07,2.14850498831957e-05,0.674962860011025,0.31869371935391,1.74633705089199,343,"HLA-DQA2;DVL2;EHD1;NCF1;DLG4;UBC;CORO1A;FMNL1;STXBP2;SCARF1;WAS;SLC2A8;FZD2;ADAM8;AP2A1;SPHK1;RAB43;DYSF;RAB35;AMBRA1;ZYX;NCF4;CSF3R;HLA-B;HCLS1;HLA-DRB1;HLA-E;LRP1;PLEKHG5;PLD4;HLA-DQA1;RIN1;RAB11FIP5;HYOU1;PIK3C2B;HLA-DQB1;FLOT2;MCOLN1;HLA-DQB2;RIN3;VPS9D1;DNM2;ARRB2;SLC48A1;TAP1;SCARB1;LPAR2;WNT7A;CD3D;RAC2;ROR2;TCIRG1;CSF3;RAB5C;SMO;ADRB2;HBEGF;CYBA;HGS;HLA-F;RAB32;EHD2;STAB1;AVPR2;DNM1;CD82;B2M;HBB;CTSS;ARRB1;RINL;NLGN3;PGLYRP1;VPS11;CTTN;CDC42EP4;MPO;HP;STX8;PICK1;STX4;RAB24;RILP;SYT7;ZDHHC5;ATP6V0B;CD4;SLC9A9;MPEG1;RAB20;STAB2;RAB11B;GNLY;ATP6V0D1;CLEC4E;PIP4P1;RAB34;EHD4;SH3KBP1;IGF2R;CD3G;VPS26B;NOD2;HLA-DRA;HVCN1;CLTB;TLR7;HLA-DRB5;ELANE"
