"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOMF_NUCLEOSIDE_TRIPHOSPHATASE_REGULATOR_ACTIVITY",2.35457548720355e-14,2.50055916741017e-11,0.97599468306432,0.367131735069658,2.08874662233763,465,"DENND1C;GPSM3;RGS14;RASAL3;JUN;ARHGAP9;TBC1D10C;SBF1;SH3BP1;ARHGAP17;AGAP2;RASGRP4;EVI5L;GMIP;RGS19;ARHGEF40;WAS;SIPA1;FGD3;ARAP1;TNK2;RAB3IL1;ARHGEF1;GIT1;ARHGAP45;GPS1;VAV1;ARHGAP22;ACAP1;TBC1D16;TBC1D9B;AGFG2;TSC2;RALGDS;ARFGAP1;RASA3;PLEKHG3;RGL4;PLEKHG4;RANBP10;PLEKHG5;FLCN;BCAR3;CYTH4;MON1A;RIN1;ARHGAP30;RABEP2;ARHGAP4;DENND4B;RGS16;PDGFRB;ADAP1;SYDE1;LLGL1;NPRL3;GBF1;TAGAP;TBC1D10B;ARHGAP25;PREB;ARHGEF18;ASAP3;RIC8A;RIN3;VPS9D1;FGD5;ARHGAP19;SH3BP5L;PREX1;RCC1;ACAP3;TBC1D17;LAMTOR1;AGAP3;ARHGAP27;LAMTOR4;DEF6;DENND1A;ARFGAP2;RASA4B;SESN2;RGL2;RASGRP2;ARHGAP28;IQSEC2;ARHGEF15;RCC1L;ARHGEF10L;RTKN;ARHGDIA;SH2D3C;HPS1;TBXA2R;RCC2;BCR;ITGB1BP1;RASA4;ELMO2;SIRPA;ELMO1;TBC1D13;NUCB1;ARHGEF11;DNAJA3;TBC1D10A;STARD8;MADD;MYO9B;SERGEF;GRIPAP1;SRGAP2B;ARHGAP20;DOCK6;ARHGEF17;CYTH2;RGS3;NPRL2;TBC1D25;ARRB1;RINL;RHOD;PDE6D;CYTH1;SYNGAP1;PLEKHG2;VAV2;CHN1;PSD4;SEC61B;DENND2B;DLC1;ARHGAP15;GDI1;RASGEF1A;TBC1D22A;DOCK2"
"GOMF_RNA_POLYMERASE_II_SPECIFIC_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING",1.44349588285716e-10,5.10997542531433e-08,0.826657301178302,0.364153373859327,1.99087535529514,322,"JUN;SETD1A;PKN1;E4F1;MED24;ATF4;BMAL1;ARID5A;RXRA;FOS;WWP2;LMO2;CITED2;ID2;MED16;RNF25;AIP;MED12;GATA3;TCF3;HCLS1;BRMS1;MAD2L2;SMARCD3;HNF4A;TCF23;ZFPM1;NFKBIA;KEAP1;WBP2;NCOA1;EOMES;PPARD;ELK1;OASL;NCOR2;PHB2;NR1H2;HIRA;STING1;EGR2;STAT5B;JUND;TRIB1;CRY1;MEF2D;DDX54;CREBBP;SMARCB1;RARG;CPNE1;ID4;FOXP3;SMARCA4;MAPK14;HDAC5;TRIP6;CTDP1;KLF4;TGFB1I1;PAGR1;FIZ1;TRERF1;MED25;RELA;KAT8;TRIP4;DDIT3;DACT1;TCF21;KDM5D;DMAP1;DNAJA3;SPI1;ARID1A;TP53;ASXL1;CEBPB;MED30;NPM1;MTA1;PADI2;DHX9;DNAJA1;NR4A1;JUP;BHLHE40;KDM4C;ETS1;SRF;PARP1;PARK7;HDAC1;STAT3;SOX17;TADA3;MMS19;RERG;NR1H4;GFI1B;TAF4;TAF6;NCOA7;SP3;HSPB1;COMMD7;CHD4;TBX6;LDB1;CEBPA;PDCD11;DAXX;FKBP4;NOTCH2;ZFPM2;NR0B2;ARNT;BAZ2A;FOXA2;ADD1;ANKRD2;MLXIPL"
"GOMF_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING",1.07682091290169e-10,5.10997542531433e-08,0.839088935621274,0.334771279697402,1.89965775714257,450,"PARP10;MAP3K10;JUN;CRTC2;SETD1A;SYVN1;PKN1;HDAC7;E4F1;DGKQ;SIK1;USF2;MED24;ATF4;BMAL1;ARID5A;RXRA;FOS;WWP2;LMO2;CITED2;ID2;MED16;RNF25;AIP;MED12;GATA3;TCF3;HCLS1;BRMS1;MAD2L2;ZBTB17;SMARCD3;HNF4A;TCF23;ZFPM1;NFKBIA;BCL6;KEAP1;WBP2;NCOA1;EOMES;ZNF703;PPARD;ELK1;RPS3;OASL;NOC2L;PSMD9;NCOR2;FOXO4;PHB2;SIRT2;NR1H2;HIRA;STING1;EGR2;PBX2;STAT5B;JUND;ASCL2;TRIB1;CRY1;MEF2D;DDX54;CREBBP;SMARCB1;ZNF653;RARG;CPNE1;CRTC1;PSMC5;ID4;FOXP3;SMARCA4;MAPK14;PTMA;HDAC5;TRIP6;CTDP1;KLF4;TGFB1I1;PAGR1;FIZ1;TRERF1;MED25;RELA;KAT8;TRIP4;DDIT3;DACT1;TCF21;STAT5A;MYC;KDM5D;DMAP1;DNAJA3;MAPK3;SPI1;ARID1A;EBF4;TP53;ASXL1;NAAA;CEBPB;MED30;NPM1;DAPK3;MTA1;PADI2;DHX9;DNAJA1;CREB3;NR4A1;JUP;BHLHE40;KDM4C;HCFC1;ETS1;SRF;PARP1;PARK7;HDAC1;BCL3;TBX2;STAT3;SOX17;TADA3;TLE1;NFE4;LMO4;MMS19;RERG;TFDP1;NR1H4;GFI1B;TAF4;TAF6;CRTC3;NCOA7;WFS1;SP3;HSPB1;COMMD7;CHD4;TBX6;LDB1;CEBPA;PDCD11;DAXX;ID3;FKBP4;NOTCH2;ZFPM2;USF1;NR0B2;ARNT;DAZAP2;BAZ2A;FOXA2;KAT2A;ADD1;ANKRD2;MLXIPL"
"GOMF_GTPASE_ACTIVATOR_ACTIVITY",2.25594562435027e-09,5.98953563264997e-07,0.774939030136436,0.375643219755678,2.01012714271182,250,"RGS14;RASAL3;JUN;ARHGAP9;TBC1D10C;SH3BP1;ARHGAP17;AGAP2;EVI5L;GMIP;RGS19;SIPA1;ARAP1;ARHGEF1;GIT1;ARHGAP45;ARHGAP22;ACAP1;TBC1D16;TBC1D9B;AGFG2;TSC2;ARFGAP1;RASA3;FLCN;RIN1;ARHGAP30;RABEP2;ARHGAP4;RGS16;PDGFRB;ADAP1;SYDE1;LLGL1;NPRL3;TAGAP;TBC1D10B;ARHGAP25;ASAP3;RIN3;VPS9D1;ARHGAP19;PREX1;ACAP3;TBC1D17;AGAP3;ARHGAP27;ARFGAP2;RASA4B;ARHGAP28;ARHGEF15;ARHGEF10L;ARHGDIA;BCR;RASA4;TBC1D13;ARHGEF11;TBC1D10A;STARD8;MYO9B;SRGAP2B;ARHGAP20;RGS3;NPRL2;TBC1D25;ARRB1;RINL;SYNGAP1;CHN1;DLC1;ARHGAP15;GDI1;TBC1D22A;DOCK2"
"GOMF_IMMUNE_RECEPTOR_ACTIVITY",2.22218426497067e-08,4.58257628583387e-06,0.73376198835648,0.439733228670882,2.16694011266247,142,"HLA-DQA2;IL2RB;LILRA2;NCR3;GPR35;CX3CR1;LILRA1;CSF3R;IL12RB1;EBI3;LILRB2;HLA-DQA1;FCMR;CD247;IL2RG;CXCR3;LILRB4;HLA-DQB1;HLA-DQB2;CCR7;TRAC;LILRA5;CD3D;CD3E;IL10RA;IL27RA;CCR5;IL17RA;CMKLR1;IL17RC;CXCR2;IL4R;HLA-DOA;GHR;FCAR;CSF2RB;ACKR3;C5AR1;FCGR3B;IL21R;CXCR1;CD4;GFRA2;CNTFR;GPR25;CR2;IL1RL1;IL17RE;FCER1G;CCRL2;LILRB1;CD3G;KLRF1;CXCR4"
"GOMF_PEPTIDE_BINDING",2.58902615018863e-08,4.58257628583387e-06,0.73376198835648,0.393396397578254,2.02957481533113,191,"HLA-DQA2;APBA3;PEX5;RXRA;EPHB2;HLA-B;HLA-DRB1;HLA-E;FCGRT;LRP1;ACHE;LILRB2;HLA-DQA1;TRAV12-2;NFKBIA;APBA2;HLA-DQB1;MAPK8IP2;HLA-DQB2;PFDN6;TIMM22;TAP1;SCARB1;CLEC4M;MME;NLRP6;NMUR1;SLC7A5;NGFR;SLC7A8;ITGB2;LDLRAD3;RELA;ADRB2;LRPAP1;HLA-F;SEC61A1;CMA1;TUBB3;GPRASP2;RAMP3;B2M;HLA-DOA;SSTR4;MAS1;RPS6KB2;HSP90AB1;FNTB;POM121;COL25A1;ITM2A;APBB1;SSTR1;POM121C;APBB3;CD209;BABAM2;HSPG2;GRIN2A;NUP214;LILRB1;HLA-DRA;CRIP1;CLTB;HLA-DRB5;ITGAM;FBXO2;DLGAP3;AP2M1;CD36;NUP98;TAPBP;LILRB3;HLA-DMB;AGER;CD74;KDELR2;HLA-DPA1;CALR;C1QA;TLR6;FURIN;HLA-DPB1;MCHR1;SRP68;GRIN2B;ITM2B;HLA-DMA"
"GOMF_TRANSCRIPTION_COACTIVATOR_ACTIVITY",2.49021297147748e-07,3.77800882244155e-05,0.674962860011025,0.346166341079303,1.86746040520414,281,"CRTC2;TRIM62;PKN1;BCL9L;NOTCH1;MRTFA;MED24;ATXN7L3;NFKBIB;ABT1;LMO2;CITED2;ZMIZ1;MED16;AIP;MED12;CAMTA2;TAF6L;ZMIZ2;SMARCD3;FUS;TRIM28;ATN1;RBCK1;WBP2;TRIM25;NCOA1;HELZ2;PSMD9;MED27;STING1;AATF;JUND;SMARCD1;DYRK1B;PQBP1;ZXDC;CREBBP;SMARCB1;SRA1;CRTC1;CCDC124;SMARCA4;TOX2;PML;TGFB1I1;APEX1;IRF4;FIZ1;TRERF1;RELA;KAT8;NOTCH4;RRP1;PHF2;TRIP4;PMF1;SRCAP;RIPK3;MED26;PPRC1;ARID1A;SERTAD1;SMARCA2;DTX1;ASXL1;KMT2D;RBM14;MED30;NPM1;MTA1;ARRB1;DHX9;BCL9;EDF1;TLE3;APBB1;SSBP4;JUP;ING4;KDM4C;HCFC1;PARK7;TADA2B;BCL3;SSBP3;TADA3;ABL1;PUS1;MMS19;TRIM8;TAF6;CRTC3;NCOA7;CITED4;MAGED1;LDB1;DAXX;RERE;SMARCD2;WNT3A;NIBAN2;NOTCH2;ZFPM2"
"GOMF_MOLECULAR_SEQUESTERING_ACTIVITY",5.76515186366527e-07,7.65323909901564e-05,0.659444398037935,0.497921969159085,2.21940533890102,80,"TSSC4;NAGLU;NFKBIE;STK11IP;HSPA5;TMC8;MDFI;TARBP2;SQSTM1;C1R;TMSB4Y;NFKBIA;RBCK1;NOSIP;CDKN1A;DBN1;SUFU;EPN1;SESN2;CD69;SLC39A4;INSIG1;SMO;MGRN1;TMSB10;SPI1"
"GOMF_PROTEIN_SEQUESTERING_ACTIVITY",6.64696566511483e-07,7.8434194848355e-05,0.659444398037935,0.571508403118548,2.34574419081164,53,"NFKBIE;STK11IP;HSPA5;TMC8;MDFI;TARBP2;SQSTM1;TMSB4Y;NFKBIA;RBCK1;CDKN1A;DBN1;SUFU;SESN2;INSIG1;SMO;MGRN1;TMSB10;SPI1"
"GOMF_DNA_BINDING_TRANSCRIPTION_ACTIVATOR_ACTIVITY",1.04179034896753e-06,0.000110638135060352,0.643551836150722,0.312760217816156,1.71815889489014,349,"JUN;HSF1;JUNB;TBX21;E4F1;USF2;ATF4;MEOX2;ZNF784;MYCN;FOS;GLIS2;ATF6B;ZBTB7B;STAT6;ZNF341;TFAP4;KLF6;GATA3;TCF3;NFKB2;ZBTB17;HNF4A;ATF5;TFE3;ZNF76;BATF;THAP11;ZFAT;SPIB;SOX12;RXRB;ESRRA;MAFB;ELK1;RPS3;CEBPE;FOXO4;NR1H2;EGR2;PBX2;STAT5B;JUND;HOXA5;ASCL2;NRF1;IRF3;SOX4;EGR1;FOXP3;HOXB5;MSX1;CREB3L1;HDAC5;KLF4;ZNF71;ATF3;ZFY;IRF4;MAFG;RELA;ELF4;DDIT3;TCF21;STAT5A;IRF1;MYC;E2F4;SPI1;SALL2;SREBF1;GLI1;EBF4;TP53;CEBPB;EGR3;REPIN1;MEIS3P1;CREB3;ZNF212;RFXANK;NR4A1;WT1;NFYC;NFKB1;ETS1;CDX1;LITAF;SRF;MAFF;STAT3;SOX17;TFAP2E;HNF1A;PAX5;TFEB;MEIS3;SOX7;TFDP1;NR1H4;GFI1B;SPIC;PRDM4;FLI1;FOXF2;ZNF580;CEBPA;FOXD2;CEBPD;NR1H3;CSRNP1;ZNF143;USF1;IRF5;SMAD1;FOSB;NFE2L1;ELF1;FOXA2;HOXD8;KLF13;MLXIPL"
