"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"KEGG_CHEMOKINE_SIGNALING_PATHWAY",5.2144271533656e-09,9.59454596219271e-07,0.761460801445585,0.417347421986628,2.07964426570821,170,"PIK3CD;NCF1;AKT2;SHC2;CCL3;BCAR1;CCL4L2;CCL4;CSK;WAS;GRK2;CX3CR1;NFKBIB;GRK6;VAV1;CCL22;CCL19;CCL5;NFKBIA;XCL2;PTK2B;GNB2;CXCR3;SHC3;CCR7;FGR;ARRB2;CXCL8;STAT5B;PREX1;IKBKG;PRKACA;SHC1;GNGT2;RASGRP2;RAC2;PLCB2;RELA;JAK3;CCR5;GSK3A;ELMO1;GNG7;MAPK3;HCK;AKT1;CXCR2;GNAI2;ARRB1;ADCY9;CXCL2;VAV2;CX3CL1;PLCB3;DOCK2;NFKB1;STAT3;CXCR1"
"KEGG_LEISHMANIA_INFECTION",2.27727698013298e-08,1.83919595024641e-06,0.73376198835648,0.562355821618184,2.4321953191282,67,"HLA-DQA2;JUN;NCF1;TAB1;NFKBIB;FOS;NCF4;HLA-DRB1;IRAK1;HLA-DQA1;NFKBIA;HLA-DQB1;MARCKSL1;C3;ELK1;IL1B;PTPN6;IFNG;MAPK14;IL12A;MAPK11;ITGB2;RELA;TGFB1;IL10;CYBA;MAPK3;HLA-DOA;MAPK12;NOS2;FCGR3B;NFKB1;PTGS2"
"KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",2.9986890493148e-08,1.83919595024641e-06,0.719512826338911,0.377976654070095,1.96364179108281,217,"IL2RB;TNFSF9;CCL3;VEGFB;CSF1;FLT4;CCL4L2;CCL4;CX3CR1;TNFRSF1B;CCL22;TNFRSF11A;CSF3R;IL12RB1;CCL19;LTB;TNFRSF14;CCL5;TNFRSF4;IL26;TNFRSF10D;XCL2;TNFRSF8;IL2RG;RELT;OSM;FASLG;CXCR3;PDGFRB;CCR7;CXCL8;BMP2;LTBR;PLEKHO2;TNFRSF10C;TNFSF12;LIF;IL1B;CLCF1;TNFRSF13B;IFNG;CSF3;NGFR;IL10RA;IL12A;TNFRSF18;IL6;TGFB1;IL10;CCR5;TNFRSF9;IL17RA;TNFSF13;TNFRSF12A;CXCR2;IL4R;GHR;IL23A;TNFSF14;CXCL2;CSF2RB;CX3CL1;LEP;IL21R;ACVRL1;TGFBR2;CXCR1;TNFSF15;CNTFR;EDA;CXCL3;CD40;CXCL9;CSF1R;TNFSF18;CXCR4;FAS;VEGFD"
"KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY",4.61670140110043e-07,2.1236826445062e-05,0.674962860011025,0.433747453487995,2.04266095047967,115,"CD244;PIK3CD;ITGAL;SHC2;ULBP3;NCR3;LCK;ZAP70;VAV1;HLA-B;HLA-E;CD247;TNFRSF10D;MAP2K2;PTK2B;FASLG;SHC3;TNFRSF10C;PRF1;SHC1;PTPN6;RAC2;IFNG;RAET1G;ITGB2;CD48;GZMB;SH3BP2;MAPK3;RAC3;FYN;BID;PLCG2;VAV2;FCGR3B;TYROBP;NFATC4;ARAF;FCER1G;FAS;SH2D1A;ULBP2;PIK3R5"
"KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS",1.66792311162013e-06,6.13795705076207e-05,0.643551836150722,0.43370600367026,2.0161398063234,105,"HLA-DQA2;H3-3B;H2BC8;H2AC12;CTSG;HLA-DRB1;C1R;HLA-DQA1;H4C9;H2AC6;HLA-DQB1;C8G;H3C1;SNRPB;C3;H2AC14;H2AC20;C4A;H2AC21;H2AC8;H2BC5;IFNG;H2BC18;IL10;H3C13;H2BC21;H3-3A;H4C6;HLA-DOA;FCGR3B;H2BC3;H2AC4;GRIN2A;C1S;H4C5;CD40;HLA-DRA;H2AX;HLA-DRB5;ELANE;H2BC14"
"KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY",3.92278076763201e-06,0.000120298610207382,0.610526878385931,0.435981298195074,2.03028426459385,104,"JUN;PIK3CD;AKT2;LCK;NFKBIE;ZAP70;NFKBIB;FOS;VAV1;CD8A;CARD11;CD8B;CD247;NFKBIA;MAP2K2;IKBKG;CD3D;CD3E;PTPN6;IFNG;MAPK14;NCK2;MAPK11;MAP2K7;RELA;IL10;GRAP2;MAPK3;MAP3K14;MAP3K8;AKT1;FYN;ICOS;MAPK12;VAV2;PRKCQ;NFKB1;CD4;PTPRC;NFATC4;PAK4"
"KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY",8.44063668656555e-06,0.00022186816433258,0.593325476396405,0.437829620076612,2.00108048637707,92,"JUN;PIK3CD;AKT2;CCL3;TICAM1;CCL4;TAB1;FOS;CCL5;IRAK1;NFKBIA;MAP2K2;CXCL8;IRF7;IRF3;IKBKG;IL1B;MAPK14;IL12A;MAPK11;IL6;MAP2K7;RELA;LBP;CD14;TOLLIP;MAPK3;MAP3K8;IKBKE;AKT1"
"KEGG_PRION_DISEASES",3.23549831715175e-05,0.000665876200458762,0.557332238758646,0.604489886394322,2.17993120540789,31,"NOTCH1;HSPA5;CCL5;MAP2K2;C8G;ELK1;BAX;PRKACA;IL1B;EGR1;LAMC1;IL6;MAPK3;FYN;STIP1"
"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",3.25700315441786e-05,0.000665876200458762,0.557332238758646,0.476426818378952,2.04197159105046,65,"HLA-DQA2;HSPA5;CD8A;HLA-B;HLA-DRB1;HLA-E;CD8B;HLA-DQA1;IFI30;HLA-DQB1;HSPA6;TAP1;HSPA8;CANX;HLA-F;B2M;CTSS;HLA-DOA;HSP90AB1;RFXANK;NFYC;CD4;PSME2;HLA-DRA;HLA-DRB5;TAPBP;HLA-DMB;CD74;HLA-DPA1;NFYA;CALR;PSME1;HLA-DPB1;HLA-DMA"
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE",3.64469444857063e-05,0.000666088425607701,0.557332238758646,0.657580104251291,2.15979184475235,22,"CHST7;CHPF2;CHSY3;XYLT2;B3GALT6;CHST14;B4GALT7;B3GAT3;CHPF;CHST15;B3GAT1"
"KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY",5.06806410788469e-05,0.000666088425607701,0.557332238758646,0.484162746626945,2.05618568464722,62,"TBKBP1;NFKBIB;RNF125;TRAF2;OTUD5;NLRX1;NFKBIA;TRIM25;CXCL8;IRF7;STING1;IRF3;PIN1;IKBKG;MAPK14;DDX3Y;IL12A;MAPK11;RELA;DHX58;TKFC;IKBKE;MAPK12;TRADD;NFKB1;DDX3X;ISG15"
"KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",4.87109280706833e-05,0.000666088425607701,0.557332238758646,0.445803108815089,1.96756158900727,74,"JUN;PIK3CD;AKT2;NFKBIE;NFKBIB;FOS;VAV1;CARD11;NFKBIA;MAP2K2;CD22;CD72;IKBKG;PTPN6;RAC2;RELA;MAPK3;INPP5D;RAC3;AKT1;PLCG2;VAV2;NFKB1;CD19;PIK3AP1;CD79B;NFATC4;CR2"
"KEGG_SPLICEOSOME",4.16258383504367e-05,0.000666088425607701,0.557332238758646,0.384504212814754,1.83754149429975,122,"U2AF2;SF3A2;SART1;SF3B2;SF3A1;PUF60;DHX38;XAB2;EIF4A3;HSPA6;SNRPB;CTNNBL1;SF3B4;SNRNP200;ALYREF;CCDC12;SRSF3;PQBP1;PRPF6;ISY1;HSPA8;TRA2B;DHX8;SRSF7;DHX16;PHF5A;PRPF31;HNRNPC;SNRPA;SNU13;MAGOH;SNRNP70;EFTUD2;DDX23;PRPF19;THOC3;HNRNPM;LSM6;LSM2;SNRPF;LSM7;SNRPD2;SNRPC;SRSF5;ACIN1;RBM22"
"KEGG_MAPK_SIGNALING_PATHWAY",4.45008477942574e-05,0.000666088425607701,0.557332238758646,0.309946829207659,1.62995291395024,240,"DUSP2;JUN;AKT2;CACNA2D4;RASGRP4;TAB1;RPS6KA4;ATF4;FGFR4;FOS;TRAF2;PLA2G2D;MAPK7;NFKB2;RELB;MAP2K2;FASLG;MAP2K5;PDGFRB;CACNA1E;MAPK8IP2;HSPA6;MAP4K1;TAOK2;DUSP1;ELK1;ARRB2;PTPN7;JUND;IKBKG;PRKACA;IL1B;RASGRP2;RAC2;MAPK14;ECSIT;PLA2G4B;MAP3K11;MAP3K12;MAP3K3;MAPK11;HSPA8;MAP2K7;RELA;GNA12;TGFB1;GADD45B;CD14;DDIT3;MAPKAPK2;MYC;MAPK3;MAP3K14;MAP3K8;RAC3;CDC25B;AKT1;TP53;DUSP5"
"KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY",8.81415223412586e-05,0.00101362750692447,0.538434096309916,0.511485334941451,2.05778230142617,49,"CCL4L2;CCL4;NFKBIB;CCL5;NFKBIA;IRF7;STING1;IRF3;IKBKG;IL1B;POLR3K;IL6;RELA;RIPK3;IKBKE;ZBP1;NFKB1;POLR3GL;POLR3B"
"KEGG_BASAL_CELL_CARCINOMA",8.81415223412586e-05,0.00101362750692447,0.538434096309916,0.511416374987347,2.05750486517655,49,"WNT11;DVL2;DVL1;FZD2;AXIN1;DVL3;FZD7;FZD8;BMP2;TCF7;SUFU;WNT2;WNT7A;SMO;GLI1;FZD10;TP53"
"KEGG_GRAFT_VERSUS_HOST_DISEASE",9.98651476827411e-05,0.00108089336315437,0.538434096309916,0.573842001702961,2.10050636747458,32,"HLA-DQA2;HLA-B;HLA-DRB1;HLA-E;HLA-DQA1;FASLG;HLA-DQB1;PRF1;IL1B;IFNG;IL6;GZMB;HLA-F;HLA-DOA"
"KEGG_HEMATOPOIETIC_CELL_LINEAGE",0.000117099342833211,0.00114003251379104,0.538434096309916,0.431804205115525,1.90577712707141,74,"CSF1;CD8A;CSF3R;CD7;HLA-DRB1;CD8B;CD37;CD5;CD22;GP1BA;IL1B;CD3D;MME;CD3E;CSF3;ITGA2B;IL6;CD14;CD2;CD1B;IL4R;CD33;CD19;CD4;CR2;GP9;CD3G;HLA-DRA;CSF1R;HLA-DRB5;ITGAM"
"KEGG_RIBOSOME",0.000117720748706684,0.00114003251379104,0.538434096309916,0.416779535580905,1.88085711773775,85,"RPS26;RPS18;RPS4Y1;RPS3;RPS9;RPS25;RPLP0;RPS11;RPL13;RPS15;FAU;RPS2;RPL18A;RPS27;RPL7A;RPL36;RPL3;RPL26;RPL10;RPS12;RPL31;RPLP2;RPL11;RPL29;RPS16;RPS19;RPL30;RPLP1;RPL19;RPL41;RPS15A;RPL5;RPL32;RPSA;RPL13A;RPL22;RPL10L;RPL28;RPL10A;RPS28;UBA52;RPS13;RPS3A;RSL24D1;RPL8;RPL37A;RPS21;RPL27A;RPL39;RPS6"
"KEGG_NEUROTROPHIN_SIGNALING_PATHWAY",0.000131331020880223,0.00120824539209805,0.518848077743792,0.372408908488209,1.77973816511512,122,"JUN;PIK3CD;AKT2;SHC2;NFKBIE;RPS6KA4;CSK;ATF4;NFKBIB;MAPK7;SH2B2;IRAK1;IRAK2;NFKBIA;MAP2K2;FASLG;MAP2K5;SHC3;BAX;SHC1;SH2B1;MAPK14;NGFR;MAP3K3;MAPK11;MAP2K7;ARHGDIA;CAMK4;RELA;CALM3;MAPKAPK2;MAPK3;AKT1;TP53"
"KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS",0.000152963951841703,0.00134025557804158,0.518848077743792,0.393089779304756,1.80051916509975,93,"PIK3CD;NCF1;AKT2;WAS;SPHK1;GAB2;VAV1;LIMK1;VASP;MARCKSL1;ASAP3;DNM2;SPHK2;RAC2;PLA2G4B;ARPC4;MAPK3;INPP5D;HCK;AKT1;DNM1;MARCKS;RPS6KB2;PLCG2;VAV2;PLD2;DOCK2;MYO10;PTPRC;ARPC5L"
