"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"REACTOME_NEUTROPHIL_DEGRANULATION",2.50187974596271e-20,3.45259404942853e-17,1.16906996676109,0.408772255553623,2.29901462751573,452,"MMP25;ARHGAP9;TBC1D10C;ITGAL;GHDC;STK10;PSMD3;DGAT1;STK11IP;BIN2;SLC2A3;ADAM8;CFP;NFAM1;GSDMD;ALDOA;CD177;CD300A;TOM1;ARHGAP45;TNFRSF1B;MAN2B1;CTSG;S100A9;PFKL;DPP7;IMPDH1;HLA-B;APRT;SLC15A4;ARSA;LILRB2;S100A8;FCN1;PTGES2;PDAP1;CEACAM3;HSPA6;NBEAL2;NAPRT;BST1;CDA;TRPM2;CPPED1;C3;NEU1;FGR;ACTR1B;KCNAB2;TMC6;PLEKHO2;VNN1;STING1;CYSTM1;RHOG;BPI;ARL8A;COTL1;TUBB;EEF2;LAMTOR1;ACLY;SELL;MME;GMFG;PTPN6;CAPN1;MVP;CPNE1;MAPK14;CKAP4;TCIRG1;VAT1;CAT;C1orf35;IMPDH2;ITGB2;HSPA8;KRT1;DBNL;RAB5C;CD14;DOK3;PRSS2;APEH;CNN2;TOLLIP;CYBA;SLC2A5;SIRPA;SIRPB1;UNC13D;RAB3A;S100A12;CAMP;GAA;RNASE3;ADGRG3;GALNS;PSMC3;OLFM4;CHI3L1;GPR84;PSAP;CXCR2;SURF4;RNASET2;B2M;TXNDC5;HBB;CTSS;AP1M1;ADGRE5;PGM1;GRN;PADI2;GLA;HSP90AB1;ORM1;PGLYRP1;QSOX1;FCAR;MPO;ORMDL3;HP;HK3;JUP;ILF2;C5AR1;AGPAT2;DOCK2;RAB37;FCGR3B;RAB24;NFKB1;CD33;TYROBP;PRDX6;ATAD3B;CXCR1;PTPRC;GYG1;EEF1A1;MMP9;RETN;DDX3X;LRRC7;OSCAR;PNP;FCER1G;IGF2R;TMBIM1;HMOX2;SIGLEC5;BST2;HVCN1;FUCA2;ADGRE3;ELANE;ITGAM;STBD1;CD53;CFD;ALDOC;AP2A2;DIAPH1;ORM2;SYNGR1;CYFIP1;ACAA1;CD36;DDOST;CYB5R3;FRMPD3;CD63;CREG1;ADA2;LILRB3;PLAU;RAP2B;LAMTOR2;PSMD2;XRCC5;CXCL1;VCP;ALOX5;PSMB7;SIGLEC9;DYNC1LI1;OSTF1;LAIR1;GPI;SLC44A2;VPS35L;CLEC4D;RNASE2;COMMD3;HEBP2;GUSB;PPIE;HPSE;QPCT;COMMD9;MAGT1;AOC1;PLAUR;MGAM;PRTN3;TSPAN14;ITGAX;ANPEP;SLC11A1;SDCBP;PSMB1;CANT1;IRAG2"
"REACTOME_SIGNALING_BY_INTERLEUKINS",3.29521027823484e-18,2.27369509198204e-15,1.10533657731401,0.408337128381781,2.28006215912399,416,"JUN;IL2RB;PTPN23;PIK3CD;JUNB;CCL3;CSF1;IL34;UBC;STXBP2;FSCN1;PSMD3;CCL4;LCK;TAB1;NFKBIB;FOS;SIGIRR;TYK2;GSDMD;TRAF2;GAB2;VAV1;TNFRSF1B;SOCS3;CTSG;CCL22;SQSTM1;MAPK7;STAT6;CSF3R;IL12RB1;AIP;GATA3;CCL19;TNIP2;EBI3;CCL5;IRAK1;NFKB2;IL26;PELI3;NLRX1;IRAK2;NFKBIA;BATF;PTK2B;IL2RG;OSM;FASLG;BCL6;PPP2R1A;INPPL1;PSMC4;H3C1;ELK1;NLRC5;CXCL8;PTPN7;STAT5B;PIM1;IKBKG;CDKN1A;IL16;LIF;PRKACA;IL1B;CLCF1;SHC1;SOCS1;PTPN6;PSMC5;IFNG;SMARCA4;IL18BP;TXLNA;MAPK14;CSF3;IL10RA;MAP3K3;IL12A;MAPK11;ITGB2;HSPA8;IL6;MAP2K7;IRF4;LAMA5;RELA;TGFB1;LBP;RPLP0;IL10;JAK3;IL27RA;H3C13;CNN2;CCR5;MAPKAPK2;IL17RA;STAT5A;TOLLIP;MYC;CANX;HNRNPF;LRRC14;S100A12;MAPK3;INPP5D;PSMC3;MAP3K8;HCK;IL17RC;AKT1;TP53;ADRM1;FYN;IL4R;IL23A;USP18;POMC;PSMD8;NOS2;CXCL2;NKIRAS2;CSF2RB;SOD2;PTPN5;STX4;NFKB1;PELI1;HMOX1;S1PR1;STAT3;IL21R;PTGS2;CD4;CNTFR;MMP9;APP;PTPN18;PSMB4;ARF1;HNRNPA2B1;IL1RL1;RAPGEF1;IL17RE;MSN;COL1A2;VRK3;PSME2;RPS6KA1;NOD2;PSMB5"
"REACTOME_DENGUE_VIRUS_HOST_INTERACTIONS",1.87911588004036e-12,8.64393304818566e-10,0.898671232061694,0.41144979954752,2.20804653471208,270,"U2AF2;CPSF1;SF3A2;SF3B2;MLST8;RPTOR;SF3A1;NRBP1;RBM10;H2BC8;SUGP1;NFKBIB;HNRNPA0;H2AC12;PUF60;POLR2E;FUS;DHX38;XAB2;NFKBIA;PRR5;H4C9;SRRT;H2AC6;TRIM25;POLR2A;EIF4A3;GPKOW;GBF1;PRCC;H3C1;SNRPB;CTNNBL1;SF3B4;H2AC14;H2AC20;STING1;SNRNP200;GTF2F1;ALYREF;AGRN;POLR2G;SRSF3;C4A;PQBP1;H2AC21;H2AC8;PRPF6;POLR2J;H2BC5;ISY1;PML;H2BC18;HNRNPL;HSPA8;POLR2F;H3C13;H2BC21;FASN;CD2BP2;CSTF2;CLP1;HNRNPF;SYMPK;IKBKE;SRSF7;U2AF1L4;H4C6;DHX16;CSTF2T;PHF5A;HNRNPH2;POLR2C;DHX9;HSP90AB1;SRRM2;GPC1;PAF1;HNRNPC;H2BC3;EFTUD2;DDX23;H2AC4;HNRNPD;CPSF7;C4BPA;PRPF19;MMP9;DDX3X;CPSF4;HNRNPM;GPC2;HNRNPA2B1;HSPG2;C1S;H4C5"
"REACTOME_DENGUE_VIRUS_INFECTION",3.75048635410843e-12,1.29391779216741e-09,0.887074988399873,0.367841490688901,2.03385475137386,378,"U2AF2;CPSF1;SF3A2;SF3B2;MLST8;RPTOR;UBC;SF3A1;NRBP1;TYRO3;RBM10;H2BC8;SUGP1;HSPA5;NFKBIB;HNRNPA0;AP2A1;SCAP;H2AC12;CD300A;PUF60;POLR2E;FUS;DHX38;XAB2;NFKBIA;PRR5;HYOU1;H4C9;SRRT;H2AC6;TRIM25;POLR2A;EIF4A3;GPKOW;GBF1;PRCC;H3C1;SNRPB;RRBP1;CTNNBL1;SF3B4;H2AC14;H2AC20;STING1;SNRNP200;GTF2F1;ALYREF;NPLOC4;AGRN;POLR2G;SRSF3;C4A;PQBP1;H2AC21;H2AC8;PRPF6;POLR2J;H2BC5;ISY1;PML;H2BC18;HNRNPL;HSPA8;CD14;POLR2F;H3C13;H2BC21;FASN;CD2BP2;CSTF2;DNAJB11;NCL;CANX;CLP1;HNRNPF;SYMPK;IKBKE;SRSF7;U2AF1L4;EIF4G1;H4C6;DHX16;CSTF2T;PHF5A;HNRNPH2;POLR2C;SUN2;DHX9;HSP90AB1;SRRM2;DPM2;UBA7;GPC1;PAF1;HNRNPC;DAD1;EMC4;CD33;ACOT2;H2BC3;EFTUD2;DDX23;H2AC4;HNRNPD;CPSF7;C4BPA;PRPF19;MMP9;DDX3X;HDLBP;STT3A;CD209;CPSF4;HNRNPM;GPC2;HNRNPA2B1;HSPG2;C1S;H4C5;PRKG2;YBX1;SNRPF;P4HA1;DAXX;H2BC14;SNRPD2;EIF4A1;SRSF5;AP2M1;NMT1;PTBP1;AP2A2;AUP1;GRPEL1;DDOST;RBM22"
"REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING",6.64196435399913e-09,1.83318216170376e-06,0.761460801445585,0.501695880747601,2.3242876051477,100,"JUNB;FSCN1;FOS;TYK2;TNFRSF1B;SOCS3;CCL22;STAT6;GATA3;BATF;IL2RG;OSM;FASLG;BCL6;CXCL8;PIM1;CDKN1A;LIF;IL1B;SOCS1;IL12A;ITGB2;HSPA8;IL6;IRF4;LAMA5;TGFB1;LBP;IL10;JAK3;MYC;AKT1;TP53;IL4R;IL23A;POMC;NOS2;HMOX1;S1PR1;STAT3;PTGS2;MMP9;COL1A2;ITGAM;CEBPD;CD36;SOCS5;MMP2;VCAM1;ALOX5;IL23R;MCL1;VEGFA;CCL2"
"REACTOME_MRNA_SPLICING",1.64430943062695e-07,3.78191169044198e-05,0.690132458796796,0.375686032768193,1.94959503244781,211,"U2AF2;YJU2;SF3A2;SART1;SF3B2;CACTIN;SF3A1;RBM10;SUGP1;LENG1;RBM42;PUF60;POLR2E;DDX41;FUS;DHX38;XAB2;SRRT;POLR2A;EIF4A3;GPKOW;FAM50A;PRCC;SNRPB;CTNNBL1;SF3B4;SNRNP35;SNRNP200;GTF2F1;ALYREF;CCDC12;POLR2G;SRSF3;PQBP1;PRPF6;POLR2J;RNF113A;ISY1;HNRNPL;HSPA8;POLR2F;TRA2B;HNRNPF;PPP1R8;DHX8;SRSF7;U2AF1L4;DHX16;PHF5A;HNRNPH2;POLR2C;DHX9;SF1;SRRM2;PRPF31;SNRNP25;BUD13;HNRNPC;SNRPA;SNU13;MAGOH;HTATSF1;SNRNP70;EFTUD2;DDX23;HNRNPD;PRPF19;C9orf78;HNRNPM;HNRNPA2B1;LSM6;LSM2;YBX1;SNRPF;LSM7;SNRPD2;SNRPC;SRSF5;PTBP1;STEEP1;ACIN1;TFIP11;RBM22"
"REACTOME_IRE1ALPHA_ACTIVATES_CHAPERONES",2.56121632754339e-07,4.13369566929633e-05,0.674962860011025,0.600160585114748,2.4310624935626,49,"SYVN1;CXXC1;HSPA5;DCTN1;ARFGAP1;ZBTB17;HYOU1;CUL7;PREB;SHC1;MYDGF;PLA2G4B;YIF1A;PPP2R5B;GSK3A;DNAJB11;ACADVL;SEC31A;TATDN2;TSPYL2;SRPRA;DNAJB9;CTDSP2;KLHDC3;LMNA;ATP6V0D1;TLN1;WFS1;EXTL3;PDIA5;ADD1;SRPRB"
"REACTOME_INTERLEUKIN_10_SIGNALING",2.94569820162639e-07,4.13369566929633e-05,0.674962860011025,0.622258602820358,2.40333496008663,42,"CCL3;CSF1;CCL4;TYK2;TNFRSF1B;CCL22;CCL19;CCL5;CXCL8;LIF;IL1B;CSF3;IL10RA;IL12A;IL6;IL10;CCR5"
"REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR",2.99543164441763e-07,4.13369566929633e-05,0.674962860011025,0.479608953946624,2.19421980897384,91,"SYVN1;KHSRP;CXXC1;ATF4;HSPA5;DCTN1;ATF6B;EXOSC5;ARFGAP1;ZBTB17;HYOU1;CUL7;PREB;CXCL8;SHC1;MYDGF;PLA2G4B;CREB3L1;ATF3;YIF1A;PPP2R5B;DDIT3;GSK3A;DNAJB11;ACADVL;CEBPB;SEC31A;TATDN2;TSPYL2;CREB3;NFYC;SRPRA;DNAJB9;CTDSP2;KLHDC3;LMNA;ATP6V0D1;TLN1;WFS1;EXTL3;PDIA5;ADD1;SRPRB;DCSTAMP;SERP1;CCL2;NFYA;CALR;EXTL1"
"REACTOME_MRNA_POLYADENYLATION",2.154818019994e-07,4.13369566929633e-05,0.690132458796796,0.428696671494211,2.08315181538533,127,"U2AF2;CPSF1;SF3A2;SF3B2;UBC;SF3A1;RBM10;SUGP1;PUF60;POLR2E;FUS;SRRT;POLR2A;SNRPB;SF3B4;GTF2F1;POLR2G;SRSF3;POLR2J;HNRNPL;POLR2F;TRA2B;CSTF2;CLP1;HNRNPF;PPP1R8;SYMPK;SRSF7;U2AF1L4;TUT1;CSTF2T;PHF5A;HNRNPH2;POLR2C;DHX9;SRRM2;HNRNPC;SNRPA;HTATSF1;SNRNP70;HNRNPD;CPSF7;CPSF4;HNRNPM;HNRNPA2B1;YBX1;SNRPF;SNRPD2;SNRPC;SRSF5;PTBP1"
