"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_CILIUM_MOVEMENT",1.44947927759331e-19,7.07635783321054e-16,1.14219120216838,0.541094712767078,2.44427009455409,245,"CABYR;SLC9B2;DZIP1;CFAP69;EFHC2;CELSR2;CFAP54;CFAP210;MNS1;IFT81;FBXL13;BBOF1;DNAH7;CCDC146;ARMC2;MYCBPAP;CLXN;NME5;SORD;DNAAF2;DNAH6;SPACA9;ING2;IQCG;IQUB;DNALI1;CEP128;DNAI4;DNAJB13;FSIP2;CCDC40;RIBC2;PIERCE2;DNAI3;CCDC181;EFCAB6;DNAAF11;CFAP95;CFAP58;VANGL1;SPAG17;ARMC3;SPEF2;NME7;DYDC1;CCDC65;CFAP53;SPAG16;NEK10;CFAP126;JHY;SPA17;ZMYND12;DRC3;IQCD;DYNC2H1;CFAP61;DNAH3;RSPH4A;CFAP161;EFHB;TEKT3;TTLL5;CFAP251;RFX3;CFAP47;EFHC1;ODAD2;MEIG1;IQCA1;CFAP57;CFAP46;PACRG;DNAH9;CFAP43;DNAH2;CFAP90;DNAAF6;DNAAF1;SPAG6;RSPH9;DNAH12;RSPH14;ENKUR;KIF9;PIERCE1;GAS2L2;HYDIN;DNAAF19;POC1B;KATNIP;TTLL3;TEKT2;CFAP276;HOATZ;ODAD4;CFAP77;RIBC1;SPMIP6;CFAP52;TMEM232;TCTE1;TACR1;SPAG8;CWH43;EPPIN;PLTP;ODAD3;LRRC46;TTC29;RSPH1;CATSPERD;BBS4;DNAI1;DNAH10;ADCY3;CFAP107;CATSPERB;LZTFL1;CCDC88C;TEKT1;DNAI2;CIMIP2C;CFAP45;CFAP298;TMF1;DRC7;DEFB1;DNAH1;CCDC39;DPCD;DRC1;ROPN1B;ZMYND10;RSPH3;CFAP144;LRRC23;DNAH11;CEP78;CFAP141;DNAAF3;STK36;CATSPERE;TACR2;CFAP100;CFAP157;CFAP91;CFAP65;TEKT4;VPS13A;SPEF1;CFAP70;ROPN1L;CFAP73;BBS2;ODAD1;KIF27;GMNC;TTC21A;SAXO4;PSMA2"
"GOBP_AXONEME_ASSEMBLY",1.69386684869693e-17,4.13472897766921e-14,1.07686819261983,0.664418411411569,2.66553861195478,98,"CFAP69;CC2D2A;MNS1;BBOF1;DNAH7;CCDC146;ARMC2;TOGARAM1;CLXN;DNAAF2;CLUAP1;SPACA9;IQCG;DNAI4;DNAJB13;FSIP2;CCDC40;PIERCE2;DNAI3;DNAAF11;DNAL1;CFAP58;SPAG17;IFT56;SPEF2;CCDC65;SPAG16;JHY;ZMYND12;DNAH3;RSPH4A;TTLL5;CFAP47;ODAD2;MEIG1;CFAP57;CFAP46;CFAP43;DNAH2;DNAAF10;DNAAF6;DNAAF1;SPAG6;RSPH9;DNAH12;PIERCE1;HYDIN;DNAAF19;CFAP74;TTLL3;TEKT2;HOATZ;ODAD4;AXDND1;ODAD3;LRRC46;RSPH1;DNAI1;DNAI2;DNAAF8;DRC7;LRGUK;DNAH1;CCDC39;DRC1;ZMYND10;LRRC23;FOXJ1;DNAAF3;STK36;CFAP100;CFAP157;CFAP91;CFAP65;SPAG1;CCDC13;SPEF1;CFAP73;BBS2;ODAD1"
"GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY",1.02075233713109e-16,1.66110430329132e-13,1.05746357275086,0.541614498867563,2.3986678864062,208,"SLC9B2;DZIP1;CFAP69;EFHC2;CFAP54;CFAP210;MNS1;IFT81;FBXL13;BBOF1;DNAH7;CCDC146;ARMC2;MYCBPAP;CLXN;NME5;SORD;DNAAF2;DNAH6;SPACA9;ING2;IQCG;IQUB;DNALI1;CEP128;DNAJB13;FSIP2;CCDC40;RIBC2;PIERCE2;DNAI3;CCDC181;EFCAB6;DNAAF11;CFAP95;CFAP58;ARMC3;SPEF2;NME7;DYDC1;CCDC65;CFAP53;SPAG16;CFAP126;ZMYND12;DRC3;IQCD;DYNC2H1;CFAP61;DNAH3;RSPH4A;CFAP161;EFHB;TEKT3;TTLL5;CFAP251;RFX3;CFAP47;EFHC1;ODAD2;MEIG1;IQCA1;CFAP57;CFAP46;PACRG;DNAH9;CFAP43;DNAH2;CFAP90;DNAAF6;SPAG6;RSPH9;DNAH12;RSPH14;ENKUR;KIF9;PIERCE1;GAS2L2;POC1B;TTLL3;TEKT2;CFAP276;HOATZ;ODAD4;CFAP77;RIBC1;SPMIP6;CFAP52;TMEM232;TCTE1;TACR1;SPAG8;EPPIN;PLTP;ODAD3;LRRC46;RSPH1;CATSPERD;BBS4;DNAI1;DNAH10;ADCY3;CFAP107;CATSPERB;LZTFL1;TEKT1;CIMIP2C;CFAP45;TMF1;DRC7;DEFB1;DNAH1;CCDC39;DPCD;DRC1;ROPN1B;RSPH3;CFAP144;LRRC23;DNAH11;CEP78;CFAP141;CATSPERE;TACR2;CFAP157;CFAP65;TEKT4;VPS13A;ROPN1L;BBS2;ODAD1;TTC21A;SAXO4;PSMA2"
"GOBP_MICROTUBULE_BUNDLE_FORMATION",5.63602597482579e-16,6.87876970227487e-13,1.02766987054358,0.601834382361426,2.50628525272223,128,"MAP1B;CAPN6;CFAP69;CC2D2A;TPPP3;MNS1;BBOF1;DNAH7;CCDC146;ARMC2;TOGARAM1;CLXN;DNAAF2;CLUAP1;SPACA9;IQCG;DNAI4;DNAJB13;FSIP2;CCDC40;PIERCE2;DNAI3;DNAAF11;DNAL1;CFAP58;SPAG17;IFT56;SPEF2;CCDC65;SPAG16;MTCL1;JHY;ZMYND12;DNAH3;RSPH4A;TTLL5;CFAP47;ODAD2;MEIG1;CFAP57;KIF20A;CFAP46;CFAP43;DNAH2;DNAAF10;DNAAF6;NAV1;DNAAF1;SPAG6;RSPH9;DNAH12;PIERCE1;GAS2L2;HYDIN;DNAAF19;CFAP74;TTLL3;TEKT2;HOATZ;ODAD4;AXDND1;ODAD3;LRRC46;RSPH1;DNAI1;CCDC88C;DNAI2;DNAAF8;DRC7;LRGUK;DNAH1;CCDC39;DRC1;ZMYND10;LRRC23;ZNF207;FOXJ1;DNAAF3;STK36;CFAP100;CFAP157;CFAP91;CFAP65;SPAG1;CCDC13;SPEF1;CFAP73;BBS2;ODAD1;CCDC66;DNAH5;TRIM46;DAW1;RP1;SPAST"
"GOBP_B_CELL_MEDIATED_IMMUNITY",9.08633576003602e-16,8.87189823609916e-13,1.01754479730988,0.552372456074989,2.40136614330864,177,"IL13RA2;IGHG1;IGKC;IGHG2;IGLC3;IGHV3-23;IGHV4-39;IGHV4-59;IGLC2;IGHA1;IGHV2-70;IGHV4-61;IGHV5-51;IGHV3-21;IGHV3-73;IGHG3;IGHG4;IGHV1-18;IGHV3-11;IGHV3-66;IGHV2-5;IGHV3-7;IGHV3-48;IGHV3-49;IGHV4-34;IGHV3-74;IGHV3-15;IGHV3-43;IGHV6-1;IGHV3-72;IGHV2-26;IGHV3-33;IGHV4-28;IGHV3-64D;CD27;IGHV3-20;IGHV1-58;IGHV4-4;IGHV3-64;IGLL5;IGHV5-10-1;TP53BP1;IGHV3-13;CD28;IGLC6;IGHV1-3;IGHA2;IGLL1;IGHV1-24;CR2;C4B;FOXP3;C6;FCMR;C4A;SUSD4;IGHV1-45;CD19;CFI;C7;IGHV3-53;IGHV3-30;SANBR;IGHV1-69D;C1S"
"GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION",2.37412312161363e-15,1.93174484661962e-12,1.00731795687447,0.466968068948362,2.15815578912874,311,"COL14A1;MMP16;COL10A1;SULF1;COL15A1;SFRP2;HPSE2;CTSK;COMP;ADAMTS14;COL17A1;HMCN1;POSTN;ITGA2;ADAMTS19;MMP7;MMP11;MYO1E;COL3A1;COL24A1;MMP2;COL7A1;CCDC80;MMP13;COL18A1;COL1A1;COL22A1;P4HA3;COL1A2;ECM2;EGFLAM;ADAMTS16;COL5A2;FERMT1;SERPINB5;MYH11;FAP;ANTXR1;HAS2;MMP1;ADAMTS6;PXDNL;THSD4;FOXC1;LOXL1;FLRT2;SMOC1;COL4A6;COL16A1;EGFL6;COL4A5;MMP3;MMP10;COL5A1;LOXL2;MMP19;LUM;CTSV;ADAMTS18;SULF2;COL9A1;SMOC2;TNXB;COL9A2;COL19A1;ZNF469;ADAMTSL1;CMA1;COL8A1;TGFBI;FBLN1;PRDX4;PBXIP1;PLOD2;COL12A1;OLFML2B;LOX;CSGALNACT1;MATN2;ITGB3;PAPLN;FOXC2;ADAMTS5;NF1;ADAMTS4;IBSP;SH3PXD2B;SLC2A10;PRSS2;KLK7;SOX9;IMPG2;COL4A1;WT1;RUNX1;COL6A1;TMEM38B;AGT;ADAMTS3;COLQ;ADAMTS12;B4GALT1;LOXL4;KIF9;COL8A2;ADAMTS1;MELTF;CRISPLD2;ITGB1;COL9A3;HAS1;MMP12;FKTN;FKBP10;CTSG;FMOD;ITGA8;LARGE1;CCN1"
"GOBP_CILIUM_ORGANIZATION",4.08687575797321e-14,2.85030392148932e-11,0.965327754226083,0.415182103366385,1.98785778482879,452,"TUB;ADAMTS16;CEP97;DZIP1;TTC39C;CFAP69;DMD;TCTN1;TRIM32;TTC8;CC2D2A;UBXN10;RPGRIP1L;CELSR2;CFAP54;WDPCP;TMEM231;NEK1;DZIP1L;IFT52;MNS1;IFT81;CC2D2B;TBC1D19;CEP126;TBC1D32;CDC14B;CPLANE1;BBOF1;TTBK2;DNAH7;CCDC146;ARMC2;IFT27;MYCBPAP;TOGARAM1;LCA5;CLXN;NME5;RAB23;DNAAF2;CLUAP1;CILK1;CFAP263;KIF3A;SPACA9;ODF2L;KIF24;IQCG;IQUB;DNALI1;DISC1;CEP128;WDR35;BBS9;DNAI4;DNAJB13;CIBAR1;IQCB1;FSIP2;FAM161A;CCDC40;PIERCE2;TMEM67;DNAI3;CCDC181;DNAAF11;PKD2;LCA5L;DNAL1;CFAP58;SPAG17;IFT43;IFT56;LIMA1;SPEF2;NME7;DYNLRB2;CCDC65;CFAP53;DNMBP;CEP83;SPAG16;CFAP126;MPHOSPH9;JHY;ZMYND12;DYNC2H1;CFAP61;TBC1D1;CCNO;DNAH3;RSPH4A;CFAP161;TEKT3;TTLL5;MCIDAS;RFX3;CFAP47;BBS5;ODAD2;MEIG1;KIF19;CFAP57;CFAP46;KCNF1;CFAP43;CIBAR2;TCTN3;PLK4;DNAH2;DNAAF10;DNAAF6;DNAAF1;SPAG6;BBIP1;RSPH9;DNAH12;MAK;ATAT1;PIERCE1;HYDIN;DNAAF19;CFAP74;POC1B;KATNIP;GSN;TTLL3;RFX2;TEKT2;HOATZ;RABL2B;IFT22;ODAD4;IFT25;CEP41;ERICH3;BBS7;AXDND1;RABL2A;KIAA0586;LPAR1;CWH43;CIMAP3;ODF2;CEP290;DYNC2LI1;IFT172;ODAD3;DYNC2I1;INTU;LRRC46;TTC29;RSPH1;BBS4;DNAI1;CCDC88C;TEKT1;DNAI2;IFT74;DNAAF8;DYNLT2B;CFAP298;CFAP184;DRC7;B9D1;LRGUK;DNAH1;FUZ;CCDC39;IFT70B;DRC1;ROPN1B;ZMYND10;LRRC23;TXNDC15;CEP78;C2CD3;FOXJ1;DNAAF3;IFT46;TBC1D31;STK36;CFAP100;CFAP157;CFAP91;CATIP;CFAP65;SPAG1;SEPTIN2;WDR90;CCDC13;TEKT4;AHI1;MAPK15;SPEF1;CFAP70;CFAP73;BBS2;ODAD1;CCP110;VANGL2;KIF27;GMNC;TTC21A;TMEM107;CCDC28B;MKS1;PIBF1;TRAF3IP1;SSX2IP;IFT20;CCDC66;IFT70A;DNAH5;DAW1;RP1;SYNE2;DYNLT1;CFAP119"
"GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS",1.7958982662993e-13,1.09594691700915e-10,0.943632225232838,-0.372509761059674,-2.01793962380638,399,"S100A8;TRIM25;S100A9;CD36;CD300LF;CD274;GKN2;SIGLEC16;RASGRP4;FCN3;FFAR2;NAGLU;TRIM65;MAVS;CASP1;S100A14;MEFV;PVR;TLR3;SLC46A2;DUOX1;RNF185;CLEC4E;FCN1;SPI1;POLR3B;TLR4;HCK;STAT5A;NPLOC4;DAB2IP;PARP9;RALB;ARG1;NOD2;IL18RAP;ZDHHC18;ZDHHC12;SLC15A3;IFI35;MYD88;AKT1;TLR8;NOD1;LILRA2;CFP;ABHD8;ZCCHC3;HLA-E;SLC19A1;PIK3AP1;TRIM56;CADM1;PDPK1;MNDA;ARRB2;DHX58;MAPKAPK3;TARBP2;NMI;NAIP;PRKCE;KCNK6;CACTIN;PPP6C;SH2D1B;FYN;LYN;TNIP1;OASL;GPATCH3;SQSTM1;CD160;GDI1;ZNFX1;NFKBIA;RBM47;SLC15A2;TNIP2;RSAD2;AKIRIN2;NLRC4;LRRC19;PHB1;LAMP1;CAMP;TMEM126A;ADCY7;SLC15A4;TREML4;CHUK;FPR2;IRF1;CPTP;ECSIT;TYROBP;TXK;PRKCA;SCIMP;TLR2;PAK2;SASH1;KLRD1;IRF5;POMC;NLRX1;VAV1;IRAK1;HLA-G;TAB1;CLEC6A;GPR108;STAT5B;CD1D;PRKD1;HLA-F;NCR3;OAS3;CD14;TICAM1;TYRO3;NECTIN2;RNF144A;IFIH1;TRIM41;SYK;DDX41;PLSCR1;TLR1;RTN4;CRTAM;KAT5;P2RX7;PCBP2;ABHD17A;RELA;UBE2K;SEC14L1;ZC3HAV1;GRN;LGALS9;BTK;MMRN2;NEK7;IPO5;LY86;PQBP1;CLEC7A;SRC;PTPRS;ZDHHC5"
"GOBP_ENDOSOMAL_TRANSPORT",2.60859138919443e-12,1.41501590689413e-09,0.898671232061694,-0.38885126901193,-2.04835376984221,307,"EHD1;RAB17;ANKRD27;MVB12B;EMP2;PLA2G3;AP5B1;REPS2;ARHGAP44;AKTIP;MAPK3;LRRK2;SNX8;COMMD9;RILP;SNX1;VTI1B;DCTN1;GOLT1A;LMTK2;RAB5C;GGA3;NDRG4;PHETA1;AP5Z1;VPS4A;LAMTOR1;STX10;PLEKHJ1;VPS26C;SNX30;TMEM87A;RGP1;PTPN23;RAB5B;SNX27;TBC1D17;CCDC22;TBC1D10B;AP3D1;SLC66A2;SNX5;ALS2CL;VAMP3;WAS;TOM1;MTMR4;BLOC1S2;ARL8B;EHD2;MAP2K2;ARFRP1;SQSTM1;VPS51;SNX4;MYO5B;STAM;CHMP6;RNF126;CHMP2A;GGA1;RAB7A;CLEC16A;ATP6AP1;UBXN6;COMMD4;CORO1A;RAB11A;SNX12;AP5S1;YKT6;SNX17;MAP2K1;DENND1C;HGS;STX12;ANKFY1;TSG101;WASHC2A;BET1L;SORT1;BLOC1S1;VPS37C;ZFYVE9;CCDC93;TBC1D14;TBC1D10C;MSN;COMMD5;CHMP1A;DENND10;RCSD1;RDX;VPS37B;VPS26A;COMMD2;HOOK2;MICALL1;WDR81;RAB35;ITSN2;RAB6A;VPS29;SNF8;COMMD7;SCRIB;WASHC2C;DIAPH3;NF2;SPAG9;STX8;VPS4B;STX5;VPS16;SRC;RUFY1;RAB14;RAB8A;CHMP5;VPS50;RAB5A;RAB29;UBE2O;VPS39;DENND1A;SNX18;EHBP1;SNX2"
"GOBP_ATP_BIOSYNTHETIC_PROCESS",1.21813564478862e-10,5.94693821785807e-08,0.826657301178302,-0.538752433152196,-2.42606045081615,98,"PID1;FAM3A;NDUFA12;SPHK2;BCL2L13;SDHB;MT-ND5;MT-ND2;TAFAZZIN;MT-ND1;DMAC2L;MT-ND6;ENO1;MAP2K1;NDUFB9;VPS9D1;NDUFB6;ATP5MK;NDUFS8;ANTKMT;TMSB4X;NDUFA9;NDUFV1;ATP5MG;DNAJC30;NDUFA3;NDUFB3;NDUFS2;NDUFA2;ATP5PD;ATP5MJ;NDUFS6;MT-ND4;NDUFB11;ATP5F1D;NDUFB7;NDUFV3;SDHA;STOML2;ATP5MC2;MT-ND4L;ATP5MC1;PPARA;MT-ND3;ATP5MC3;ATP5F1E;ATP5MF;NDUFC2;NDUFAB1;NDUFS7;NDUFB10;PARP1;ATP5PF;LETMD1;MT-ATP8;SDHD;NDUFC1;ATP5MGL;STAT3;NDUFB4;MT-ATP6;ALDOA;NDUFB8;ATP5PB;ATP5F1B;ATP5PO;PINK1;LDHC;NDUFB2"
