"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOCC_IMMUNOGLOBULIN_COMPLEX",1e-50,6.58e-48,NA,0.839039685034542,3.48162442597318,124,"IGHG1;IGKC;IGHG2;IGLC3;JCHAIN;IGHV3-23;IGLV2-14;IGHV4-39;IGLV3-21;IGKV4-1;IGHV4-59;IGLC2;IGLV3-1;IGHA1;IGHV2-70;IGLV1-40;IGHV4-61;IGKV3-20;IGHV5-51;IGLV2-8;IGLV2-11;IGHV3-21;IGHV3-73;IGKV1-17;IGLV1-47;IGKV3D-11;IGHG3;IGLV3-25;IGHG4;IGLV6-57;IGLV3-19;IGKV1-9;IGHV1-18;IGLV7-46;IGHV3-11;IGKV1-5;IGHV3-66;IGLV1-51;IGLV1-44;IGHV2-5;IGLV2-23;IGHV3-7;IGHV3-48;IGLV4-69;IGHV3-49;IGHV4-34;IGHV3-74;IGKV1-27;IGHV3-15;IGKV3D-20;IGHM;IGKV3D-15;IGHV3-43;CD79A;IGHV6-1;IGHV3-72;IGLV3-12;IGHV2-26;IGHV3-33;IGKV2D-29;IGLV3-10;IGHV4-28;IGHV3-64D;IGKV1-39;IGHV3-20;IGLV1-50;IGHV1-58;IGLV7-43;IGHV4-4;IGHV3-64;IGLL5;IGLV1-36;IGKV1-6;IGLV8-61;IGLV3-9;IGLV2-18;IGHV5-10-1;IGHV3-13;IGLC6;IGKV1D-8;IGHV1-3;IGHA2;IGKV1-8;IGLV3-16;IGKV1-12;IGKV1-16;IGKV6-21;IGKV2D-24;IGKV2-24;IGLL1;IGKJ1;IGHV1-24;IGKV1D-39;VPREB3;IGKV1D-42;IGKV1D-12;IGKV1D-13;IGHV1-45;IGKV5-2;IGHV3-53;IGLV3-27;IGHV3-30;IGLV5-37;IGHV1-69D;IGLV4-60;IGLV4-3;IGLV9-49;IGLV5-45;IGKV6D-21;CD79B;IGKV1D-17"
"GOCC_AXONEME",1.57104308430103e-24,5.1687317473504e-22,1.28710367230144,0.59385908540732,2.65341053293002,220,"GLI1;CENPF;EFHC2;RPGRIP1L;CFAP54;WDPCP;CFAP210;DZIP1L;MNS1;FBXL13;BBOF1;DNAH7;CCDC146;MYCBPAP;TOGARAM1;LCA5;CLXN;NME5;DNAH6;CFAP300;CFAP263;SPATA7;SPACA9;IQCG;IQUB;DNALI1;WDR35;DNAI4;DNAJB13;CCDC40;RIBC2;PIERCE2;DNAI3;CCDC181;EFCAB6;LCA5L;NPHP1;CFAP95;DNAL1;SPAG17;DNAI7;NME7;DYDC1;CCDC65;CFAP53;SPAG16;CFAP126;DYDC2;DRC3;IQCD;DYNC2H1;CFAP61;SAXO2;DNAH3;RSPH4A;CFAP161;EFHB;TEKT3;CFAP251;EFHC1;AK8;BBS5;SPATA4;ODAD2;KIF19;RSPH10B2;IQCA1;CFAP57;CFAP46;PACRG;DNAH9;CFAP43;DNAH2;CFAP90;DNAAF1;SPAG6;RSPH9;DNAH12;RSPH14;MAK;NME9;ENKUR;KIF9;PIERCE1;HYDIN;DNAAF19;CFAP74;KATNIP;TTLL3;TEKT2;CFAP276;ODAD4;CFAP77;RIBC1;ERICH3;BBS7;RSPH10B;CFAP52;TCTE1;SPAG8;DYNC2LI1;IFT172;ODAD3;CCDC17;RSPH1;DNAI1;DNAH10;CFAP107;TEKT1;DNAI2;TULP3;DYNLT2B;GLI3;AKAP14;CIMIP2C;CFAP45;CFAP184;DRC7;B9D1;CIMIP2B;DNAH1;CCDC39;IFT70B;DRC1;RSPH3;CFAP144;DNAH11;CFAP141;C1orf87;STK36;CFAP100;CFAP91;CFAP65;SEPTIN2;CCDC13;TEKT4;BRWD1;MAPK15;SPEF1;CFAP70;ROPN1L;CFAP73;ODAD1;TRAF3IP1;SAXO4;CCDC66;IFT70A;DNAH5;RP1;CFAP119;CFAP44;DYNLT4;CYB5D1;TTLL1"
"GOCC_MOTILE_CILIUM",3.24375850827875e-21,7.11464366149139e-19,1.19534448258848,0.53529302585193,2.45077178295975,263,"CABYR;SLC9B2;CFAP69;ACTA2;HIF1A;EFHC2;CFAP210;IFT52;MNS1;IFT81;CCDC34;BBOF1;DNAH7;CCDC146;IFT27;MYCBPAP;CETN2;CLXN;NME5;SORD;DNAH6;DRD2;CFAP300;SPATA7;SPACA9;IQCG;IQUB;DNALI1;BBS9;DNAI4;DNAJB13;CIBAR1;FSIP2;CCDC40;TCP11;RIBC2;PIERCE2;CCDC181;EFCAB6;DNAAF11;TSGA10;PKD2;NPHP1;CFAP95;CFAP58;SPEF2;NME7;DYDC1;CCDC65;CFAP53;SPAG16;CFAP126;SPA17;ZMYND12;DRC3;NEK5;DYNC2H1;CFAP61;SAXO2;DNAH3;RSPH4A;CFAP161;EFHB;TEKT3;CFAP251;EFHC1;AK8;RSPH10B2;CFAP57;PMFBP1;PACRG;DNAH9;CFAP43;HAVCR1;DNAH2;CFAP90;CABCOCO1;SPAG6;RSPH9;DNAH12;RSPH14;MAK;ENKUR;SEPTIN6;KIF9;ADGB;PIERCE1;HYDIN;DNAAF19;CFAP74;KATNIP;TTLL3;TEKT2;CFAP276;ODAD4;CFAP77;RIBC1;MORN5;RSPH10B;SPMIP6;CFAP52;TMEM232;FHAD1;TCTE1;TACR1;SPAG8;ODF2;DYNC2LI1;IFT172;INTU;LRRC46;TTC29;RSPH1;CATSPERD;BBS4;DNAI1;DNAH10;CFAP107;CATSPERB;TEKT1;DNAI2;IFT74;CIMIP2C;CFAP45;DRC7;DEFB1;DNAH1;CCDC39;CFAP99;DRC1;ROPN1B;RSPH3;CFAP144;LRRC23;DNAH11;WDR54;CFAP141;ANXA1;IFT46;CATSPERE;TACR2;CFAP100;CFAP91;CFAP65;SEPTIN2;TEKT4;AK7;BRWD1;FLACC1;VPS13A;SPEF1;CFAP70;ROPN1L;CFAP73;CALM2;BBS2"
"GOCC_9PLUS2_MOTILE_CILIUM",1.06062178933109e-18,1.74472284344964e-16,1.11466447751729,0.551670190665981,2.44591960167127,210,"CABYR;SLC9B2;CFAP69;EFHC2;CFAP210;MNS1;IFT81;CCDC34;BBOF1;DNAH7;CCDC146;IFT27;MYCBPAP;CETN2;CLXN;NME5;DNAH6;DRD2;SPATA7;SPACA9;IQCG;IQUB;DNALI1;BBS9;DNAJB13;CIBAR1;FSIP2;TCP11;RIBC2;PIERCE2;CCDC181;EFCAB6;TSGA10;CFAP95;CFAP58;SPEF2;NME7;DYDC1;CFAP53;SPAG16;CFAP126;SPA17;ZMYND12;DRC3;NEK5;DYNC2H1;CFAP61;SAXO2;DNAH3;RSPH4A;CFAP161;EFHB;TEKT3;CFAP251;EFHC1;AK8;RSPH10B2;CFAP57;PMFBP1;PACRG;DNAH9;CFAP43;DNAH2;CFAP90;CABCOCO1;SPAG6;RSPH9;DNAH12;RSPH14;ENKUR;SEPTIN6;KIF9;ADGB;PIERCE1;HYDIN;CFAP74;KATNIP;TTLL3;TEKT2;CFAP276;ODAD4;CFAP77;RIBC1;MORN5;RSPH10B;SPMIP6;CFAP52;TMEM232;FHAD1;TCTE1;TACR1;SPAG8;ODF2;IFT172;LRRC46;TTC29;RSPH1;CATSPERD;DNAI1;DNAH10;CFAP107;CATSPERB;TEKT1;DNAI2;CIMIP2C;CFAP45;DEFB1;DNAH1;DRC1;RSPH3;CFAP144;LRRC23;DNAH11;CFAP141;CATSPERE;TACR2;CFAP65;SEPTIN2;TEKT4;AK7;FLACC1;VPS13A;SPEF1;CFAP70;ROPN1L;CALM2"
"GOCC_EARLY_ENDOSOME",1.49417737596871e-13,1.96633742677482e-11,0.943632225232838,-0.363777130276168,-1.98367458988264,425,"FZD5;PCSK9;HSD17B6;EHD1;RAB17;ADRB2;ANKRD27;AGER;LAMP3;GRIA1;MVB12B;MME;CLCN4;CD274;WNT3A;C1orf210;ATP13A4;MAPK3;HPS6;SH3GL2;TLR3;SNX8;SIGLEC1;HTT;SNX1;VTI1B;FGD5;RAB32;SLC1A1;TLR4;GGA2;GPER1;LMTK2;NUMB;TMEM163;RAB5C;GGA3;RAB20;PHETA1;VPS4A;PLEKHJ1;FCGR1BP;SNX30;DTX3L;AP1M1;VPS18;CTNS;KDR;TRAK2;PTPN23;RAB5B;ACKR4;SNX27;DBNL;ARAP1;ADRB1;AP3D1;SNX5;HLA-E;KCNQ1;APOA1;ARC;VAMP3;VAMP8;CLCN5;ASAH1;TOM1;PTP4A2;LDLRAP1;MTMR4;ATP11A;RAP1A;ZFYVE26;ARL8B;FLOT1;TMEM63B;EHD2;MAP2K2;TMEM9B;CFTR;SNX20;CAV1;DYSF;SNX4;IFITM3;FCGR1A;STAM;MGRN1;TOLLIP;PHB1;TPCN1;SH3GL3;GGA1;SLC15A4;LDLR;UBXN6;PPP1R21;WASF2;FGD2;AOC3;CORO1A;SNX12;SNX17;MAP2K1;HGS;STX12;ANKFY1;MIB2;TSG101;WASHC2A;FKBP15;RIN3;SORT1;RAPGEF1;REP15;BLOC1S1;SAMD9L;ATP6V0D1;IGF2R;ZFYVE9;CCDC93;VAC14;BOK;CLN6;HLA-G;CHMP1A;HPS5;STX7;RCSD1;PLEKHF1;PI4K2A;VPS26A;ENTREP1;FIG4;DAGLA;MICALL1;WDR81;HLA-F;PTPN1;TICAM1;TGFBRAP1"
"GOCC_LATE_ENDOSOME",4.11586345974937e-13,4.51373026085847e-11,0.932595211336209,-0.395022189473926,-2.08652691757441,310,"PCSK9;UNC13D;ABCA3;ANKRD27;LAMP3;MVB12B;CLCN4;AP5B1;SFTPA2;TMEM192;ACP3;SFTPA1;ARL8A;ATP13A4;SFTPD;SPAAR;STARD3;CLCN6;NOTCH1;MAPK3;STARD3NL;RNF128;LRRK2;SIGLEC1;RILP;SFTPB;HTT;VTI1B;SLC1A1;TMEM163;VAMP5;AP5Z1;VPS4A;LAMTOR1;VPS18;NPC1;CTNS;BLTP3A;TSPAN15;HLA-DQA2;NEDD4L;ARAP1;CTSH;STOML1;LAMTOR3;KCNQ1;ABHD6;VAMP8;NAPSA;MTMR4;RAP1A;ZFYVE26;ARL8B;KCNK6;MAP2K2;SFTPC;PRKAR1B;IFITM2;LAMTOR5;TTPA;DYSF;SQSTM1;SLC30A3;IFITM3;CHMP6;LAMP1;CHMP2A;HDAC6;MON1B;RAB7A;RAB27A;CLEC16A;GOSR2;LDLR;UBXN6;DDIT3;RAB11A;RNF149;ANKRD13D;AP5S1;TCIRG1;MAP2K1;HGS;SLC11A1;CST7;LAMTOR4;TSG101;BST2;IGF2R;VPS37C;OSBPL11;VAC14;CHMP1A;STX7;DENND10;MON1A;VPS37B;MCOLN1;ENTREP1;FIG4;CD68;MICALL1;HLA-DMA;EXOC8;WDR81;RMC1;MCOLN2;LAMTOR2;RNF13;SLC9A6;SLC9A8;RAB39A;VPS29;SNF8"
"GOCC_SPECIFIC_GRANULE",2.96649427585024e-12,2.78850461929922e-10,0.898671232061694,-0.493571303948745,-2.3912437610678,154,"STX3;CD36;SLCO4C1;MMP25;PTPRJ;AGPAT2;DNAJC5;ATP8A1;ANXA3;OLFM4;FOLR3;ORM1;STXBP2;ORM2;PGLYRP1;PDXK;TSPAN14;STK10;ACAA1;LAMTOR1;SLC44A2;CLEC12A;PTPN6;AP1M1;ITGAL;CNN2;PTPRB;ARG1;MCEMP1;CD177;CFP;LAMTOR3;VAMP8;TNFRSF1B;TOM1;ADGRG3;CTSD;CEACAM3;ATP11A;RAP1A;TRPM2;HPSE;KCNAB2;CD47;GHDC;OSCAR;CD33;RETN;BPI;TOLLIP;TMC6;CAMP;RAB27A;SLC15A4;GSDMD;FPR2;ITGB2;LAIR1;BST1;ANXA11;CLEC4D;HVCN1;CEACAM1;CD93;LAMTOR2;KPNB1;TMBIM1;DNASE1L1;CD59;SNAP23;ORMDL3;LRG1;CYBB;JUP;DGAT1;FCAR;ALDH3B1;MMP8;MOSPD2"
"GOCC_SECRETORY_GRANULE_MEMBRANE",4.89200233807838e-12,4.02367192306947e-10,0.887074988399873,-0.395483024780344,-2.07533201721469,295,"STX3;ABCA3;LAMP3;CA4;CD36;SLCO4C1;MME;MMP25;DOK3;PTPRJ;BRI3;FABP5;NBEAL2;ACP3;ARL8A;AGPAT2;FLOT2;DNAJC5;ATP8A1;RHOG;CXCR1;STXBP2;SERPINB6;ATP6V0A1;ITGA2B;RAB3D;TSPAN14;RAB5C;CXCR2;STK10;SIRPA;LAMTOR1;SLC44A2;CYSTM1;CLEC12A;LILRB2;PTAFR;AP1M1;ITGAL;PTPRB;SIGLEC5;RAB5B;MCEMP1;APLP2;ACRBP;SIGLEC9;CD177;SIRPB1;PLA1A;LAMTOR3;MGAM;VAMP8;EXOC3;TNFRSF1B;TOM1;ADGRG3;CEACAM3;LPCAT1;VAMP2;ATP11A;RAP1A;MGST1;TMEM63B;FCGR3B;FCER1G;RAB24;TRPM2;FPR1;NFAM1;KCNAB2;CAV2;IZUMO1;CD55;CD47;CAV1;CD33;LILRB3;CR1;SIGLEC14;LAMP1;TMC6;ITPR3;RAB7A;SLC15A4;FPR2;RHOF;RHOA;TYROBP;ITGB2;TCIRG1;ADGRE3;LAIR1;CYB5R1;SLC11A1;TLR2;BST2;ABCC4;IGF2R;BST1;TBC1D10C;CLEC4D;ADGRE5;ICA1;HVCN1;CD68;CEACAM1;CD93;CD14;LAMTOR2;TMEM179B;TMBIM1;RAB6A;CD59;SNAP23;NCSTN;PHACTR2;ITGAX;PECAM1"
"GOCC_CYTOPLASMIC_REGION",6.79708660958531e-12,4.96942554345237e-10,0.887074988399873,0.433368953621145,2.0257410736408,335,"GLI1;DLG2;RIMS2;CTNNB1;MAP1A;CENPF;HIF1A;NETO1;GPSM2;EFHC2;GRIK2;RPGRIP1L;CFAP54;WDPCP;CFAP210;DZIP1L;MNS1;FBXL13;KIF4A;BBOF1;DNAH7;CCDC146;MYCBPAP;TOGARAM1;LCA5;CLXN;NME5;KIF5C;DNAH6;CFAP300;CFAP263;KIF3A;SPATA7;SPACA9;IQCG;IQUB;DNALI1;WDR35;DNAI4;DNAJB13;CCDC40;RIBC2;PIERCE2;DNAI3;CCDC181;EFCAB6;PKD2;LCA5L;NPHP1;CFAP95;DNAL1;SPAG17;DNAI7;NME7;DYDC1;CCDC65;CFAP53;SPAG16;CFAP126;DYDC2;DRC3;IQCD;DYNC2H1;CFAP61;SAXO2;DNAH3;RSPH4A;CFAP161;ARMCX2;EFHB;TEKT3;CFAP251;EFHC1;AK8;BBS5;SPATA4;ODAD2;KIF19;RSPH10B2;IQCA1;CFAP57;CFAP46;PACRG;DNAH9;CFAP43;DNAH2;CFAP90;DNAAF1;SPAG6;RSPH9;DNAH12;RSPH14;MAK;NME9;ENKUR;KIF9;PIERCE1;KIF5A;HYDIN;DNAAF19;CFAP74;KATNIP;TTLL3;TEKT2;CFAP276;ODAD4;AGBL4;CFAP77;RIBC1;ERICH3;KIF21A;BBS7;RSPH10B;CFAP52;TCTE1;SPAG8;DYNC2LI1;IFT172;ODAD3;CCDC17;RSPH1;DNAI1;DNAH10;ERC2;CFAP107;TEKT1;DNAI2;TULP3;DYNLT2B;GLI3;AKAP14;DLG4;CIMIP2C;CFAP45;CFAP184;DRC7;B9D1;CIMIP2B;DNAH1;CCDC39;IFT70B;DRC1;RSPH3;CFAP144;DNAH11;CFAP141;C1orf87;STK36;CFAP100;CFAP91;CFAP65;WASF1;SEPTIN2;ARMC10;CCDC13;TEKT4;KIF1A;BRWD1;MAPK15;SPEF1;CFAP70;ROPN1L;CFAP73;SYBU;ODAD1;TRAF3IP1;SAXO4;OPA1;CCDC66;IFT70A;DNAH5;TRIM46;RP1;SPAST;CFAP119;AP3S1;SAPCD2;CFAP44;DYNLT4"
"GOCC_FICOLIN_1_RICH_GRANULE",3.01792469070978e-11,1.98579444648703e-09,0.851339057116899,-0.4605786786044,-2.25195731824145,174,"DOK3;NBEAL2;ARL8A;HSPA6;MAPK14;PYGL;DERA;COMMD9;HK3;FCN1;SERPINB6;ATP6V0A1;SIRPA;LAMTOR1;BIN2;OSTF1;LILRB2;GMFG;SIGLEC5;DBNL;PDAP1;CTSH;MGAM;ASAH1;IMPDH1;PSMC3;MNDA;CTSD;ARPC5;PSMD11;FCER1G;TRPM2;FPR1;CD55;LTA4H;C1orf35;CR1;SIGLEC14;SERPINA1;LAMP1;ACLY;PSMB7;GSDMD;FPR2;ACTR10;PSMD13;PGM1;PSMD3;RHOA;PSMB1;ITGB2;TCIRG1;ADGRE3;SLC11A1;ALDOC;PSMC2;MVP;TBC1D10C;CLEC4D;CAT;PFKL;ALOX5;PLEKHO2;CD93;APEH;TMEM179B;KPNB1;PAFAH1B2;PSMD2;ITGAX;ATG7;LRG1;AP2A2;PSMD12;JUP;FCAR;CSTB;GSTP1;IDH1;GYG1;NCKAP1L;PSMA5;CD300A;CAPN1;DIAPH1"
