"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOMF_ANTIGEN_BINDING",8.77432215878373e-29,9.31833013262832e-26,1.39518713415833,0.68825636143571,2.93239097099611,146,"IGHG1;IGKC;IGHG2;IGLC3;JCHAIN;IGHV3-23;IGLV2-14;IGHV4-39;IGLV3-21;IGKV4-1;IGHV4-59;IGLC2;IGLV3-1;IGHA1;IGHV2-70;IGLV1-40;IGHV4-61;IGKV3-20;IGHV5-51;IGLV2-8;IGLV2-11;IGHV3-21;IGHV3-73;IGKV1-17;IGLV1-47;IGHG3;IGLV3-25;IGHG4;IGLV6-57;IGLV3-19;IGHV1-18;IGHV3-11;IGKV1-5;IGHV3-66;IGLV1-51;IGLV1-44;IGHV2-5;IGLV2-23;IGHV3-7;IGHV3-48;IGHV3-49;IGHV4-34;IGHV3-74;IGHV3-15;IGHM;IGHV3-43;IGHV6-1;IGHV3-72;IGHV2-26;IGHV3-33;IGHV4-28;IGHV3-64D;IGKV1-39;IGHV3-20;IGHV1-58;IGLV7-43;IGHV4-4;IGHV3-64;IGLL5;IGHV5-10-1;IGHV3-13;IGLC6;IGHV1-3;IGHA2;IGKV1-16;IGLL1;IGHV1-24;IGKV1D-39;C4B;C4A;IGKV1D-12;IGHV1-45;IGKV5-2;HLA-DRB5;CD1A;IGHV3-53;IGLV3-27;IGHV3-30;IGHV1-69D;TOPORS"
"GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT",2.19928493727542e-19,1.16782030169325e-16,1.13308993200902,0.609024570299713,2.62169034320559,156,"COL14A1;LTBP1;ASPN;COL10A1;COL15A1;CTHRC1;COMP;MXRA5;COL17A1;HMCN1;POSTN;FBLN2;COL3A1;COL24A1;MFAP2;COL7A1;TNC;THBS2;COL18A1;PODNL1;COL1A1;COL22A1;COL1A2;IGFBP7;COL5A2;FN1;OGN;COL6A3;THSD4;FBN1;COL25A1;HMCN2;COL4A6;COL16A1;COL4A5;LTBP2;THBS3;MGP;ACAN;COL5A1;LUM;SPON1;COL9A1;TNXB;COL9A2;COL19A1;VCAN;COL8A1;TGFBI;PRG4;FBLN1;MUC5B;COL12A1;ECM1;MATN2;MUC5AC;SBSPON;TFPI2;CILP;COL6A2;SPARC;OTOGL;PODN;IMPG2;HAPLN1;HSPG2;COL4A1;COL6A1"
"GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_TENSILE_STRENGTH",5.97848327065412e-11,2.11638307781156e-08,0.839088935621274,0.736412422972538,2.57243251121531,41,"COL14A1;COL10A1;COL15A1;COL17A1;COL3A1;COL24A1;COL7A1;COL18A1;COL1A1;COL22A1;COL1A2;COL5A2;COL6A3;COL25A1;COL4A6;COL16A1;COL4A5;COL5A1;COL9A1;COL9A2;COL19A1;COL8A1;COL12A1;COL6A2;COL4A1;COL6A1"
"GOMF_GLYCOSAMINOGLYCAN_BINDING",2.01557451439598e-08,5.35135033572132e-06,0.73376198835648,0.44351782675168,1.97146706818593,198,"COMP;GREM2;POSTN;JCHAIN;MDK;CCDC80;THBS2;ECM2;EGFLAM;DPYSL3;FGF1;CXCL13;FN1;FGF14;IGHM;FBN1;FSTL1;COL25A1;SMOC1;LTBP2;THBS3;HABP2;CFH;ACAN;TWSG1;COL5A1;SERPINE2;LGR6;LAYN;TENM1;SMOC2;TNXB;SPOCK3;SERPINA5;LXN;CXCL6;THBS4;BMP7;PGF;VCAN;PODXL2;SERPIND1;MSTN;TNFAIP6;ADAMTS5;PLA2G2D;HAPLN3;FGF7;EXTL2;NLRP3;SLIT3;CCN4;NELL1;IMPG2;NELL2;HAPLN1;CCN2;STAB2;GZMK;CCL7;ADAMTS3;SUSD5;HMMR;EVA1C;COLQ;SOST;BMP4;DCN;CHODL;NRP2;PTN;ADAMTS1;CRISPLD2;FBLN7;CXCL8;THBS1;CTSG;AOC1;CCN1;SELP;PGLYRP4;CEMIP;SLIT1;PCOLCE;SFRP1;BGN;COL23A1;APOE"
"GOMF_INTEGRIN_BINDING",4.66826251092581e-08,9.91538957320641e-06,0.719512826338911,0.481817544195241,2.0532775873735,145,"SFRP2;THY1;COMP;CXCL12;TNN;ITGA2;S1PR3;COL3A1;FRMD5;TNC;IGF1;ITGB8;ECM2;FGF1;ITGAV;FERMT1;FAP;VCAM1;LRP12;FN1;FBN1;COL16A1;EGFL6;GFRA1;SPP1;ADAM23;COL5A1;PTPRZ1;ITGB4;ITGA9;ACTN1;ADAM22;TNXB;THBS4;TGFBI;FBLN1;ITGBL1;ITGB3;ADAMTS5;ITGB1BP2;IBSP;CCN4;TSPAN8;CDH17;CCN2;HSPG2"
"GOMF_OXIDOREDUCTION_DRIVEN_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",7.90330696683108e-08,1.27970330609699e-05,0.704975715167238,-0.561037163767441,-2.38692136491602,64,"CYB561D1;NDUFA12;MT-ND5;MT-ND2;MT-ND1;MTCO2P12;MT-ND6;CYC1;CYB561D2;NDUFB9;MT-CO2;COX8A;COX6B1;NDUFB6;NDUFS8;COX7A2L;NDUFA9;NDUFV1;NDUFA3;NDUFB3;NDUFS2;NDUFA2;COX5A;NDUFS6;MT-ND4;NDUFB7;NDUFV3;MT-ND4L;UQCR10;MT-ND3;MT-CYB;NDUFC2;NDUFS7;SURF1;NDUFB10;COX5B;COX7A1;UQCRC1;NDUFC1;CYBRD1;NDUFB4;COX7B;COX4I1;NDUFB8;MT-CO3;UQCRH;NDUFA4;NDUFB2"
"GOMF_ACYLTRANSFERASE_ACTIVITY_TRANSFERRING_GROUPS_OTHER_THAN_AMINO_ACYL_GROUPS",8.83517491363915e-08,1.27970330609699e-05,0.704975715167238,-0.375557640324944,-1.90313559625293,202,"ARRB1;FASN;ACAT2;ACSM3;AGPAT2;ACAT1;ZDHHC19;ELOVL3;PNPLA2;GPAM;ASPG;NMT1;CERS2;DGAT2;PLAAT3;ZDHHC7;ACAA1;AGPAT3;ZDHHC18;ALAS1;ACAA2;ZDHHC12;ZDHHC16;LPCAT3;ABHD8;SIRT7;BRPF1;SPTLC2;LPCAT1;NAA60;SAT2;PDHX;JADE2;PNPLA3;ZDHHC8;NAGS;KAT2B;PLAAT4;TAFAZZIN;PNPLA1;PLA2G15;ACSM5;GPAT3;ELOVL6;KAT8;PRDX6;ABHD14B;ELOVL1;SIRT6;ABHD5;YKT6;OXSM;NCOA1;ABHD4;KAT6A;NAT9;BLOC1S1;SPTSSA;GNPAT;LIPT2;CPT2;ZDHHC6;GCAT;PAFAH2;NAA10;SIRT3;PAFAH1B2;SIRT4;KAT5;NAA20;BRPF3;GTF3C4"
"GOMF_GTPASE_BINDING",9.63994957511855e-08,1.27970330609699e-05,0.704975715167238,-0.336122817256904,-1.77921450127605,321,"UNC13D;MLPH;EHD1;ANKRD27;UNC13B;GRIA1;BNIP3;ARHGEF2;TBC1D13;ARHGAP44;RAB11FIP1;HPS6;INF2;LRRK2;RIMS4;RILP;PKN1;FGD5;GGA2;GGA3;RADIL;LAMTOR1;GIT1;RAP1GAP;FGD3;RRAGC;RGP1;RPH3AL;RRAGD;MYO1C;GCC1;TRIOBP;DVL1;RIN2;MAP3K11;RILPL2;ALS2CL;XPO6;GNB2;SPHK2;RGL3;RASSF1;WAS;RAB3IP;RANGAP1;RASIP1;NCF2;RAP1A;TAMALIN;TNPO3;RANBP3;SPTBN1;RABGGTA;CAV1;GDI1;MYO5B;XPOT;PKN3;ADCYAP1R1;FMNL2;CDKL5;GGA1;RAB7A;ATP6AP1;RIMS3;RABAC1;CLTA;RAPGEF4;FGD2;ENO1;MAP2K1;ANKFY1;DAPK3;PAK2;VPS9D1;EVI5L;RIN3;FARP1;NOXA1;DENND10;BIN1;DOCK4;CYRIB;MICALL1;EXOC8;XPO7;PFN1;AFDN;LZTR1;LCP1;SYTL5;RNF41;BRK1;KPNB1;FMNL1;TBC1D20;PREB;SRGAP2;IPO9;DOCK5;AKAP13;RANBP17;DIAPH3;IPO5;CYFIP2;CDC42EP1;RPH3A;YBX1;STOML2;PEX5;XPO4;PRKCH;RAB8A;AP1G1;RAB29;DIAPH1;VPS39;WHAMM;EHBP1;TMEM127;SYTL4;DVL2;IPO8;MYO9B;IPO13;NDRG1;TNFAIP1;TSC2;CDC42EP4;GNB1;AMBRA1"
"GOMF_COLLAGEN_BINDING",3.40363722242894e-07,4.01629192246615e-05,0.674962860011025,0.584745560152382,2.18231434769427,61,"COL14A1;CTSK;COMP;ITGA2;COCH;MMP13;ECM2;ANTXR1;FN1;ITGA11;LUM;LRRC15;TNXB;TGFBI;LOX;COL6A2;SPARC;PODN;C1QTNF1;COL6A1;TMEM131;ITGB1;MRC2;MMP12;THBS1;ADAM9;PCOLCE;PAK1;AEBP1;P3H1;SMAD3;P3H4;DDR2;NID2"
"GOMF_METALLOENDOPEPTIDASE_ACTIVITY",6.61675801437824e-07,6.6003528883522e-05,0.659444398037935,0.509419511060069,2.03773652477352,91,"MMP16;ADAMTS14;ADAMTS19;MMP7;MMP11;MMP2;MMP13;ADAM12;ADAMTS16;MMP1;ADAMTS6;CLCA2;ECEL1;PAPPA;MMP3;ADAM28;MMP10;ADAM23;CLCA4;MMP19;PAPPA2;ADAMTS18;ADAM22;TRABD2B;IDE;ADAMTS5;ADAMTS4;PRSS2;KLK7;TRABD2A;ADAM19;ADAMTS3;ADAMTS12;ADAMTS1;MMP12;LMLN"
