"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"KEGG_OXIDATIVE_PHOSPHORYLATION",6.17247777908994e-11,1.13573591135255e-08,0.839088935621274,-0.514842722757717,-2.38977389711931,118,"ATP6V0A1;ATP6V1B2;SDHB;ATP6V1E1;PPA1;MT-ND5;MT-ND2;ATP6V1F;MT-ND1;COX17;MT-ND6;ATP6AP1;CYC1;ATP6V0B;TCIRG1;PPA2;NDUFB9;ATP6V0D1;ATP6V1A;MT-CO2;COX8A;COX6B1;NDUFB6;NDUFS8;COX7A2L;NDUFA9;NDUFV1;ATP5MG;NDUFA3;UQCR11;NDUFB3;NDUFS2;NDUFA2;ATP5PD;COX5A;NDUFS6;MT-ND4;COX6A1;ATP5F1D;COX6C;NDUFB7;NDUFV3;SDHA;ATP5MC2;ATP6V0E1;MT-ND4L;UQCR10;ATP5MC1;MT-ND3;MT-CYB;ATP5MC3;ATP5F1E;ATP5MF;NDUFC2;NDUFAB1;ATP6V1H;NDUFS7;ATP6V0E2;NDUFB10;COX5B;ATP6V1C1;ATP5PF;SDHCP5;COX7A1;COX7C;UQCRHL;UQCRC1;COX4I2;MT-ATP8;SDHD;NDUFC1;NDUFB4;COX7B;MT-ATP6;COX4I1;ATP6V1G1;NDUFB8;COX7A2;ATP5PB;ATP5F1B;MT-CO3;ATP5PO;UQCRH;NDUFA4;COX15;NDUFB2"
"KEGG_PROTEASOME",1.88452633606685e-07,8.66882114590752e-06,0.690132458796796,-0.633352025952592,-2.45164532656389,42,"PSMA3;PSMC3;PSMD11;PSMB9;PSMA7;PSMC5;PSMF1;PSMB7;PSMD13;PSMD3;PSMB1;PSME2;PSMC2;PSMB2;PSMD4;PSMB4;PSMD8;PSMB3;PSME3;PSME1;POMP;PSMD2;PSMA4;PSMA1;PSMD12;PSMB10;PSMB6;PSMA5;PSMD1"
"KEGG_ECM_RECEPTOR_INTERACTION",1.21411891966987e-07,8.66882114590752e-06,0.690132458796796,0.559299553932928,2.19842071452834,80,"COMP;TNN;ITGA2;COL3A1;ITGA7;TNC;THBS2;COL1A1;ITGB8;COL1A2;COL5A2;ITGAV;FN1;COL6A3;COL4A6;THBS3;ITGA11;SPP1;COL5A1;ITGB4;ITGA9;TNXB;THBS4;SDC2;ITGB3;IBSP;SV2B;COL6A2;CHAD;HSPG2;COL4A1;COL6A1;SV2A;HMMR;RELN;ITGB5;ITGB1;ITGA4;SDC3;THBS1"
"KEGG_ENDOCYTOSIS",1.75182169016977e-07,8.66882114590752e-06,0.690132458796796,-0.392191839881344,-1.90640446547228,174,"ARRB1;EHD1;ADRB2;MVB12B;PRKCZ;EPN1;ARFGAP2;DNM2;HSPA6;RAB11FIP1;SH3GL2;FGFR4;PIP5K1B;CXCR1;RAB5C;CXCR2;VPS4A;ARAP2;GIT1;KDR;RAB5B;NEDD4L;ARAP1;ADRB1;HLA-E;LDLRAP1;ARRB2;ARAP3;EGF;EHD2;GRK5;CLTB;GRK6;GRK2;STAM;CHMP6;SH3GL3;CHMP2A;FLT1;LDLR;CLTA;RAB11A;PARD6B;DNM3;PDGFRA;HGS;ERBB3;TSG101;VPS37C;AP2M1;HLA-G;PARD3;VPS37B;HLA-F;PSD4;RNF41;AP2S1;SNF8;ARFGAP1;IGF1R;AP2A2;DNAJC6;HRAS;VPS4B;SRC;AP2B1;TFRC;RUFY1;CHMP5;RAB5A"
"KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS",3.48801287348956e-07,1.28358873744416e-05,0.674962860011025,-0.84392001348907,-2.37687734555769,14,"ACAT2;HMGCS1;MVD;HMGCR;IDI1;ACAT1;FDPS;MVK;PMVK"
"KEGG_STEROID_BIOSYNTHESIS",1.31207097043601e-06,4.0236843093371e-05,0.643551836150722,-0.787419035292553,-2.37349761578475,17,"DHCR7;MSMO1;LSS;EBP;DHCR24;SQLE;TM7SF2;SC5D;HSD17B7;CYP51A1;FDFT1;NSDHL"
"KEGG_PARKINSONS_DISEASE",4.1250166806003e-06,0.000108429009890065,0.610526878385931,-0.417864444356219,-1.93821321506773,119,"LRRK2;UBE2L6;SDHB;MT-ND5;MT-ND2;MT-ND1;MT-ND6;CYC1;NDUFB9;UBE2J2;SLC25A5;MT-CO2;UBA1;COX8A;COX6B1;NDUFB6;NDUFS8;COX7A2L;NDUFA9;NDUFV1;NDUFA3;UQCR11;NDUFB3;NDUFS2;NDUFA2;ATP5PD;UBE2L3;COX5A;NDUFS6;MT-ND4;COX6A1;ATP5F1D;COX6C;NDUFB7;NDUFV3;SDHA;ATP5MC2;MT-ND4L;UQCR10;ATP5MC1;MT-ND3;MT-CYB;ATP5MC3;ATP5F1E;NDUFC2;NDUFAB1;VDAC2P5;SLC25A4;NDUFS7;NDUFB10;VDAC2;COX5B;ATP5PF;SDHCP5;COX7A1;COX7C;APAF1;UQCRHL;UQCRC1;COX4I2;MT-ATP8;SDHD;NDUFC1;NDUFB4;UBA7;COX7B;PARK7;MT-ATP6;COX4I1;NDUFB8;COX7A2;ATP5PB;ATP5F1B;MT-CO3;ATP5PO;UQCRH;NDUFA4;PINK1;NDUFB2"
"KEGG_SPLICEOSOME",1.41194473984828e-05,0.000324747290165105,0.593325476396405,-0.396434091858283,-1.85066381810411,122,"HSPA6;XAB2;LSM6;CTNNBL1;CCDC12;SART1;SF3A2;RBM17;PRPF6;ISY1;SNRPB;LSM4;SNRPF;RBM22;PHF5A;SNU13;DHX38;SNRPC;PRPF19;SF3B4;ALYREF;HNRNPM;CWC15;DDX23;DHX16;SRSF8;LSM3;PRPF3;SF3B5;THOC2;MAGOH;USP39;U2AF2;SRSF3;PQBP1;SNRNP40;SF3B6;WBP11;PUF60;TXNL4A;SNRPD3;SNRPD2;PRPF38A;SRSF4;EFTUD2;SNRPB2;SF3B2;SF3A3;SNRPG;MAGOHB;SYF2;SLU7;PCBP1;AQR;SNRPA"
"KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC",4.45051099814272e-05,0.000909882248509178,0.557332238758646,0.512038733726277,1.94496372579936,67,"CDH2;ITGA2;PKP2;ITGA7;LEF1;ITGB8;CACNA1C;CTNNA3;ITGAV;CTNNB1;SGCD;DMD;ATP2A2;ITGA11;DES;ITGB4;ITGA9;ACTN1;LMNA;CACNA2D1;CACNB3;CACNB2;ITGB3;SLC8A1;RYR2;DSP;ITGB5;ITGB1;ITGA4;SGCB"
"KEGG_P53_SIGNALING_PATHWAY",6.00202739062543e-05,0.00110437303987508,0.557332238758646,0.499949339130172,1.90650539858683,68,"ZMAT3;IGF1;GADD45A;SERPINB5;DDB2;SESN3;CDKN2A;SERPINE1;STEAP3;TNFRSF10B;CCND2;MDM2;PTEN;CDKN1A;TP73;CCNB2;TP53AIP1;PERP;CHEK2;CASP3;CDK1;IGFBP3;THBS1;ATM;GTSE1;ATR;CCNB1;CHEK1;PMAIP1;CCNE1;CCNE2;RRM2"
