"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_CILIUM_MOVEMENT",2.37069520133445e-22,1.15737339729148e-18,1.22105375677186,0.55162200285907,2.56345808512785,245,"SLC9B2;CABYR;EFHC2;CFAP54;CFAP69;MNS1;FSIP2;DNAH7;IFT81;CFAP210;CLXN;DZIP1;CELSR2;FBXL13;ING2;PIERCE2;BBOF1;EFCAB6;DNAH6;ARMC2;DNAI4;DYNC2H1;CCDC181;CFAP161;JHY;MYCBPAP;DNAAF11;DNALI1;TTLL5;NME5;DYDC1;CCDC146;SPACA9;IQUB;EFHB;VANGL1;NME7;IQCA1;SPEF2;CCDC40;CFAP47;ARMC3;CEP128;CFAP58;ZMYND12;CFAP95;DNAH3;RSPH4A;SPAG17;DNAI3;DRC3;CFAP53;CFAP57;DNAAF2;IQCG;CFAP46;IQCD;NEK10;CFAP43;RIBC1;DNAH9;TACR1;ENKUR;CFAP77;ODAD2;CCDC65;SPA17;SPMIP6;CFAP251;PACRG;CFAP126;BBS4;DNAAF19;POC1B;ODAD3;DNAH12;TMEM232;RFX3;DNAJB13;RIBC2;DNAAF6;SPAG6;DNAH2;EPPIN;CATSPERD;SPAG16;ODAD4;CFAP90;KIF9;HYDIN;CWH43;RSPH9;CFAP61;MEIG1;SPAG8;CFAP298;DNAI1;LRRC23;GAS2L2;DNAAF1;RSPH14;EFHC1;LRRC46;HOATZ;CFAP276;RSPH3;CFAP52;TEKT2;PIERCE1;TTC29;CIMIP2C;SORD;CATSPERB;BBS2;TCTE1;DNAH10;LZTFL1;TEKT1;CFAP100;CFAP107;CFAP91;KATNIP;CCDC39;RSPH1;ASH1L;TEKT3;TTLL3;CEP78;DNAI2;ROPN1B;DRC1;DNAH11;DNAH5;ROPN1L;CFAP45;TMF1;CFAP144;DNAAF3;CFAP65;DRC7;PSME4;PSMA2;CATSPERE;TTC21A;CFAP157;DEFB1;ATP2B4;CFAP70;ZMYND10;DAW1;CFAP141;DPCD;TTLL6;CFAP73;CCDC88C;KIF27;TTLL1;CFAP20;SLC9B1;VPS13A;TEKT4;ODAD1;DNAH1;SAXO4;STK36"
"GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY",7.09492015214394e-19,1.73187000913834e-15,1.12391496374483,0.555127271182496,2.52999113955204,208,"SLC9B2;EFHC2;CFAP54;CFAP69;MNS1;FSIP2;DNAH7;IFT81;CFAP210;CLXN;DZIP1;FBXL13;ING2;PIERCE2;BBOF1;EFCAB6;DNAH6;ARMC2;DYNC2H1;CCDC181;CFAP161;MYCBPAP;DNAAF11;DNALI1;TTLL5;NME5;DYDC1;CCDC146;SPACA9;IQUB;EFHB;NME7;IQCA1;SPEF2;CCDC40;CFAP47;ARMC3;CEP128;CFAP58;ZMYND12;CFAP95;DNAH3;RSPH4A;DNAI3;DRC3;CFAP53;CFAP57;DNAAF2;IQCG;CFAP46;IQCD;CFAP43;RIBC1;DNAH9;TACR1;ENKUR;CFAP77;ODAD2;CCDC65;SPMIP6;CFAP251;PACRG;CFAP126;BBS4;POC1B;ODAD3;DNAH12;TMEM232;RFX3;DNAJB13;RIBC2;DNAAF6;SPAG6;DNAH2;EPPIN;CATSPERD;SPAG16;ODAD4;CFAP90;KIF9;RSPH9;CFAP61;MEIG1;SPAG8;DNAI1;LRRC23;GAS2L2;RSPH14;EFHC1;LRRC46;HOATZ;CFAP276;RSPH3;CFAP52;TEKT2;PIERCE1;CIMIP2C;SORD;CATSPERB;BBS2;TCTE1;DNAH10;LZTFL1;TEKT1;CFAP107;CCDC39;RSPH1;ASH1L;TEKT3;TTLL3;CEP78;ROPN1B;DRC1;DNAH11;DNAH5;ROPN1L;CFAP45;TMF1;CFAP144;CFAP65;DRC7;PSME4;PSMA2;CATSPERE;TTC21A;CFAP157;DEFB1;ATP2B4;CFAP141;DPCD;TTLL6;TTLL1;CFAP20;SLC9B1;VPS13A;TEKT4;ODAD1;DNAH1;SAXO4"
"GOBP_MICROTUBULE_BUNDLE_FORMATION",8.91738104080041e-18,1.45115514137292e-14,1.0864405425825,0.615917704067283,2.60536978998344,128,"MAP1B;CAPN6;CFAP69;CC2D2A;MNS1;FSIP2;DNAH7;CLXN;TPPP3;PIERCE2;BBOF1;TOGARAM1;CLUAP1;ARMC2;DNAI4;JHY;DNAAF11;TTLL5;CCDC146;SPACA9;SPEF2;CCDC40;CFAP47;IFT56;CFAP58;ZMYND12;DNAH3;RSPH4A;SPAG17;DNAI3;CFAP57;DNAAF2;DNAL1;IQCG;CFAP46;CFAP43;ODAD2;CCDC65;DNAAF19;ODAD3;DNAH12;DNAJB13;DNAAF6;SPAG6;DNAH2;SPAG16;ODAD4;HYDIN;MTCL1;RSPH9;MEIG1;CFAP74;DNAI1;LRRC23;GAS2L2;DNAAF1;LRRC46;HOATZ;TEKT2;PIERCE1;BBS2;KIF20A;AXDND1;CFAP100;CFAP91;CCDC39;DNAAF10;RSPH1;FOXJ1;TTLL3;CCDC66;DNAI2;DRC1;DNAH5;SPAG1;DNAAF8;TPPP;DNAAF3;CFAP65;DRC7;RP1;CFAP157;ZMYND10;DAW1;CLASP1;ZNF207;TTLL6;CFAP73;SPAST;CCDC88C;LRGUK;TTLL1;ODAD1;DNAH1;STK36;NAV1"
"GOBP_AXONEME_ASSEMBLY",1.93624344747473e-17,2.36318512764291e-14,1.07686819261983,0.66584009088669,2.69660284594602,98,"CFAP69;CC2D2A;MNS1;FSIP2;DNAH7;CLXN;PIERCE2;BBOF1;TOGARAM1;CLUAP1;ARMC2;DNAI4;JHY;DNAAF11;TTLL5;CCDC146;SPACA9;SPEF2;CCDC40;CFAP47;IFT56;CFAP58;ZMYND12;DNAH3;RSPH4A;SPAG17;DNAI3;CFAP57;DNAAF2;DNAL1;IQCG;CFAP46;CFAP43;ODAD2;CCDC65;DNAAF19;ODAD3;DNAH12;DNAJB13;DNAAF6;SPAG6;DNAH2;SPAG16;ODAD4;HYDIN;RSPH9;MEIG1;CFAP74;DNAI1;LRRC23;DNAAF1;LRRC46;HOATZ;TEKT2;PIERCE1;BBS2;AXDND1;CFAP100;CFAP91;CCDC39;DNAAF10;RSPH1;FOXJ1;TTLL3;DNAI2;DRC1;DNAH5;SPAG1;DNAAF8;DNAAF3;CFAP65;DRC7;RP1;CFAP157;ZMYND10;DAW1;CFAP73;LRGUK;TTLL1;ODAD1;DNAH1;STK36"
"GOBP_CILIUM_ORGANIZATION",2.48936808726037e-16,2.43061900040102e-13,1.03769615548758,0.426655073923307,2.08109617307738,452,"TUB;TRIM32;CEP97;ADAMTS16;CFAP54;DMD;UBXN10;CFAP69;CC2D2A;RPGRIP1L;TCTN1;TBC1D19;CDC14B;TBC1D32;IFT52;WDPCP;DISC1;MNS1;FSIP2;TTC8;DNAH7;LCA5;IFT81;TMEM231;CLXN;DZIP1;NEK1;CELSR2;BBS9;DNMBP;CPLANE1;DZIP1L;RAB23;CEP126;PIERCE2;TTC39C;BBOF1;TOGARAM1;CLUAP1;ARMC2;CFAP263;KIAA0586;DNAI4;CC2D2B;DYNC2H1;CCDC181;TBC1D1;TTBK2;CFAP161;JHY;MYCBPAP;DNAAF11;DNALI1;TTLL5;NME5;CCDC146;SPACA9;KIF24;TMEM67;IQUB;KIF3A;NME7;SPEF2;CCDC40;CFAP47;CEP128;DYNLRB2;IFT56;CFAP58;ZMYND12;FAM161A;WDR35;C2CD3;DNAH3;RSPH4A;SPAG17;CILK1;DNAI3;CFAP53;CFAP57;DNAAF2;DNAL1;IQCG;LCA5L;MAK;CFAP46;CEP83;CFAP43;TCTN3;ODAD2;CCDC65;CCNO;CFAP126;BBS4;DNAAF19;POC1B;ODAD3;DNAH12;ATAT1;RFX3;IQCB1;DNAJB13;LIMA1;DNAAF6;SPAG6;DNAH2;SPAG16;ODAD4;IFT27;HYDIN;BBS7;CWH43;RSPH9;CFAP61;MEIG1;KCNF1;DYNC2I1;CFAP74;TBC1D31;CFAP298;DNAI1;LRRC23;SEPTIN2;DNAAF1;CIMAP3;IFT70B;LRRC46;ERICH3;HOATZ;RABL2A;MPHOSPH9;TEKT2;MCIDAS;PIERCE1;TTC29;INTU;DYNLT2B;IFT74;BBS2;TEKT1;IFT46;AXDND1;CEP41;RABL2B;CFAP100;CFAP91;KATNIP;CCDC39;DNAAF10;RSPH1;TMEM107;CIBAR2;RFX2;FOXJ1;BBS5;IFT43;PKD2;KIF19;TEKT3;TTLL3;CEP78;IFT172;CCDC66;SPATA6;DNAI2;CFAP184;ROPN1B;CEP290;DRC1;RABGAP1;ODF2L;IFT22;DNAH5;SPAG1;DNAAF8;FAM161B;PKHD1;DNAAF3;PLK4;CFAP65;MAPK15;BBS10;DRC7;RP1;LPAR1;GSN;BBIP1;TTC21A;CFAP157;CFAP70;ZMYND10;CIBAR1;IFT70A;CCDC15;CATIP;DAW1;TXNDC15;WDR44;CCP110;GALNT11;CEP19;TRAF3IP1;SCLT1;USP9X;SSX2IP;CFAP73;CCDC88C;CEP350;LRGUK;KIF27;TTLL1;PIBF1;CFAP20;ATMIN;DYNC2LI1;CCDC88A;SYNE2;TCTN2;TEKT4;CDKL1;MKS1;ODAD1;DNAH1;IFT25;STK36;TTC21B"
"GOBP_B_CELL_MEDIATED_IMMUNITY",5.27864661072383e-15,4.29505879225896e-12,0.99698621753318,0.540934330690425,2.39840568582586,177,"IL13RA2;IGLC3;IGHG1;IGHG2;IGHV4-59;IGHV5-51;IGHV4-61;IGHV2-70;IGHV4-39;IGHV3-73;IGHV3-23;IGKC;IGHV3-21;IGHG4;IGHG3;IGHA1;IGHV3-66;IGLC2;IGHV3-64;IGHV3-11;IGHV3-7;IGHV1-18;IGHV3-48;IGHV4-34;IGHV3-43;IGHV3-49;IGHV2-5;IGHV4-28;C4A;IGHV3-33;IGHV2-26;IGHV4-4;TP53BP1;IGLL1;IGHV3-64D;IGLC6;IGHV1-58;IGHV6-1;SUSD4;IGHV3-15;IGHV3-74;IGLL5;IGHV3-72;IGHV1-3;IGHV3-20;C6;IGHV5-10-1;CD27;IGHV3-13;C4B;MSH6;CD28;APLF;IGHV1-24;C7;IGHV1-45;FCGR2C;SWAP70;CFI;SANBR;IGHV3-30;CD70;TNFSF4;IGHV7-4-1;FCGR2B;CR2;IGHV3-53;FOXP3;C1S"
"GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION",1.3368053380297e-12,9.32326237180144e-10,0.910119734774459,0.439963469275389,2.0853201216783,311,"COL14A1;COL10A1;HPSE2;ITGA2;MMP16;HMCN1;COL17A1;COL15A1;ADAMTS19;SFRP2;POSTN;ADAMTS14;COMP;SULF1;CTSK;COL24A1;MMP7;MYO1E;ECM2;COL18A1;COL22A1;MMP11;THSD4;MMP13;ANTXR1;MYH11;PXDNL;COL7A1;SERPINB5;LUM;FERMT1;MMP1;MMP2;ADAMTS16;EGFLAM;COL4A6;ADAMTS6;FAP;COL3A1;SMOC1;CCDC80;P4HA3;HAS2;MMP19;EGFL6;FOXC1;CSGALNACT1;TNXB;COL4A5;COL8A1;FLRT2;ITGB3;COL1A2;LOXL1;ADAMTSL1;MMP10;COL9A1;MMP3;COL9A2;COL1A1;NF1;MATN2;CTSV;KLK7;CMA1;COL5A2;TMEM38B;ADAMTS18;ITGA8;LOXL2;COL12A1;TGFBI;PRDX4;MFAP4;ITGB1;LOX;PRSS2;ADAMTS3;GFOD2;PBXIP1;COL16A1;SULF2;LARGE1;CCN1;IBSP;ADAMTS4;KIF9;COL6A5;COL8A2;FBLN1;GAS2;PAPLN;SOX9;LOXL4;COL5A1;SMOC2;ADAMTS1;OLFML2B;TGFB2;PLG;COL4A1;PLOD2;COL19A1;FKTN;SLC2A10"
"GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS",7.68828654405309e-12,4.6917768635084e-09,0.875325132024659,-0.348671086298732,-1.92047601974247,399,"TRIM25;S100A8;NAGLU;CD36;S100A9;FCN3;CD274;GKN2;CD300LF;NPLOC4;SIGLEC16;DUOX1;TRIM65;RNF185;RASGRP4;S100A14;MAVS;FCN1;STAT5A;SPI1;AKT1;TARBP2;FFAR2;MEFV;IFI35;ZDHHC12;SLC46A2;TLR3;ZDHHC18;TNIP2;HCK;KCNK6;PVR;CASP1;GDI1;ABHD8;TLR4;TRIM56;POLR3B;ARG1;GPATCH3;ZCCHC3;NAIP;CLEC4E;SLC15A3;NOD2;IRAK1;CACTIN;PARP9;TYRO3;FYN;IL18RAP;CPTP;ABHD17A;DHX58;PHB1;CFP;ARRB2;MYD88;TNIP1;NOD1;SLC19A1;NFKBIA;PTPRS;LAMP1;RBM47;PIK3AP1;NCR3;MAPKAPK3;PDPK1;NLRX1;IRF5;HLA-E;ECSIT;SH2D1B;OASL;HLA-F;KAT5;DDX41;ZNFX1;NECTIN2;TRIM41;PPP6C;DAB2IP;PCBP2;CAMP;TAB1;CHUK;TYROBP;ZC3HAV1;PRKCE;LYN;TXK;PRKCA;CD14;ADCY7;SQSTM1;PQBP1;AKIRIN2;TRIM11;TMEM126A;VAV1;TICAM1;IRF1;POMC;NMI;KLRD1;CD160;CYBA;CADM1;IKBKE;MNDA;PRKD1;NLRC5;GPR108;STAT5B;IL12A;RSAD2;TLR8;NR1H3;HLA-G;RELA;SLC15A2;LILRA2;PAK2;SCIMP;RPS19;CARD8;SLC15A4;MAPKAPK2;NAGK;LGALS9;UBE2K;IRF3;AARS2;NLRC4;SYK;TLR2;CD1D;SASH1;IRF7;PHB2;RALB;LRRC19"
"GOBP_OXIDATIVE_PHOSPHORYLATION",1.40929745518053e-10,7.64465575132374e-08,0.826657301178302,-0.473762032534397,-2.26882121479433,135,"NUPR1;MLXIPL;DNAJC15;MT-ND1;NDUFV1;ABCD1;MTCO2P12;NDUFA3;DNAJC30;SHMT2;CYC1;MT-ND6;NDUFS8;MT-ND2;ANTKMT;COX6B1;UQCRHL;NDUFA9;MT-ND5;NDUFB9;NDUFS2;NDUFB7;NDUFA12;MT-CO2;COX8A;RHOA;ATP5F1D;SDHA;SDHB;NDUFS6;SDHAF2;BCL2L13;NDUFA2;NDUFB6;GHITM;ATP5PD;NDUFB11;STOML2;NDUFV3;DGUOK;SIRT3;NDUFB3;UQCRC1;ATP5F1E;ATP5MG;MT-ND4;NDUFC2;PPIF;COX7A1;MT-CYB;NDUFAB1;NDUFS7;UQCR10;COX6C;COX4I1;COX5B;COX5A;UQCR11;ATP5MF;MT-ND3;ATP5PF;COX6A1;MT-CO3;MT-ND4L;ATP5PO;NDUFB10;SDHD;ATP5ME;COX7C;COX7A2L;NDUFC1;MACROH2A1;NDUFS3;NDUFB8;MT-ATP6;UQCRFS1;SLC25A23;NDUFB1;UQCC2;PARK7;ETFRF1;ATP5F1B;NDUFB2;MT-ATP8;SLC25A51;COX4I2;NDUFA1;UQCRH"
"GOBP_MITOCHONDRION_ORGANIZATION",2.83483838225949e-10,1.38396809821908e-07,0.814035837847908,-0.332696579542314,-1.83248863461519,399,"CEBPA;CHCHD7;BNIP3;HK2;AGTPBP1;INF2;DMAC2;CLUH;FAM3A;MTCH1;SHARPIN;AIFM2;TAFAZZIN;PANK2;AKT1;NAIF1;LRRK2;PISD;PID1;ADCK1;ATAD3A;RAB32;LETM1;IFIT2;CASP1;LONP1;TIMM13;POLDIP2;SIRT7;PGAM5;MT-ND1;RALA;ACAA2;ALKBH7;RTL10;PRELID1;SIVA1;TOMM40;CCAR2;GPER1;SLC35F6;EPAS1;COX17;RCC1L;PHB1;ZNF205;GSK3A;RHOT2;TMEM186;MICOS13;HAX1;BBC3;WDR81;CLPP;BCL2L2;FIS1;MT-ND6;MFN2;NDUFS8;MT-ND2;HMGCL;MYH14;BLOC1S2;MT-ND5;TIMM50;TMEM223;PET100;ECSIT;NME3;NDUFS2;COX19;VAT1;ATAD3C;DNAJC11;NECTIN2;COA7;NOL3;LYRM2;ATP5F1D;TRABD;BOK;UQCC5;TIMM10B;NDUFAF3;SDHAF1;NDUFS6;SDHAF2;SQSTM1;ACAD9;RHOT1;TIMM10;BCL2L13;TNFSF10;HSD17B10;TMEM126A;BCL2L1;CHCHD6;COA8;BCL2A1;PPM1K;PARL;UQCC4;YY1;GHITM;CHCHD10;GSK3B;JTB;OPA3;CALM3;KDR;STOML2;PTPMT1;AFG3L2;ATP13A2;ATAD3B;CAV2;FMC1;SLC9A1;TIMM29;MT-ND4;SLC25A5;NDUFC2;PPIF;COX7A1;ATG3;RAB5IF;HIGD1A;NDUFAF4;GGCT;BAD;NDUFS7;IFI6;CCDC93;RAP1GDS1;TACO1;FZD9;ATP2A1;PHB2;BAK1;SSBP1;MIGA2;SPG7;TMEM126B;TOMM7;COA5;MIEF1;HIP1R;COA3;BAX;ATPAF2;CYRIB;MGARP;TOMM5;P2RX7;FOXRED1;SOD2;SIRT4;TIMMDC1;COX14;TIMM8A;TIMM8B;NDUFAF5;COA4;MUL1"
