"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS",1.40740041553729e-23,1.94221257344147e-20,1.25451347943706,0.780898500182119,3.04167294394574,74,"IGLC3;IGHG1;IGLV2-14;IGHG2;IGLV3-1;IGHV4-59;IGLV3-21;IGHV2-70;IGLV1-47;IGHV4-39;IGHV3-23;IGHV1-46;IGLV2-8;IGLV1-40;IGHG4;IGLV3-25;IGKV4-1;IGHV1-2;IGLV2-11;IGKV1-17;IGKV3-20;IGLC2;IGLV6-57;IGLV2-23;IGLV1-44;IGHV3-11;IGLV3-19;IGHV3-7;IGHV3-48;IGHV4-34;IGKV1-5;IGLV1-51;IGHV2-5;IGHV3-33;IGKV3D-20;IGKV3-11;IGKV1D-16;IGKV1-39;ITPR1;IGKV1D-39;IGLV7-43;IGHV3-13;IGKV1-12;IGKV5-2;IGKV1-16;IGKV2D-40;PLD1;IGHV3-30;IGKV1D-12;PLPP5;PLPP4;PLD2"
"REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA",1.6509461987703e-22,1.13915287715151e-19,1.22950405660873,0.799593549321275,3.03678521473324,62,"IGLC3;IGLV2-14;IGLV3-1;IGHV4-59;IGLV3-21;IGHV2-70;IGLV1-47;IGHV4-39;IGHV3-23;IGHV1-46;IGLV2-8;IGLV1-40;IGLV3-25;IGKV4-1;IGHV1-2;IGLV2-11;IGKV1-17;IGHA1;IGKV3-20;IGLC2;IGLV6-57;JCHAIN;IGLV2-23;IGLV1-44;IGHV3-11;IGLV3-19;IGHV3-7;IGHV3-48;IGHV4-34;IGKV1-5;IGLV1-51;IGHV2-5;IGHV3-33;IGKV3D-20;IGKV3-11;IGKV1D-16;IGKV1-39;IGKV1D-39;IGLV7-43;IGHV3-13;IGKV1-12;IGKV5-2;IGKV1-16;IGKV2D-40;IGHV3-30;HBB;IGKV1D-12"
"REACTOME_CD22_MEDIATED_BCR_REGULATION",3.77953641024887e-22,1.30394006153586e-19,1.22105375677186,0.824145756730071,3.07345259393313,54,"IGLC3;IGLV2-14;IGLV3-1;IGHV4-59;IGLV3-21;IGHV2-70;IGLV1-47;IGHV4-39;IGHV3-23;IGHV1-46;IGLV2-8;IGLV1-40;IGLV3-25;IGKV4-1;IGHV1-2;IGLV2-11;IGKV1-17;IGKV3-20;IGLC2;IGLV6-57;IGLV2-23;IGHM;IGLV1-44;IGHV3-11;IGLV3-19;IGHV3-7;IGHV3-48;IGHV4-34;IGKV1-5;IGLV1-51;IGHV2-5;IGHV3-33;IGKV3D-20;IGKV3-11;IGKV1D-16;IGKV1-39;CD79A;IGKV1D-39;IGLV7-43;IGHV3-13;IGKV1-12;IGKV5-2;IGKV1-16;IGKV2D-40"
"REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS",3.19261807828016e-22,1.30394006153586e-19,1.22105375677186,0.735400857631285,2.93651521418813,87,"IGLC3;IGHG1;IGLV2-14;IGHG2;IGLV3-1;IGHV4-59;IGLV3-21;IGHV2-70;IGLV1-47;IGHV4-39;IGHV3-23;IGHV1-46;IGLV2-8;IGLV1-40;IGHG4;IGLV3-25;IGKV4-1;IGHV1-2;IGLV2-11;IGKV1-17;IGKV3-20;IGLC2;IGLV6-57;IGLV2-23;IGLV1-44;IGHV3-11;IGLV3-19;IGHV3-7;IGHV3-48;IGHV4-34;IGKV1-5;IGLV1-51;IGHV2-5;IGHV3-33;IGKV3D-20;ADCY2;ADCY5;IGKV3-11;IGKV1D-16;IGKV1-39;ITPR1;IGKV1D-39;IGLV7-43;IGHV3-13;IGKV1-12;PRKACB;IGKV5-2;IGKV1-16;IGKV2D-40"
"REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION",7.76631204866106e-22,2.14350212543045e-19,1.21254456769062,0.666368629828172,2.80015632041306,121,"IGLC3;IGHG1;IGLV2-14;IGHG2;IGLV3-1;IGHV4-59;IGLV3-21;IGHV2-70;IGLV1-47;IGHV4-39;IGHV3-23;IGHV1-46;IGLV2-8;IGLV1-40;IGHG4;IGLV3-25;IGKV4-1;IGHV1-2;IGLV2-11;IGKV1-17;IGKV3-20;IGLC2;IGLV6-57;IGLV2-23;IGLV1-44;IGHV3-11;IGLV3-19;IGHV3-7;IGHV3-48;IGHV4-34;IGKV1-5;IGLV1-51;GNB5;IGHV2-5;DPEP1;IGHV3-33;IGKV3D-20;ADCY2;ADCY5;IGKV3-11;IGKV1D-16;IGKV1-39;GNG2;CYSLTR1;ITPR1;IGKV1D-39;IGLV7-43;IGHV3-13;IGKV1-12;PRKACB;IGKV5-2;IGKV1-16;IGKV2D-40;GNG12;CYSLTR2"
"REACTOME_FCGR_ACTIVATION",1.41238779888001e-21,3.24849193742402e-19,1.20397524075264,0.790816134245861,3.00344937260793,62,"IGLC3;IGHG1;IGLV2-14;IGHG2;IGLV3-1;IGHV4-59;IGLV3-21;IGHV2-70;IGLV1-47;IGHV4-39;IGHV3-23;IGHV1-46;IGLV2-8;IGLV1-40;IGHG4;IGLV3-25;IGKV4-1;IGHV1-2;IGLV2-11;IGKV1-17;IGKV3-20;IGLC2;IGLV6-57;IGLV2-23;IGLV1-44;IGHV3-11;IGLV3-19;IGHV3-7;IGHV3-48;IGHV4-34;IGKV1-5;IGLV1-51;IGHV2-5;IGHV3-33;IGKV3D-20;IGKV3-11;IGKV1D-16;IGKV1-39;IGKV1D-39;IGLV7-43;IGHV3-13;IGKV1-12;IGKV5-2;IGKV1-16;IGKV2D-40"
"REACTOME_NEUTROPHIL_DEGRANULATION",3.32842761690419e-21,6.56175730189683e-19,1.19534448258848,-0.411467109177417,-2.30992126817901,452,"UNC13D;S100A8;CD36;ARHGAP45;PTPRJ;MMP25;S100A9;ARL8A;FGR;BRI3;DOK3;PDXK;FABP5;AGPAT2;ORM2;DNAJC5;SLCO4C1;RHOG;CNN2;NBEAL2;CD177;S100A12;PYGL;ORM1;STK10;GCA;PRTN3;OLFM4;TSPAN14;HSPA6;RNASE3;TOM1;PDAP1;SERPINB6;MPO;ATP8A1;DBNL;HK3;ACP3;ITGAL;FCN1;RAB5C;AP1M1;PTPN6;COMMD9;RAB3D;SIRPA;PSMC3;PGLYRP1;ATP6V0A1;FOLR3;TRPM2;MME;GMFG;LAMTOR1;CTSD;BIN2;MAPK14;PRKCD;ACAA1;RNASE2;IMPDH1;VAMP8;ARG1;PTAFR;TBC1D10C;PSMD13;GSDMD;TNFRSF1B;LILRB2;KCNAB2;TMC6;DERA;MVP;PTPRB;GHDC;OSTF1;APRT;FTL;TCIRG1;ADGRG3;PFKL;ARPC5;RAB24;CYSTM1;CFP;FCER1G;RHOF;MCEMP1;PRDX6;CTSH;SLC44A2;SIGLEC9;ACLY;LAMP1;PSMD11;ADGRE5;PSMD3;CXCR1;CLEC12A;RAB5B;C1orf35;NFAM1;APEH;ALDOC;CEACAM3;HP;ACTR10;ARHGAP9;PSMB7;ORMDL3;MGST1;PTGES2;DPP7;ASAH1;PSMB1;VAT1;PGM1;MGAM;LAMTOR2;LAIR1;ITGB2;CAMP;RHOA;CD47;TYROBP;RAB27A;OSCAR;TRAPPC1;BPI;NAPRT;CD14;ARSA;LTA4H;TOLLIP;LAMTOR3;CXCR2;GSTP1;SNAP23;TMEM179B;BST2;LPCAT1;RAP1A;RAB4B;AP2A2;RETN;CD55;CYBA;HPSE;SLC11A1;LILRB3;HVCN1;MNDA;PIGR;RAB7A;CAPN1;ATP11A;AZU1;CSTB;IGF2R;SIGLEC14;CREG1;ATAD3B;PADI2;CD59"
"REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT",1.09462836225793e-20,1.88823392489493e-18,1.1778932614942,0.764715312516038,2.9385031332657,67,"IGLC3;IGHG1;IGLV2-14;IGHG2;IGLV3-1;IGHV4-59;IGLV3-21;IGHV2-70;IGLV1-47;IGHV4-39;IGHV3-23;IGHV1-46;IGLV2-8;IGLV1-40;IGHG4;IGLV3-25;IGKV4-1;IGHV1-2;IGLV2-11;IGKV1-17;IGKV3-20;IGLC2;IGLV6-57;IGLV2-23;IGLV1-44;IGHV3-11;IGLV3-19;IGHV3-7;IGHV3-48;IGHV4-34;IGKV1-5;IGLV1-51;IGHV2-5;C4A;IGHV3-33;IGKV3D-20;IGKV3-11;IGKV1D-16;IGKV1-39;IGKV1D-39;IGLV7-43;IGHV3-13;IGKV1-12;C4B;MASP1;IGKV5-2;IGKV1-16;IGKV2D-40"
"REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS",7.0569882366421e-20,9.7386437665661e-18,1.15122052214226,0.78307260611018,2.96245590611527,60,"IGLC3;IGHG1;IGLV2-14;IGHG2;IGLV3-1;IGHV4-59;IGLV3-21;IGHV2-70;IGLV1-47;IGHV4-39;IGHV3-23;IGHV1-46;IGLV2-8;IGLV1-40;IGHG4;IGLV3-25;IGKV4-1;IGHV1-2;IGLV2-11;IGKV1-17;IGKV3-20;IGLC2;IGLV6-57;IGLV2-23;IGLV1-44;IGHV3-11;IGLV3-19;IGHV3-7;IGHV3-48;IGHV4-34;IGKV1-5;IGLV1-51;IGHV2-5;IGHV3-33;IGKV3D-20;IGKV3-11;IGKV1D-16;IGKV1-39;IGKV1D-39;IGLV7-43;IGHV3-13;IGKV1-12;MASP1;IGKV5-2;IGKV1-16;IGKV2D-40"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION",6.55671494647685e-20,9.7386437665661e-18,1.15122052214226,0.51341240121712,2.40758961940155,301,"COL14A1;COL10A1;LTBP1;ITGA2;MMP16;ASPN;COL17A1;TNN;COL15A1;NCAM1;SSPN;ADAMTS14;COMP;CTSK;TGFB3;COL24A1;MMP7;CAPN5;COL18A1;COL22A1;MMP11;MMP13;TNC;FBLN2;ITGB8;CAPN6;DTNA;COL7A1;SGCD;ADAM12;MFAP2;LUM;MMP1;MMP2;ADAMTS16;FN1;COL4A6;DRP2;COL6A3;ITGAV;ACTG2;COL3A1;DMD;P4HA3;VCAM1;SPP1;CAPN11;MMP19;SPOCK3;FBN1;ITGB4;LTBP2;TNXB;COL4A5;SCUBE3;ITGA9;A2M;COL8A1;ITGB3;COL1A2;BMP7;LOXL1;ACTA2;ITGA11;SDC2;MMP10;COL25A1;COL9A1;MMP3;SH3PXD2A;COL9A2;COL1A1;ACTN1;CTSV;ITGA7;KLK7;ADAM9;CMA1;COL5A2;ADAMTS18;ITGA8;VCAN;BMP4;HTRA1;LOXL2;COL12A1;MFAP4;HAPLN1;ITGB1;ACAN;SERPINE1;CASK;LOX;SGCB;PRSS2;ADAMTS3;HSPG2;COL16A1;IBSP;ADAMTS4;SPARC;DCN;THBS1;COL6A5;COL8A2;LTBP3;FBLN1;CAPN14;LOXL4;COL5A1;ADAMTS1;DST;ITGB5;TGFB2;PLG;COL4A1;PLOD2;FBN2;COL19A1"
