"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOMF_ANTIGEN_BINDING",4.25181170567608e-26,4.515424031428e-23,1.32671609800481,0.669995566809705,2.92979701239627,146,"IGHG1;IGKC;IGHG2;JCHAIN;IGKV4-1;IGLC2;IGHV3-23;IGLC3;IGHA1;IGLV3-21;IGHV4-39;IGLV1-40;IGKV3-20;IGHA2;IGHV3-74;IGLV2-14;IGLV2-11;IGLV3-1;IGKV1-5;IGHV4-59;IGHV3-15;IGKV1-17;IGLV3-19;IGHV2-70;IGHV2-5;IGLV2-8;IGHG3;IGHV3-21;IGHV3-72;IGHV1-18;IGLV1-51;IGHV6-1;IGLV6-57;IGHV4-61;IGHV3-49;IGHV3-11;IGHV5-51;IGLV1-47;IGHG4;IGHV3-20;IGHV3-64D;IGHV3-7;IGHV3-73;IGLV3-25;IGHV4-34;IGHV3-48;IGLV7-43;IGLV1-44;IGHV2-26;IGLV2-23;IGKV1-39;IGHV3-66;IGHV3-13;IGHV5-10-1;IGHV3-33;IGKV1-16;IGLL5;IGHV1-58;IGHV3-43;IGHV1-69D;IGHV4-28;IGHV4-4;IGHV1-24;IGHV1-3;IGHM;IGKV1D-12;IGLV3-27;SLC7A5;IGLC6;IGHV3-53;C4B;IGKV1D-39;IGHV1-45;IGHV3-30;SPON2;ITGA4;IGKV5-2;IGLL1;IGHV4-31"
"GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT",2.56944143688929e-20,1.36437340298821e-17,1.16906996676109,0.617764346205214,2.73559925393931,156,"ASPN;COL14A1;CTHRC1;LTBP1;COL10A1;COL15A1;MXRA5;COMP;THBS2;COL1A1;COL3A1;COL5A2;COL1A2;MFAP2;POSTN;COL17A1;COL7A1;FBLN2;COL16A1;COL5A1;TNC;THBS3;PODNL1;COL24A1;ACAN;COL25A1;COL18A1;IGFBP7;COL19A1;HMCN1;FBN1;COL22A1;OGN;COL4A5;HMCN2;COL6A2;FN1;LTBP2;COL6A3;FBLN1;COL6A1;SPON1;COL4A6;COL9A1;PODN;MUC5B;CILP;VCAN;TGFBI;IMPG2;COL9A2;ECM1;MGP;THSD4;ELN;AEBP1;COL12A1;COLQ;OTOGL;SBSPON;NID2;TNXB;COL4A1;COL27A1;SPARC;MUC4;COL23A1;PCOLCE;LUM;TFPI2;COL8A1;MATN2;MFAP5;FMOD;HSPG2;COL9A3;NTN5;MUC5AC"
"GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_TENSILE_STRENGTH",3.76976362017914e-12,1.33449632154341e-09,0.887074988399873,0.757069704565284,2.66031460360621,41,"COL14A1;COL10A1;COL15A1;COL1A1;COL3A1;COL5A2;COL1A2;COL17A1;COL7A1;COL16A1;COL5A1;COL24A1;COL25A1;COL18A1;COL19A1;COL22A1;COL4A5;COL6A2;COL6A3;COL6A1;COL4A6;COL9A1;COL9A2;COL12A1;COL4A1;COL27A1;COL23A1;COL8A1"
"GOMF_COLLAGEN_BINDING",2.47133950344983e-10,6.56140638165929e-08,0.814035837847908,0.649773078167894,2.46724104588017,61,"COL14A1;CTSK;COMP;COCH;MMP13;ITGA11;C1QTNF1;LRRC15;ECM2;COL6A2;FN1;ANTXR1;ITGA2;COL6A1;PODN;TGFBI;LOX;AEBP1;MRC2;P3H1;P3H4;NID2;TNXB;SPARC;PCOLCE;SMAD3;LUM;MMP12"
"GOMF_GTPASE_BINDING",1.3844020395389e-09,2.94046993198063e-07,0.788186810800237,-0.37064033095415,-1.93021876826275,321,"ANKRD27;UNC13B;GRIA1;ARHGEF2;UNC13D;RAB11FIP1;MLPH;ARHGAP44;EHD1;BNIP3;FGD5;RADIL;TBC1D13;LRRK2;RPH3AL;RIN2;RAP1GAP;RAB3IP;TNPO3;GCC1;RRAGC;ADCYAP1R1;GGA2;MYO1C;RRAGD;RAP1A;XPO7;NCF2;LAMTOR1;RGP1;RAPGEF4;SPTBN1;RIMS4;INF2;CAV1;RILPL2;GGA3;RILP;RANBP17;MYO5B;HPS6;RANBP3;DOCK4;ANKFY1;FMNL2;CDKL5;RAB7A;FGD3;FNBP1L;NDRG1;RGL3;AMBRA1;RIMS3;DENND10;PKN1;XPO6;TRIOBP;RALBP1;PEX5;RIN3;RASIP1;PAK2;RNF41;IPO5;MAP3K11;CYRIB;FGD2;SPHK2;DVL1;LCP1;IPO8;WHAMM;WAS;MAP2K1;GIT1;FARP1;KPNB1;YBX1;ATP6AP1;EXOC8;EXPH5;AP3M1;ALS2CL;RABGGTA;TAMALIN;BRK1;DOCK5;GNB2;XPOT;XPO4;IPO9;CYRIA;RASSF1;AFDN;TNFAIP1;CORO1C;TMEM127;AKAP13;CLTA;DIAPH1;PKN3;GNB1;SGSM1;SRGAP2;RANGAP1;RAB29;ALS2;RABGAP1;PRKCH;MICALL1;EVI5L;RUSC2;WDR44;FGD4;SYTL4;EPRS1;USP6NL;DIAPH3;AP1G1;IQGAP1;ERC1"
"GOMF_OLFACTORY_RECEPTOR_ACTIVITY",2.77018203814884e-09,4.90322220752345e-07,0.774939030136436,0.461070345336501,2.08690760229811,190,"OR3A1;OR1M1;OR52D1;OR2AG2;OR6A2;OR51I1;OR51F2;OR51Q1;OR1A2;OR8G3;OR13F1;OR8D4;OR10K1;OR7G1;OR4E2;OR6P1;OR6B2;OR5AP2;OR1Q1;OR2M4;OR5K1;OR52A1;OR1J1;OR10K2;OR51F1;OR6C70;OR2G2;OR4S2;OR10S1;OR4C13;OR2M2;OR52H1;OR13C8;OR5B2;OR51T1;OR52N1;OR6C68;OR52E4;OR4S1;OR2M3;OR6C76;OR2AG1;OR1L8;OR1N1;OR52B4;OR5AK2;OR51V1;OR5A2;OR5B12;OR4F15;OR2D2;OR1N2;OR5M1;OR51L1;OR51I2;OR52N5;OR13C2;OR10G8;OR2M7;OR1J2;OR5K4;OR10J5;OR5M10;OR2D3;OR1D2;OR51A4;OR13C9;OR4P4;OR5B3;OR5AN1;OR5I1;OR5J2;OR5H14;OR8D2;OR10A5;OR1S1;OR52A5;OR10A4;OR51A7;OR1L1;OR4D5;OR8B12;OR8B3;OR6C1;OR5W2;OR4F6;OR6M1;OR14C36;OR6C65;OR1J4;OR8B8;OR8G2P;OR3A2;OR8J3;OR8I2;OR2K2;OR8H3;OR2AK2;OR6K2;OR1S2;OR5B17;OR10X1;OR2G3;OR9K2;OR5AR1;OR51A2;OR10T2;OR8A1;OR10A7;OR4C15;OR10G4;OR4Q3;OR5H2;OR2L2;OR4C16;OR4C11;OR51G1;OR5D18;OR52E8;OR8B4;OR5L1;OR5H15;OR51B4;OR6C75;OR5D13;OR2B2;OR10A2;OR2M5;OR1E2;OR5F1;OR10G7;OR52E6;OR6X1;OR1L3;OR5L2;OR5H6;OR6C74;OR52N2;OR2T33;OR52I2;OR1L4;OR8G5;OR9Q2;OR5B21;OR14A16;OR4A16;OR10V1;OR8H2;OR5D16;OR4A15"
"GOMF_INTEGRIN_BINDING",4.09770296646913e-09,6.21680078627174e-07,0.761460801445585,0.490196554359981,2.14343771276342,145,"SFRP2;COMP;THY1;CXCL12;COL3A1;IGF1;S1PR3;TNN;FGF1;COL16A1;COL5A1;TNC;ITGB8;VCAM1;ITGAV;FAP;FERMT1;FRMD5;ADAMTS5;FBN1;CCN4;ECM2;PTPRZ1;FN1;ITGA2;ADAM23;EGFL6;FBLN1;SPP1;LRP12;ACTN1;GFRA1;THBS4;TGFBI;ITGB4;ITGA9;ADAM22;ITGB1BP2;ITGBL1;ITGB7;IBSP;TSPAN8;TNXB;CDH17;MMP14;ITGA4"
"GOMF_METALLOENDOPEPTIDASE_ACTIVITY",2.00045034894439e-08,2.65559783822368e-06,0.73376198835648,0.54388885275283,2.23112629909523,91,"MMP16;ADAMTS14;MMP2;MMP11;MMP7;ADAM12;MMP13;ADAMTS19;ADAMTS16;CLCA2;ECEL1;MMP3;ADAMTS5;MMP10;MMP1;ADAMTS18;PAPPA;ADAM19;CLCA4;ADAM28;ADAMTS6;PAPPA2;TRABD2B;ADAM23;ADAMTS12;ADAM22;MMP19;ADAMTS4;MMP14;PRSS2;MMP12;MIPEP;MMP21;BMP1;IDE;ADAMTS2;ADAMTS10;ADAMTS3;KLK7;ADAMTS1;TRABD2A"
"GOMF_GLYCOSAMINOGLYCAN_BINDING",1.06010313134167e-07,1.25092169498317e-05,0.704975715167238,0.427469754677307,1.95189353943471,198,"COMP;THBS2;GREM2;JCHAIN;CCDC80;POSTN;FGF1;COL5A1;THBS3;MDK;CXCL13;DPYSL3;ACAN;FSTL1;COL25A1;EGFLAM;SERPINE2;SMOC2;ADAMTS5;FBN1;CCN4;TWSG1;CXCL6;ECM2;FN1;FGF14;LTBP2;CFH;SMOC1;FGF7;PGF;STAB2;PLA2G2D;THBS4;LGR6;SERPINA5;HAPLN3;LXN;GZMK;IGHM;PODXL2;FBLN7;VCAN;IMPG2;HABP2;TENM1;MSTN;TNFAIP6;SUSD5;COLQ;SERPIND1;BMP7;TNXB;COL23A1;PCOLCE;CRISPLD2;SFRP1;NELL1;SPOCK3;RSPO3;NLRP3;EXTL2;PGLYRP4;CXCL8;EVA1C;CHODL;CTSG;SLIT1;HAPLN1;TMEM184A;CEMIP;CCL7;ADAMTS3;VTN;ADAMTS1;FGFBP1;DCN;SLIT3;AOC1;SOST;NELL2;CEL;HMMR;GPNMB;FGFR1;H1-1"
"GOMF_ACYLTRANSFERASE_ACTIVITY_TRANSFERRING_GROUPS_OTHER_THAN_AMINO_ACYL_GROUPS",5.20373945308219e-07,5.52637129917329e-05,0.659444398037935,-0.376676077189248,-1.85724038612432,202,"ARRB1;ACSM3;FASN;CERS2;ACAT2;GPAM;ELOVL3;NMT1;ACAT1;PNPLA2;DGAT2;ZDHHC7;ZDHHC19;PLAAT3;ASPG;ZDHHC16;LPCAT1;AGPAT2;ACAA1;SPTLC2;PDHX;NAGS;ABHD5;GPAT3;ACAA2;ALAS1;AGPAT3;KAT7;GNPAT;KAT2B;ZDHHC18;BRPF1;ABHD4;SIRT7;OXSM;NAA60;ZDHHC12;ABHD8;ELOVL1;PLA2G15;PNPLA1;KAT6A;GTF3C4;ZDHHC5;PAFAH2;SAT2;ZDHHC6;NCOA1;JADE2;LPCAT3;CPT2;ELOVL6;ING3;ZDHHC2;NCOA3;SIRT4;PRDX6;ZDHHC3;PAFAH1B2;KAT8;ELP3;ACSM5;ABHD14B;DLAT;SPTSSA;BRPF3;PNPLA3;SIRT1;OSGEPL1;DBT;SIRT3;HADHA;BLOC1S1;SIRT2;NAA20"
