"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOCC_AXONEME",4.81018401049835e-18,3.16510107890791e-15,1.0959292864312,-0.509861990346011,-2.51129161065113,220,"PIK3C3;PIK3R4;MAP1LC3B;LCA5;USP9X;CFAP54;DNAH7;AMBRA1;CLXN;PIERCE2;ARL13B;EFCAB6;RPGRIP1;DYNC2H1;EFHC2;CFAP161;CYS1;IQCA1;KIFAP3;CFAP20;RSPH10B;EFHB;DNAI7;RIBC1;AK8;NPHP1;MNS1;ODAD3;SEPTIN2;DYDC1;RPGRIP1L;CFAP77;MAK;DNAI4;SPATA4;DNAH6;CFAP210;CFAP57;NME7;RSPH4A;CCDC181;WDPCP;FBXL13;DNAH3;ENKUR;CFAP46;SAXO2;CFAP263;CFAP43;TOGARAM1;DNAAF19;CCDC66;DRC3;DNAH9;IFT70B;CFAP221;CFAP53;DNAH5;RP1;RSPH3;PACRG;DNAH12;ARFGEF2;ATG16L1;CFAP100;ODAD4;DNALI1;DNAI1;TTLL6;BBS7;BBOF1;CFAP95;ODAD2;CFAP91;IQCD;DYNLT4;SPATA7;HYDIN;PRKACA;IQUB;SPAG17;SPAG6;SPAG8;CENPF;CCDC40;CIMIP2C;CFAP36;CEP162;ROPN1L;KIF9;SPACA9;IFT70A;CFAP251;KIF17;DNAH2;BRWD1;IFT57;CFAP90;WDR35;DYNLT2B;NME9;DNAI3;CCDC39;TEKT1;DYDC2;CFAP126;RSPH9;SEPTIN7;DNAH10;ERICH3;CFAP52;DNAL1;CFAP74;TTLL1;WDR11;C1orf87;CCDC65;ATG5;RSPH10B2;NME5;CFAP107;MAPK15;CFAP276;DCDC2;LCA5L;CCDC17;CFAP65;DZIP1L;PRKAR1A;CFAP70;TTC21B;MYCBPAP;CIMIP2B;DRC1;TCTE1;DNAH11;RSPH14;TEKT2"
"GOCC_MOTILE_CILIUM",1.80402328406351e-13,5.93523660456895e-11,0.943632225232838,-0.445642012209282,-2.24689455863419,263,"FSIP2;ABHD2;BBS9;DNAH7;CLXN;PIERCE2;ARL13B;EFCAB6;DYNC2H1;EFHC2;CFAP161;WBP2NL;CFAP20;IFT52;RSPH10B;IFT81;EFHB;BBS4;RIBC1;TACR1;AK8;NPHP1;MNS1;SEPTIN2;DYDC1;SPMIP6;SPATA6;SLC9B1;TMEM232;ATP2B4;CFAP77;MAK;DNAI4;DNAH6;CATSPERD;CFAP210;ZMYND12;CFAP57;NME7;RSPH4A;CCDC181;BBS2;DNAH3;ENKUR;DNAAF11;SAXO2;CFAP43;DDX6;LRRC23;DNAAF19;DRC3;DNAH9;TSGA10;SPEF2;CFAP221;CFAP53;CEP20;DNAH5;SEPTIN10;RSPH3;PACRG;HAVCR1;DNAH12;OAZ3;ATG16L1;NEK5;CFAP100;ODAD4;DNALI1;DNAI1;BBOF1;IFT46;CFAP95;CFAP58;CFAP91;DYNLT4;SPATA7;HYDIN;SEPTIN6;PRKACA;IQUB;SPAG6;SPAG8;CCDC40;CIMIP2C;LRRC46;MKKS;SLC9B2;CFAP36;ROPN1L;CCDC34;AK9;ADGB;KIF9;SPACA9;IFT74;CFAP251;DNAH2;RAP1A;AK7;BRWD1;ATP1B1;CFAP90;TOMM20;HSP90AA1;CATSPERB;TTC29;IFT88;CCDC39;TEKT1;CFAP126;RSPH9;SEPTIN7;DNAH10;INTU;CFAP52;CFAP74;TTLL1;CCDC65;RSPH10B2;NME5;CFAP107;SPA17;CFAP276;ANXA1;CUL3;FHAD1;CFAP65;CFAP70;MYCBPAP;UNC119B;DRC1;TCTE1;DNAH11;RSPH14;TEKT2;ROPN1B;AKAP3;LDHC;CFAP99;CFAP69;HIF1A;RSPH1;CFAP300;MORN5;CATSPERE;IQCG;PAFAH1B1;LDHA;HYAL3;TCP11;SLC26A8;PIERCE1;CETN2"
"GOCC_CYTOPLASMIC_REGION",7.81345195515335e-13,1.71375046216364e-10,0.921426003494898,-0.40740959260876,-2.11179199460635,335,"KIF5C;CTNNB1;ERC1;PIK3C3;DST;AP3M2;AP3B1;PIK3R4;MAP1LC3B;STXBP1;LCA5;USP9X;CFAP54;DNAH7;AMBRA1;CLXN;PIERCE2;ARL13B;ARMCX6;ARMC10;RIMS2;EFCAB6;SNAPIN;RPGRIP1;NETO1;DYNC2H1;GUCY1B1;PCLO;EFHC2;CFAP161;CYS1;DLG2;IQCA1;KIFAP3;CFAP20;RSPH10B;EFHB;DNAI7;RIBC1;AK8;AP3S2;RIMS1;NPHP1;MNS1;ODAD3;SEPTIN2;TMEM108;DYDC1;ERC2;RPGRIP1L;CFAP77;MAK;DNAI4;SPATA4;AP3M1;DNAH6;CFAP210;CFAP57;NME7;RSPH4A;CCDC181;WDPCP;FBXL13;DYNC1H1;DNAH3;ENKUR;CFAP46;SAXO2;CFAP263;RAB27B;CFAP43;HAP1;TOGARAM1;FBXW11;DNAAF19;CCDC66;DRC3;DNAH9;AGBL4;IFT70B;CFAP221;CFAP53;GRIK2;DNAH5;RP1;RSPH3;PACRG;DNAH12;ARFGEF2;ATG16L1;CFAP100;ODAD4;DNALI1;CLASP2;DNAI1;TTLL6;BBS7;CLASP1;BBOF1;CFAP95;ODAD2;CFAP91;IQCD;DYNLT4;SPATA7;HYDIN;PRKACA;IQUB;SPAG17;SPAG6;SPAG8;CENPF;CCDC40;CIMIP2C;KIF1B;CFAP36;CEP162;ROPN1L;KIF9;SPACA9;IFT70A;MAP2;CFAP251;KIF17;DNAH2;AP3B2;BRWD1;IFT57;KIF3A;CFAP90;WDR35;DYNLT2B;NME9;BLOC1S5;DNAI3;CCDC39;TEKT1;DYDC2;CFAP126;RSPH9;SEPTIN7;DNAH10;ERICH3;CFAP52;DNAL1;CFAP74;TTLL1;WDR11;C1orf87;CCDC65;CHRNA2;ATG5;RSPH10B2;NME5;CFAP107;ARMCX1;MAPK15;KIF3B;CFAP276;DCDC2;LCA5L;CCDC17;CFAP65;SPAST;DZIP1L;PRKAR1A;CFAP70;TTC21B;STAU2;MYCBPAP;CIMIP2B;DRC1;TCTE1;DNAH11;RSPH14;TEKT2"
"GOCC_9PLUS2_MOTILE_CILIUM",4.96561475200804e-11,8.16843626705322e-09,0.851339057116899,-0.448198114282032,-2.19489237554259,210,"FSIP2;ABHD2;BBS9;DNAH7;CLXN;PIERCE2;EFCAB6;DYNC2H1;EFHC2;CFAP161;WBP2NL;CFAP20;RSPH10B;IFT81;EFHB;RIBC1;TACR1;AK8;MNS1;SEPTIN2;DYDC1;SPMIP6;SLC9B1;TMEM232;ATP2B4;CFAP77;DNAH6;CATSPERD;CFAP210;ZMYND12;CFAP57;NME7;RSPH4A;CCDC181;DNAH3;ENKUR;SAXO2;CFAP43;DDX6;LRRC23;DRC3;DNAH9;TSGA10;SPEF2;CFAP221;CFAP53;DNAH5;SEPTIN10;RSPH3;PACRG;DNAH12;OAZ3;ATG16L1;NEK5;ODAD4;DNALI1;DNAI1;BBOF1;CFAP95;CFAP58;DYNLT4;SPATA7;HYDIN;SEPTIN6;PRKACA;IQUB;SPAG6;SPAG8;CIMIP2C;LRRC46;SLC9B2;ROPN1L;CCDC34;ADGB;KIF9;SPACA9;CFAP251;DNAH2;RAP1A;AK7;ATP1B1;CFAP90;TOMM20;HSP90AA1;CATSPERB;TTC29;IFT88;TEKT1;CFAP126;RSPH9;SEPTIN7;DNAH10;CFAP52;CFAP74;RSPH10B2;NME5;CFAP107;SPA17;CFAP276;CUL3;FHAD1;CFAP65;CFAP70;MYCBPAP;UNC119B;DRC1;TCTE1;DNAH11;RSPH14;TEKT2;AKAP3;CFAP69;RSPH1;MORN5;CATSPERE;IQCG;LDHA;HYAL3;TCP11;SLC26A8;PIERCE1;CETN2;CFAP144;CCDC146;CFAP45;DNAI2;CFAP61"
"GOCC_IMMUNOGLOBULIN_COMPLEX",2.67582992080513e-09,3.52139217577955e-07,0.774939030136436,-0.494035100297103,-2.24075782030372,124,"IGHV3-64;IGKV6-21;IGLV3-12;IGKV1D-13;IGLV8-61;IGLV1-47;IGHM;IGHV3-73;IGHV5-51;IGHG4;IGLV3-1;IGKV1D-8;IGLV3-25;IGKV1D-17;IGHV7-4-1;IGLV2-14;IGHV4-61;IGLL1;IGLV2-23;IGHV3-66;IGLC3;IGHV4-59;IGKV1-8;IGHV2-70;IGLV2-8;IGLV3-21;IGLV1-50;IGLV4-3;IGLV1-36;IGHG3;IGLV1-44;IGHV4-28;IGLV6-57;IGLV7-46;IGHV3-21;IGHV3-43;IGLV4-69;IGLC6;IGLV2-11;IGKV1D-39;IGHV3-11;IGKJ1;IGHV3-48;IGHV4-34;IGKV1-17;IGHV4-4;IGLV2-18;IGHV3-7;IGLV1-40;IGHV4-39;IGLV3-10;IGKV3D-15;IGHG2;IGHV3-33;IGKV5-2;IGLV9-49;IGKV3D-20;IGLV3-19;IGHV1-18;IGKV2-29;IGHV3-23;IGHV3-49;IGHD;IGHV3-30;IGHV1-58;IGKV3-20;IGKV1-6;IGHV2-26;IGHV2-70D;IGHV1-3"
"GOCC_RIBOSOMAL_SUBUNIT",3.74243485633101e-06,0.000410420355910967,0.627256739718528,0.369755909668742,1.87145529986725,175,"AURKAIP1;MRPS16;RPS26;GADD45GIP1;MRPL54;RPLP1;MRPL12;MRPS34;MRPS28;MRPL41;MRPL55;RPLP2;MRPL32;MRPL34;MRPL28;RPS15;RPL36;MRPL27;MRPL52;MRPL20;RPS3;MRPS15;RPL17;MRPL11;RPS9;MRPL21;MRPL4;RPL3;RPL35;RPL37A;RPL18A;RPS3A;RPS11;MRPS2;RPS19;RPS4Y1;RPL13A;MRPL14;RPS2;RPS25;FAU;TIFAB;RPL13;RPL41;MRPS7;RPL7A;MRPL2;RPL18;RPL28;RPSA;RPL9;RPL10L;RPS16;MRPS26;MRPL38;MRPL51;RPL8"
"GOCC_LARGE_RIBOSOMAL_SUBUNIT",7.14307759714899e-06,0.000671449294132005,0.610526878385931,0.421681731107083,1.98196077201248,108,"GADD45GIP1;MRPL54;RPLP1;MRPL12;MRPL41;MRPL55;RPLP2;MRPL32;MRPL34;MRPL28;RPL36;MRPL27;MRPL52;MRPL20;RPL17;MRPL11;MRPL21;MRPL4;RPL3;RPL35;RPL37A;RPL18A;RPL13A;MRPL14;TIFAB;RPL13;RPL41;RPL7A;MRPL2;RPL18;RPL28;RPL9;RPL10L;MRPL38;MRPL51;RPL8;RPLP0P6;RPL38;RPL11;MRPL24;RPL10;MRPL17;RPL36AL;RPL27A;RPL26;RPL36A;MRPL9;RPL39;MRPL3;MRPL57;MRPL47;RPL32;RBM3;RPL29;UBA52;MRPL23;RPL12"
"GOCC_AXONEMAL_MICROTUBULE",1.1173674270565e-05,0.000919034708753974,0.593325476396405,-0.563933691600334,-2.20456351957121,47,"PIERCE2;EFCAB6;EFHC2;CFAP161;CFAP20;EFHB;RIBC1;MNS1;CFAP77;CFAP210;NME7;ENKUR;SAXO2;IFT70B;CFAP53;PACRG;ARFGEF2;CFAP95;SPAG8;CIMIP2C;CEP162;KIF9;SPACA9;IFT70A;CFAP90;TEKT1;CFAP126;CFAP52;CFAP107;CFAP276;CIMIP2B;TEKT2"
"GOCC_MICROTUBULE",1.68964553111249e-05,0.00123531862163557,0.575610261071129,-0.29436843307259,-1.57336617162774,454,"KIF16B;KIF5C;PARP4;ZW10;CKAP5;WDR47;KANSL1;DISC1;DST;TUBD1;TPPP;MAP1LC3B;SLC8A3;CHMP3;DYNC1I2;FAM161B;DNAH7;NDRG1;PIERCE2;CAMSAP1;TUBGCP5;KIF3C;BCL10;EFCAB6;IQGAP1;DYNC2H1;INVS;EFHC2;CFAP161;TUBGCP4;TTLL5;HAUS1;EIF3A;LRRC49;TUBGCP3;KIFAP3;TCP11L1;BCAS3;MAP7;CFAP20;CAPN6;CHMP4C;KATNA1;SHROOM2;EFHB;KIF20B;CKAP2;ABRAXAS2;RIBC1;SHROOM3;TTLL11;PTPN20;MNS1;MID2;CEP170;KIF14;CFAP77;MID1;DYNC1LI1;DNAH6;MAP6;CFAP210;KIF18A;NME7;CCDC181;DYNC1H1;DNAH3;TUBB3;DYNLRB2;ENKUR;TCP1;KIF13B;SAXO2;KIF26B;MAP1LC3C;TOGARAM1;SLAIN2;FBXW11;CCDC66;DNAH9;ZNF804A;BEX4;CHMP5;IFT70B;WHAMM;KIF6;CFAP53;ATAT1;DNAH5;LRPPRC;DCDC1;RP1;PACRG;DNAH12;ARFGEF2;MACF1;ASPM;DYNC1I1;CENPE;RCC2;CLASP2;HSPH1;DNAI1;TTLL6;CLASP1;CFAP95;RASSF3;DYRK1A;MTUS1;SPAG17;SPAG6;BCL2L11;DNM3;SPAG8;TPGS2;CHMP1B;CIMIP2C;KIF1B;KIF24;CEP162;CYP2A6;KATNAL2;GRAMD2B;KIF9;SPACA9;IFT70A;MAP2;INO80;NEK2;KIF17;DNAH2;SHTN1;KIF3A;CFAP90;TUBB2B;MDM1;CCT2;FAM161A;TOGARAM2;TEKT1;CFAP126;KIF25;KANSL3;FEZ1;MX2;TTLL9;SVIL;DNAH10;KLHL21;MAPRE1;CFAP52;FIGN;DYNLRB1;DNAL1;TRIM55;TTLL1;CAMSAP2;CFAP107;HOOK3;KIF3B;TPPP3;CFAP276;NEK7;DCDC2;CRHBP;GAS2L2;CCT8;NCKAP5;DPYSL2;CASP1;CUL3;HNRNPU;APC;STIM1;SPAST;CCT4;KIF15;ARHGEF2;STAU2;KATNAL1;EML1;CIMIP2B;MAP7D2"
"GOCC_PRESYNAPTIC_MEMBRANE",3.57640997786743e-05,0.00235327776543677,0.557332238758646,-0.376996193165568,-1.76721342710282,150,"SNAP25;TENM2;CNTN1;CTNNB1;SYT1;ERC1;EFNB3;AP2B1;STXBP1;DNAJC6;RGS7BP;NAPEPLD;DRD1;PPFIA2;PSEN1;SLC5A7;P2RX1;RIMS2;RYK;KCNJ8;CHRNA4;NAPA;SLC6A3;ERBB4;HTR2A;SLC4A8;CNTN5;IL31RA;RIMS1;APBA1;ERC2;ATP2B4;SYT11;PTPRD;UNC13B;EPHA4;CHRNA5;NRXN1;GRIK2;FZD3;GRIK4;GNB5;GRIN3B;CNR1;FLRT3;ADGRL1;STX19;SLC6A2;KCNH1;RAC1"
