"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOMF_OLFACTORY_RECEPTOR_ACTIVITY",1.44586838583686e-21,1.53551222575875e-18,1.20397524075264,0.549276230550578,2.82363425919353,190,"OR52K1;OR3A2;OR1N1;OR3A1;OR52D1;OR51Q1;OR4E2;OR1M1;OR51F2;OR5K1;OR6P1;OR6B2;OR2G2;OR6C70;OR1J1;OR10K2;OR1L8;OR1A2;OR10K1;OR5AP2;OR52E4;OR51I2;OR13F1;OR2L2;OR4C13;OR52A1;OR6C68;OR2M2;OR2D2;OR1Q1;OR51F1;OR5A2;OR4S1;OR4D1;OR5B2;OR1D2;OR4S2;OR5K4;OR10S1;OR8D4;OR2T33;OR7G1;OR13C8;OR13C9;OR4F15;OR51T1;OR5B17;OR51V1;OR5M1;OR2K2;OR8J3;OR5AK2;OR4F6;OR6K2;OR8B3;OR52E6;OR6C65;OR1L1;OR9K2;OR4P4;OR51L1;OR5M10;OR5B3;OR13C2;OR5J2;OR4C15;OR8H3;OR5W2;OR5I1;OR6C74;OR8D2;OR52A5;OR2M3;OR6M1;OR8G3;OR8G2P;OR6C76;OR8I2;OR2M7;OR8B12;OR51A4;OR52B4;OR6C1;OR5H15;OR1S2;OR5H6;OR1J2;OR51A7;OR10A7;OR10T2;OR10X1;OR52E8;OR4A16;OR2B2;OR8B8;OR4C11;OR10G8;OR4C16;OR5H14;OR5F1;OR10A5;OR10G4;OR4D5;OR5AR1;OR5D13;OR8H2;OR51G1;OR5L1;OR5D18;OR6X1;OR5L2;OR51I1;OR5D16;OR6C75;OR2M5;OR2D3;OR2B6;OR4Q3;OR10G7;OR1S1;OR51A2;OR5AN1;OR10J5;OR14A16;OR5B12;OR1E2;OR2M4;OR2AG2;OR6F1;OR52L1;OR8G1;OR2AT4;OR1N2;OR9Q2;OR4A15;OR5AS1;OR1L4;OR6A2;OR10V1;OR8B4;OR51B2;OR52H1;OR5H2;OR1L6;OR1L3;OR4A47;OR2G3;OR56A5"
"GOMF_ODORANT_BINDING",8.15534137211131e-09,4.3304862685911e-06,0.747739663149885,0.580564704944347,2.48980220172819,63,"VN1R2;OR4E2;OR5K1;OR6B2;OR10K2;OR10K1;OR5AP2;OR5A2;OR5B2;OR5K4;OR8D4;OR5B17;OR5M1;OR5AK2;OR6K2;OR8B3;OR9K2;OR5M10;OR5B3;OR5J2;OR8H3;OR5W2;OR5I1;OR8D2;OR8G3;OR8G2P;OR8I2;OR8B12;OR5H15;OR5H6;OR10T2;OR8B8;OR5H14;OR5F1;OR5AR1;OR5D13;OR8H2;OR5L1;OR5D18;OR5L2;OR5D16;OR5AN1;OR14A16;OR5B12;OR8G1;OR9Q2;OR5AS1;OR10V1;OR8B4;OR5H2"
"GOMF_STRUCTURAL_CONSTITUENT_OF_CHROMATIN",1.70039658437119e-08,6.01940390867403e-06,0.73376198835648,0.571708922396863,2.45182340849985,63,"H3C11;H3C2;H2AC16;H2AC12;H2BC14;H2BC10;H3C8;H1-2;H4C13;H2AC13;H3C7;H2AC21;LMNTD2;H2AX;H4C1;H2AC11;H2BC3;H1-4;H2BC6;H3C1;H1-1;H1-10;H3C12;H4C6;H2BC21;H2BC15;H2AC1;H3-3B;H4C4;H4C5;H1-3;H2BC8;H2AJ;H2BC5;H3C13;H2AC8;H2AC4;H1-0;HMGA1;H2BC12;H2BC7;MACROH2A1;H2AC15;H3-5"
"GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME",6.26400730542852e-06,0.00166309393959127,0.610526878385931,0.378068802596987,1.91376869479741,160,"MRPS16;RPS26;GADD45GIP1;MRPL54;RPLP1;MRPL12;MRPS34;MRPL41;MRPL55;RPLP2;MRPL32;MRPL34;MRPL28;RPS15;RPL36;MRPL27;MRPL52;MRPL20;RPS3;MRPS15;RPL17;MRPL11;RPS9;MRPL21;MRPL4;RPL3;RPL35;RPL37A;RPL18A;RPS3A;UBC;RPS11;MRPS2;RPS19;RPS4Y1;RPL13A;MRPL14;RPS2;RPS25;FAU;RPL13;RPL41;MRPS7;RPL7A;MRPL2;RPL18;RPL28;RPSA;RPL9;RPL10L;RPS16;RPL13AP3;MRPL51;RPL8;RPLP0P6;RPL38;RPL11;ISG15;MRPL24;RPL10;MRPS25;MRPL17;MRPS6;RPL22L1;RPS7;RPL36AL;RPL27A;RPL26;RPL36A;RPS21;MRPL9;RPL39;RPS10;RPS28;RPS12;MRPL3"
"GOMF_ELECTRON_TRANSFER_ACTIVITY",2.79917446573735e-05,0.00594544656522613,0.575610261071129,0.405330771059037,1.94436020807675,109,"NDUFV1;NDOR1;NDUFA3;PHGDH;NQO2;NDUFB7;NDUFS8;NDUFA9;MT-ND1;NDUFS2;COX6B1;SDHA;MTCO2P12;UQCRC1;NCF1;CYBA;CYCS;ETFB;NDUFS6;GFUS;ME1;COX4I1;RDH16;CYC1;NDUFB9;MT-CO3;IDH3B;COX7A1;AIFM2;MT-ND6;NDUFV3;ALDH4A1;POR;HAAO;NDUFS3;CYP19A1;NDUFA2;ASPH;NDUFC2;MT-CO2;COX8A;UQCRFS1;FDX1;NDUFS7;NDUFB1;AKR7A3;P4HA2;NDUFA6;DHRS3"
"GOMF_ANTIGEN_BINDING",4.95212740321964e-05,0.00876526550369876,0.557332238758646,-0.389954606193662,-1.84018688312296,146,"C4A;HLA-DRB5;IGHV3-64;HLA-DQB1;HLA-DRA;TAPBP;HLA-DQA1;CD1E;CD1C;IGLV1-47;TOPORS;IGHM;IGHV3-73;IGHV5-51;IGHG4;KLRC1;IGLV3-1;LILRA2;IGLV3-25;IGHV7-4-1;IGLV2-14;IGHV4-61;IGLL1;MAML1;CD1B;IGLV2-23;IGHV3-66;IGLC3;IGHV4-59;IGHV2-70;IGLV2-8;IGLV3-21;HLA-C;CD1A;IGHG3;PLG;IGLV1-44;IGHV4-28;IGLV6-57;B2M;HLA-DPA1;IGHV3-21;HLA-DRB1"
"GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_BINDING",7.99013112360911e-05,0.0121221703618184,0.538434096309916,-0.687094394900053,-2.12919363733647,20,"BMP5;RSPO2;SMURF1;SRC;BMP4;MAGI2;BMP3;CRIPTO;SCUBE3;BMP7;BMP6"
"GOMF_CATALYTIC_ACTIVITY_ACTING_ON_DNA",0.000113087055378512,0.0150123066014975,0.538434096309916,-0.3334424580834,-1.67667656971245,241,"ALKBH1;ERCC6;ZRANB3;TOP3A;EXD2;APLF;NEIL2;NEIL3;DHX36;POLI;POLD3;RAD17;PDS5B;ASCC3;MCM9;MSH4;SMARCAL1;POLH;MSH6;TOP2B;CHRNA4;FTO;NIPBL;CHTF8;BPTF;MLH3;DMC1;RAD51B;HLTF;DCLRE1A;TOP1;MGME1;ASTE1;HELQ;CHD6;RSF1;TTF2;DNASE1L3;CHD8;SMARCA5;WRN;THAP9;CRY2;DNASE2B;TOP2A;SMARCA2;RAG1;ERCC4;PDS5A;NME7;POLA1;CHD1L;DHX9;TATDN3;UPF1;DDX1;CDK7;DSCC1;MCM4;HMGA2;TET2;TERF1;MSH2;REV1;TEFM;NAV2;RAD54B;HEMK2;MSH3;RFC5;RAD51C;MLH1;PCNA;REV3L;INO80;RECQL5;TDP1;RECQL"
"GOMF_ATP_DEPENDENT_ACTIVITY_ACTING_ON_DNA",0.000221463929903037,0.0261327437285584,0.518848077743792,-0.39560108101225,-1.80579085686716,114,"ERCC6;ZRANB3;DHX36;RAD17;ASCC3;MCM9;MSH4;SMARCAL1;MSH6;TOP2B;CHRNA4;CHTF8;BPTF;MLH3;DMC1;RAD51B;HLTF;HELQ;CHD6;RSF1;TTF2;CHD8;SMARCA5;WRN;TOP2A;SMARCA2;CHD1L;DHX9;UPF1;DDX1;CDK7;DSCC1;MCM4;MSH2;NAV2;RAD54B;MSH3;RFC5;RAD51C;MLH1;INO80;RECQL5;RECQL"
"GOMF_MACROMOLECULAR_CONFORMATION_ISOMERASE_ACTIVITY",0.000485621645477937,0.0515730187497569,0.49849310876659,-0.304277309020734,-1.54775836269962,268,"KIF16B;KIF5C;ERCC6;ZRANB3;TOP3A;MYO9A;DHX36;DYNC1I2;DHX57;DNAH7;DDX50;ASCC3;EIF4A2;KIF3C;MCM9;DHX15;SMARCAL1;DYNC2H1;TOP2B;MYO3A;CHTF8;MTREX;HLTF;DHX8;IQCA1;TOP1;AQR;FXR1;DDX52;HELQ;TTF2;KATNA1;KIF20B;CHD8;SMARCA5;WRN;DDX18;TOP2A;SMARCA2;DDX60;IFIH1;KIF14;DNAH6;KIF18A;DYNC1H1;DNAH3;CHD1L;DYNLRB2;KIF13B;DHX9;KIF26B;SLFN11;UPF1;DDX1;DDX6;DNAH9;MYH11;SMC3;KIF6;DSCC1;MCM4;DNAH5;DNAH12;MYH7B;DDX31;MYO10;DYNC1I1;CENPE;NAV2;DDX21;RAD54B;MYO1E;DDX17;RFC5;KIF1B;KIF24;MYO3B;KATNAL2;DHX40;KIF9;KIF17;DNAH2;RECQL5;KIF3A;RECQL;MYO1D;EIF4A3;DDX5;KIF25;DDX24;DDX10;DNAH10;HELB;FIGN;MYH10;DYNLRB1;WRNIP1;HELZ;SMARCA1;HELZ2;MYO6;KIF3B;SHPRH;XRCC6;ATRX;PSMC2;SPAST;KIF15;POLQ;KATNAL1"
