"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"REACTOME_OLFACTORY_SIGNALING_PATHWAY",7.66192062234808e-20,1.05734504588403e-16,1.15122052214226,0.526672652640368,2.71938909817558,195,"OR52K1;OR3A2;OR1N1;LDB1;OR3A1;OR52D1;OR51Q1;OR4E2;OR1M1;OR51F2;OR5K1;OR6P1;OR6B2;OR2G2;OR6C70;OR1J1;OR10K2;OR1L8;OR1A2;OR10K1;OR5AP2;OR52E4;OR51I2;OR13F1;OR2L2;OR4C13;OR52A1;OR6C68;OR2M2;OR2D2;ADCY3;OR1Q1;OR51F1;OR5A2;OR4S1;OR4D1;OR5B2;OR1D2;OR4S2;OR5K4;OR10S1;OR8D4;OR2T33;OR7G1;OR13C8;OR13C9;OR4F15;OR51T1;OR5B17;OR51V1;OR5M1;OR2K2;OR8J3;OR5AK2;OR4F6;OR6K2;OR8B3;OR52E6;OR6C65;OR1L1;OR9K2;OR4P4;OR51L1;OR5M10;OR5B3;OR13C2;OR5J2;OR4C15;OR8H3;OR5W2;OR5I1;OR6C74;OR8D2;OR52A5;OR2M3;OR6M1;OR6C76;OR8I2;OR2M7;OR8B12;OR51A4;OR6C1;OR5H15;OR1S2;OR5H6;OR1J2;OR51A7;OR10A7;OR10T2;OR10X1;OR52E8;OR4A16;OR2B2;OR8B8;OR4C11;OR10G8;OR4C16;OR5H14;OR5F1;OR10A5;OR10G4;OR4D5;OR5AR1;OR5D13;OR8H2;OR51G1;OR5L1;OR5D18;OR6X1;OR5L2;OR51I1;OR5D16;OR6C75;OR2M5;OR2D3;OR2B6;OR4Q3;OR10G7;OR1S1;OR51A2;OR5AN1;OR10J5;OR14A16;OR5B12;OR1E2;OR2M4;EBF1;OR2AG2;OR6F1;OR52L1;OR8G1;OR2AT4;OR1N2;OR9Q2;OR4A15;OR5AS1;OR1L4;OR6A2;OR10V1;OR8B4;OR51B2;OR52H1;OR5H2;OR1L6;OR1L3;OR4A47;OR2G3;OR56A5"
"REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS",8.96980054502726e-08,6.18916237606881e-05,0.704975715167238,-0.538218332734644,-2.2369318500163,74,"ITPR1;PLD1;PIK3CB;IGLV1-47;FCGR2A;IGHG4;IGLV3-1;IGLV3-25;IGLV2-14;AHCYL1;IGLV2-23;IGLC3;IGHV4-59;IGHV2-70;IGHV1-46;IGLV2-8;PLD2;IGLV3-21;IGLV1-44;IGLV6-57;IGHV1-2;IGLV2-11;IGKV1D-39;IGHV3-11;IGHV3-48;IGHV4-34;IGKV1-17;PIK3R1;IGHV3-7;IGLV1-40;IGHV4-39;IGHG2;IGHV3-33;IGKV5-2;FCGR3A;IGKV3D-20;IGLV3-19"
"REACTOME_IRE1ALPHA_ACTIVATES_CHAPERONES",8.431032389111e-07,0.000183661869294897,0.659444398037935,0.572228856155837,2.28117999894999,49,"SYVN1;ARFGAP1;PLA2G4B;ZBTB17;TSPYL2;DNAJB11;KLHDC3;MYDGF;PREB;DDX11;WIPI1;CXXC1;YIF1A;ACADVL;HDGF;SRPRB;GFPT1;FKBP14;HSPA5;DCTN1;GOSR2;ATP6V0D1;SERP1;GSK3A;WFS1;EXTL1;ERN1;TATDN2;XBP1"
"REACTOME_FCGR_ACTIVATION",6.1153448401353e-07,0.000183661869294897,0.659444398037935,-0.544537824566883,-2.20229526738504,62,"IGLV1-47;FCGR2A;IGHG4;SRC;IGLV3-1;IGLV3-25;IGLV2-14;IGLV2-23;IGLC3;IGHV4-59;IGHV2-70;IGHV1-46;IGLV2-8;IGLV3-21;IGLV1-44;IGLV6-57;IGHV1-2;IGLV2-11;IGKV1D-39;IGHV3-11;IGHV3-48;IGHV4-34;IGKV1-17;IGHV3-7;IGLV1-40;IGHV4-39;IGHG2;IGHV3-33;IGKV5-2;FCGR3A;IGKV3D-20;IGLV3-19"
"REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION",8.31678208643064e-07,0.000183661869294897,0.659444398037935,-0.541297309609911,-2.18918952811099,62,"PIK3CB;MS4A2;IGLV1-47;IGLV3-1;IGLV3-25;IGLV2-14;IGLV2-23;IGLC3;FCER1A;IGHV4-59;IGHV2-70;IGHV1-46;IGLV2-8;IGLV3-21;IGLV1-44;IGLV6-57;IGHV1-2;IGLV2-11;IGKV1D-39;IGHV3-11;IGHV3-48;IGHV4-34;IGKV1-17;PIK3R1;IGHV3-7;IGLV1-40;IGHV4-39;IGHV3-33;IGKV5-2;IGKV3D-20;IGLV3-19"
"REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL",5.20493835031519e-07,0.000183661869294897,0.659444398037935,0.405993370580419,2.00222846154218,142,"NPLOC4;TCF25;ADRM1;PSMC5;RPS26;RPLP1;PSMD13;PSMA1;PSMC3;RPLP2;PSMA3;RPS15;RPL36;ELOB;PSMB4;RPS3;RPL17;RPS9;RPL3;RPL35;RPL37A;ANKZF1;RPL18A;RPS3A;UBC;PSMB5;ASCC2;RPS11;RPS19;RPS4Y1;RPL13A;RPS2;RPS25;FAU;RPL13;PSMD3;RPL41;RPL7A;RPL18;RPL28;RPSA;RPL9;PSMA7;RPL10L;PSMB3;RPS16;RPL8;PSMC1;RPL38;RPL11;RPL10;PSMD8;RPL22L1;SEM1;RPS7;RPL36AL;RPL27A;RPL26;PSMC4;RPL36A;PSMB7;PSMB1;RPS21;RPL39;RPS10;RPS28;RPS12;VCP;ELOC;UBE2D1;PSMB2;PSMD7;PSMA4;RPL32;PSMB6;PSMD6;RPL29;UBA52"
"REACTOME_TRANSLATION",9.31618177582813e-07,0.000183661869294897,0.659444398037935,0.303121244926384,1.68394226425888,362,"AURKAIP1;NPLOC4;CARS2;TCF25;ADRM1;PSMC5;MRPS16;EIF2B4;TUFM;RPS26;GADD45GIP1;MRPL54;RPLP1;MT-RNR2;MRPL12;SEC61A1;MRPS34;PSMD13;MRPS28;MRPL41;PSMA1;PSMC3;MRPL55;RPLP2;MRPL32;EIF3G;MRPL34;EIF3B;SPCS3;MT-ND1;PSMA3;RPN1;EIF2B5;MRPL28;RPS15;SEC61B;RPL36;MRPL27;ELOB;APEH;MRPL52;MRPL20;PSMB4;RPS3;MRPS15;RPL17;MRPL11;RPS9;EEF1E1;SRP9;MRPL21;MRPL4;RPL3;RPL35;RPL37A;ANKZF1;RPL18A;RPS3A;EIF4EBP1;UBC;SRPRB;PSMB5;FARSA;ASCC2;RPS11;MRPS2;TRMT112;RPS19;GSPT2;QARS1;RPS4Y1;RPL13A;ERAL1;GARS1;FARSB;MRPL14;RPS2;EIF3K;RPS25;MT-CO3;FAU;MALSU1;RPL13;MT-RNR1;PSMD3;YARS1;RPL41;MRPS7;RPL7A;MRPL2;RPL18;RPL28;MT-ND6;SSR4;HARS1;SEC61G;RPSA;RPL9;PSMA7;RPL10L;EEF1D;AARS2;PSMB3;RPS16;MRPS26;SSR2;SPCS2;MRPL38;MRPL51"
"REACTOME_DNA_METHYLATION",1.12400074292894e-06,0.000193890128155242,0.643551836150722,0.58333759055034,2.30718580802419,45,"H3C11;H3C2;H2AC14;H2BC14;DNMT3A;H2BC10;H3C8;H4C13;H3C7;H2AX;H4C1;H2BC3;H2BC6;H3C1;H3C12;H4C6;H2BC21;H2BC15;H3-3B;H4C4;H4C5;H2BC8;H2AJ;H2BC5;H3C13;H2AC8;H2AC4;H2BC12;H2BC7"
"REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES",2.3491242901064e-06,0.000324179152034683,0.627256739718528,0.541005936881827,2.21751017732503,54,"H3C11;NCAPH2;H3C2;H2AC14;H2BC14;H2BC10;H3C8;H4C13;H3C7;H2AX;H4C1;H2BC3;H2BC6;H3C1;KMT5A;H3C12;H4C6;H2BC21;H2BC15;H3-3B;H4C4;SET;H4C5;H2BC8;H2AJ;SMC4;H2BC5;H3C13;H2AC8;H2AC4;H2BC12;H2BC7;PLK1"
"REACTOME_RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE",2.21243648271407e-06,0.000324179152034683,0.627256739718528,0.435008443537076,2.01522067039804,102,"NPLOC4;TCF25;ADRM1;PSMC5;RPLP1;PSMD13;PSMA1;PSMC3;RPLP2;PSMA3;RPL36;ELOB;PSMB4;RPL17;RPL3;RPL35;RPL37A;ANKZF1;RPL18A;UBC;PSMB5;RPL13A;RPL13;PSMD3;RPL41;RPL7A;RPL18;RPL28;RPL9;PSMA7;RPL10L;PSMB3;RPL8;PSMC1;RPL38;RPL11;RPL10;PSMD8;RPL22L1;SEM1;RPL36AL;RPL27A;RPL26;PSMC4;RPL36A;PSMB7;PSMB1;RPL39;VCP;ELOC;UBE2D1;PSMB2;PSMD7;PSMA4;RPL32;PSMB6;PSMD6;RPL29;UBA52"
