"gene1","gene2","cor_healthy","cor_ipf","delta_cor","max_abs_cor","gene1_label","gene2_label"
"ENSG00000154096.15","ENSG00000089472.19",0.0196483247309947,0.792919344806137,0.773271020075142,0.792919344806137,"THY1","HEPH"
"ENSG00000164932.14","ENSG00000089472.19",-0.0648587175225265,0.697024673439768,0.761883390962294,0.697024673439768,"CTHRC1","HEPH"
"ENSG00000179954.16","ENSG00000143546.11",-0.69203044353075,0.0662761766535351,0.758306620184285,0.69203044353075,"SSC5D","S100A8"
"ENSG00000164932.14","ENSG00000105664.12",-0.09474236724696,0.636958324694174,0.731700691941134,0.636958324694174,"CTHRC1","COMP"
"ENSG00000179954.16","ENSG00000119535.21",-0.675164027644126,0.0157163591125855,0.690880386756711,0.675164027644126,"SSC5D","CSF3R"
"ENSG00000134247.11","ENSG00000072952.22",0.0525763275303998,0.738959154053494,0.686382826523094,0.738959154053494,"PTGFRN","IRAG1"
"ENSG00000221866.11","ENSG00000072952.22",0.112413612107427,0.782707858179556,0.670294246072129,0.782707858179556,"PLXNA4","IRAG1"
"ENSG00000204291.13","ENSG00000089472.19",-0.0261919342139795,0.629794733568318,0.655986667782298,0.629794733568318,"COL15A1","HEPH"
"ENSG00000101230.6","ENSG00000164932.14",0.0033417898696527,0.649927431059506,0.646585641189854,0.649927431059506,"ISM1","CTHRC1"
"ENSG00000101230.6","ENSG00000154096.15",0.0268218003674219,0.67066141405764,0.643839613690218,0.67066141405764,"ISM1","THY1"
"ENSG00000164932.14","ENSG00000120820.14",-0.00404164115125536,0.625502799087705,0.62954444023896,0.625502799087705,"CTHRC1","GLT8D2"
"ENSG00000107562.18","ENSG00000176834.15",-0.697839209168052,-0.0709413228281153,0.626897886339937,0.697839209168052,"CXCL12","VSIG10"
"ENSG00000123496.9","ENSG00000176834.15",-0.729927390429534,-0.103431474186191,0.626495916243343,0.729927390429534,"IL13RA2","VSIG10"
"ENSG00000119699.9","ENSG00000089472.19",0.041063773948036,0.663684428778768,0.622620654830732,0.663684428778768,"TGFB3","HEPH"
"ENSG00000134247.11","ENSG00000173068.20",0.0922928877613507,0.71311424424632,0.620821356484969,0.71311424424632,"PTGFRN","BNC2"
"ENSG00000123496.9","ENSG00000181409.15",-0.641536173563118,-0.0304478540327597,0.611088319530358,0.641536173563118,"IL13RA2","AATK"
"ENSG00000138185.21","ENSG00000154553.17",0.027101740880063,0.634895293385859,0.607793552505796,0.634895293385859,"ENTPD1","PDLIM3"
"ENSG00000181409.15","ENSG00000107562.18",-0.60797830461027,-0.00313083143271822,0.604847473177552,0.60797830461027,"AATK","CXCL12"
"ENSG00000107562.18","ENSG00000089472.19",0.0338553057475287,0.635641716773792,0.601786411026263,0.635641716773792,"CXCL12","HEPH"
"ENSG00000186684.15","ENSG00000065618.22",0.220120724346076,0.817769023429401,0.597648299083324,0.817769023429401,"CYP27C1","COL17A1"
"ENSG00000101230.6","ENSG00000160161.10",0.0835797393053976,0.677659133319511,0.594079394014113,0.677659133319511,"ISM1","CILP2"
"ENSG00000134247.11","ENSG00000169851.17",0.0539760300936051,0.642691270993158,0.588715240899553,0.642691270993158,"PTGFRN","PCDH7"
"ENSG00000164949.9","ENSG00000103742.13",0.0316157816464001,0.616421314534522,0.584805532888122,0.616421314534522,"GEM","IGDCC4"
"ENSG00000072952.22","ENSG00000103742.13",0.0825299623829936,0.659807173958117,0.577277211575124,0.659807173958117,"IRAG1","IGDCC4"
"ENSG00000089472.19","ENSG00000160161.10",0.0913830810952673,0.662087912087912,0.570704830992645,0.662087912087912,"HEPH","CILP2"
"ENSG00000170558.11","ENSG00000116141.18",0.68415711661272,0.116317644619531,-0.567839471993188,0.68415711661272,"CDH2","MARK1"
"ENSG00000123496.9","ENSG00000111412.6",-0.640836322281515,-0.0757205059091851,0.56511581637233,0.640836322281515,"IL13RA2","SPRING1"
"ENSG00000223764.3","ENSG00000173068.20",0.767474411687516,0.214430852166701,-0.553043559520815,0.767474411687516,"LINC02593","BNC2"
"ENSG00000154096.15","ENSG00000120820.14",0.149540722596448,0.697988803649181,0.548448081052733,0.697988803649181,"THY1","GLT8D2"
"ENSG00000123496.9","ENSG00000138316.12",0.76303035604934,0.215477918308107,-0.547552437741233,0.76303035604934,"IL13RA2","ADAMTS14"
"ENSG00000123496.9","ENSG00000137486.18",-0.718589799667571,-0.172009122952519,0.546580676715052,0.718589799667571,"IL13RA2","ARRB1"
"ENSG00000119699.9","ENSG00000120820.14",0.198880237949436,0.743012647729629,0.544132409780193,0.743012647729629,"TGFB3","GLT8D2"
"ENSG00000134247.11","ENSG00000221866.11",0.217636252296387,0.760968277006013,0.543332024709626,0.760968277006013,"PTGFRN","PLXNA4"
"ENSG00000101825.8","ENSG00000089472.19",0.101146006473624,0.644038979888036,0.542892973414412,0.644038979888036,"MXRA5","HEPH"
"ENSG00000138185.21","ENSG00000173068.20",0.17092117924941,0.711714700393946,0.540793521144536,0.711714700393946,"ENTPD1","BNC2"
"ENSG00000101230.6","ENSG00000101825.8",0.134528912606071,0.672817748289446,0.538288835683375,0.672817748289446,"ISM1","MXRA5"
"ENSG00000123496.9","ENSG00000177181.16",-0.725553319919517,-0.189259796806967,0.53629352311255,0.725553319919517,"IL13RA2","RIMKLA"
"ENSG00000101825.8","ENSG00000120820.14",0.157099116437757,0.691986315571221,0.534887199133464,0.691986315571221,"MXRA5","GLT8D2"
"ENSG00000171408.14","ENSG00000171951.5",0.607523401277229,0.0740617872693344,-0.533461614007894,0.607523401277229,"PDE7B","SCG2"
"ENSG00000134247.11","ENSG00000133110.16",0.101495932114426,0.634843458428364,0.533347526313938,0.634843458428364,"PTGFRN","POSTN"
"ENSG00000164161.11","ENSG00000111412.6",0.114548158516315,0.643074849678623,0.528526691162308,0.643074849678623,"HHIP","SPRING1"
"ENSG00000137486.18","ENSG00000107562.18",-0.604898958971219,-0.0790586771718847,0.525840281799334,0.604898958971219,"ARRB1","CXCL12"
"ENSG00000065618.22","ENSG00000141404.17",0.194331204619018,0.716037735849057,0.521706531230038,0.716037735849057,"COL17A1","GNAL"
"ENSG00000134247.11","ENSG00000049323.17",0.137083369783921,0.657018453244868,0.519935083460947,0.657018453244868,"PTGFRN","LTBP1"
"ENSG00000141404.17","ENSG00000062038.16",0.0884437057125361,0.607785610615799,0.519341904903263,0.607785610615799,"GNAL","CDH3"
"ENSG00000165731.23","ENSG00000133110.16",0.0860292187910069,0.602477710968277,0.51644849217727,0.602477710968277,"RET","POSTN"
"ENSG00000138185.21","ENSG00000102468.12",0.110139095442219,0.62533692722372,0.515197831781501,0.62533692722372,"ENTPD1","HTR2A"
"ENSG00000179954.16","ENSG00000164932.14",0.127180474149243,0.63966410947543,0.512483635326187,0.63966410947543,"SSC5D","CTHRC1"
"ENSG00000115756.14","ENSG00000141404.17",-0.264561280727845,-0.771148662658097,-0.506587381930251,0.771148662658097,"HPCAL1","GNAL"
"ENSG00000115756.14","ENSG00000138821.15",0.117172600822325,0.623408666804893,0.506236065982568,0.623408666804893,"HPCAL1","SLC39A8"
"ENSG00000154096.15","ENSG00000145824.14",0.632718047414924,0.126923076923077,-0.505794970491847,0.632718047414924,"THY1","CXCL14"
"ENSG00000105664.12","ENSG00000160161.10",0.191706762313008,0.696921003524777,0.505214241211768,0.696921003524777,"COMP","CILP2"
"ENSG00000128606.14","ENSG00000089472.19",0.199475111538798,0.703120464441219,0.503645352902421,0.703120464441219,"LRRC17","HEPH"
"ENSG00000179954.16","ENSG00000160161.10",0.282932376869915,0.785154468173336,0.502222091303421,0.785154468173336,"SSC5D","CILP2"
"ENSG00000221866.11","ENSG00000101447.15",0.205598810252821,0.707599004768816,0.502000194515995,0.707599004768816,"PLXNA4","FAM83D"
