"gene_id","degree","gene_label"
"ENSG00000089472.19",8,"HEPH"
"ENSG00000123496.9",6,"IL13RA2"
"ENSG00000134247.11",6,"PTGFRN"
"ENSG00000164932.14",5,"CTHRC1"
"ENSG00000101230.6",4,"ISM1"
"ENSG00000107562.18",4,"CXCL12"
"ENSG00000120820.14",4,"GLT8D2"
"ENSG00000154096.15",4,"THY1"
"ENSG00000160161.10",4,"CILP2"
"ENSG00000179954.16",4,"SSC5D"
"ENSG00000072952.22",3,"IRAG1"
"ENSG00000101825.8",3,"MXRA5"
"ENSG00000138185.21",3,"ENTPD1"
"ENSG00000141404.17",3,"GNAL"
"ENSG00000173068.20",3,"BNC2"
"ENSG00000221866.11",3,"PLXNA4"
"ENSG00000065618.22",2,"COL17A1"
"ENSG00000103742.13",2,"IGDCC4"
"ENSG00000105664.12",2,"COMP"
"ENSG00000111412.6",2,"SPRING1"
"ENSG00000115756.14",2,"HPCAL1"
"ENSG00000119699.9",2,"TGFB3"
"ENSG00000133110.16",2,"POSTN"
"ENSG00000137486.18",2,"ARRB1"
"ENSG00000176834.15",2,"VSIG10"
"ENSG00000181409.15",2,"AATK"
"ENSG00000049323.17",1,"LTBP1"
"ENSG00000062038.16",1,"CDH3"
"ENSG00000101447.15",1,"FAM83D"
"ENSG00000102468.12",1,"HTR2A"
"ENSG00000116141.18",1,"MARK1"
"ENSG00000119535.21",1,"CSF3R"
"ENSG00000128606.14",1,"LRRC17"
"ENSG00000138316.12",1,"ADAMTS14"
"ENSG00000138821.15",1,"SLC39A8"
"ENSG00000143546.11",1,"S100A8"
"ENSG00000145824.14",1,"CXCL14"
"ENSG00000154553.17",1,"PDLIM3"
"ENSG00000164161.11",1,"HHIP"
"ENSG00000164949.9",1,"GEM"
"ENSG00000165731.23",1,"RET"
"ENSG00000169851.17",1,"PCDH7"
"ENSG00000170558.11",1,"CDH2"
"ENSG00000171408.14",1,"PDE7B"
"ENSG00000171951.5",1,"SCG2"
"ENSG00000177181.16",1,"RIMKLA"
"ENSG00000186684.15",1,"CYP27C1"
"ENSG00000204291.13",1,"COL15A1"
"ENSG00000223764.3",1,"LINC02593"
