"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_id","gene_id_noversion","gene_name","gene_label","entrezid","direction"
3.78962320459358,1.75939008397496,14.5630132107295,7.38386873458154e-34,1.49966373999351e-29,66.1128847110941,"ENSG00000211448.14","ENSG00000211448","DIO2","DIO2",1734,"up"
1.61324881678729,5.94531300264802,14.2474941336766,7.51700111401731e-33,6.29411729562691e-29,63.9909622512891,"ENSG00000134247.11","ENSG00000134247","PTGFRN","PTGFRN",5738,"up"
3.65550118259279,2.77315371348954,14.2185916043854,9.29707133770592e-33,6.29411729562691e-29,63.6179890460401,"ENSG00000164694.18","ENSG00000164694","FNDC1","FNDC1",84624,"up"
1.93223460749131,4.97049882527562,14.0298915276821,3.72271665127555e-32,1.89020937968516e-28,62.4053274059838,"ENSG00000115641.20","ENSG00000115641","FHL2","FHL2",2274,"up"
2.91475204419963,0.652184546612282,13.9799441093149,5.37403593435243e-32,2.18293339653396e-28,61.5221965496609,"ENSG00000178401.17","ENSG00000178401","DNAJC22","DNAJC22",79962,"up"
2.64277394316312,7.44557757260407,13.4584214156637,2.47431524327171e-30,8.37555709847473e-27,58.2438381182426,"ENSG00000187955.14","ENSG00000187955","COL14A1","COL14A1",7373,"up"
1.94809021555009,2.16048434875281,13.3750866065315,4.55869376721947e-30,1.32267243446039e-26,57.644293989245,"ENSG00000182463.17","ENSG00000182463","TSHZ2","TSHZ2",128553,"up"
3.15212021788226,1.64302256792796,12.7841541912432,3.43789717030882e-28,8.72796144112152e-25,53.1921837671495,"ENSG00000156103.16","ENSG00000156103","MMP16","MMP16",4325,"up"
2.00104901616706,4.27330354048017,12.7148557911393,5.69958355073443e-28,1.2862060212824e-24,52.8766460901514,"ENSG00000179954.16","ENSG00000179954","SSC5D","SSC5D",284297,"up"
1.50336036849423,6.49370261293942,12.6248105303815,1.09873511278129e-27,2.23153101405879e-24,52.2025417576803,"ENSG00000049323.17","ENSG00000049323","LTBP1","LTBP1",4052,"up"
1.15950917804057,6.36494651073516,12.5511009675097,1.87943150686553e-27,3.47011399131262e-24,51.6654979756657,"ENSG00000138185.21","ENSG00000138185","ENTPD1","ENTPD1",953,"up"
1.24396217354969,4.89930466016302,12.5215158684756,2.33102301727641e-27,3.94525645674032e-24,51.4727525012072,"ENSG00000156011.19","ENSG00000156011","PSD3","PSD3",23362,"up"
3.06477573676379,4.11274091823791,12.2059976785854,2.30588920387391e-26,3.60250844082147e-23,49.2153928956598,"ENSG00000106819.14","ENSG00000106819","ASPN","ASPN",54829,"up"
2.32500071694345,3.59730439559581,12.1845361398075,2.69395494820053e-26,3.9081589284252e-23,49.0619503593976,"ENSG00000149090.14","ENSG00000149090","PAMR1","PAMR1",25891,"up"
3.63258616524389,1.89736160030168,12.1529663745796,3.3862741458184e-26,4.58501519343811e-23,48.7220746230218,"ENSG00000123496.9","ENSG00000123496","IL13RA2","IL13RA2",3598,"up"
