"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_id","gene_id_noversion","gene_name","gene_label","entrezid","direction"
4.08740627256376,1.75939008397496,10.0334660644878,1.14197839628322e-19,2.31935812285121e-15,33.9335084832331,"ENSG00000211448.14","ENSG00000211448","DIO2","DIO2",1734,"up"
4.0325447324113,2.77315371348954,9.82066155250904,4.92468949345645e-19,5.00102218060503e-15,32.4930399274907,"ENSG00000164694.18","ENSG00000164694","FNDC1","FNDC1",84624,"up"
4.66020869565322,1.89736160030168,9.54455144298637,3.22494187291347e-18,2.18328564796242e-14,30.532748129329,"ENSG00000123496.9","ENSG00000123496","IL13RA2","IL13RA2",3598,"up"
5.06289083356988,-0.593347413001587,9.37624747068602,1.00377914416386e-17,5.09668860449201e-14,29.1619745531951,"ENSG00000165376.13","ENSG00000165376","CLDN2","CLDN2",9075,"up"
2.21556767216633,2.16048434875281,9.32263689453441,1.43874869895115e-17,5.84419721513958e-14,29.3142792757468,"ENSG00000182463.17","ENSG00000182463","TSHZ2","TSHZ2",128553,"up"
3.70595890268157,-2.21566101479904,9.26522564624394,2.11356619492787e-17,7.15442156983083e-14,28.0353813006953,"ENSG00000139973.19","ENSG00000139973","SYT16","SYT16",83851,"up"
3.07561355711158,3.01758204208573,9.23697682656623,2.55298662533849e-17,7.4073083372321e-14,28.6414478445809,"ENSG00000244694.8","ENSG00000244694","PTCHD4","PTCHD4",442213,"up"
3.01132848602432,7.44557757260407,8.98222419382909,1.38710895670558e-16,3.5215228638363e-13,27.0955675606292,"ENSG00000187955.14","ENSG00000187955","COL14A1","COL14A1",7373,"up"
3.08963564527951,0.652184546612282,8.94908435037284,1.72619392332601e-16,3.89544428697236e-13,26.5256956981961,"ENSG00000178401.17","ENSG00000178401","DNAJC22","DNAJC22",79962,"up"
1.48102252490831,4.89930466016302,8.86684094176969,2.96578705367832e-16,6.02351350602066e-13,26.3596437021349,"ENSG00000156011.19","ENSG00000156011","PSD3","PSD3",23362,"up"
1.38056654605535,6.36494651073516,8.80235020665806,4.52673882783235e-16,8.358005963025e-13,25.9321813892582,"ENSG00000138185.21","ENSG00000138185","ENTPD1","ENTPD1",953,"up"
1.6128242979795,5.94531300264802,8.43068012286422,5.03746928664646e-15,8.52591676764913e-12,23.5795036914941,"ENSG00000134247.11","ENSG00000134247","PTGFRN","PTGFRN",5738,"up"
3.63140573766892,-1.87536481426704,8.33065301413953,9.5543976159897e-15,1.4926908890827e-11,22.2162327007163,"ENSG00000139330.6","ENSG00000139330","KERA","KERA",11081,"up"
2.62566220217694,3.59730439559581,8.31387142124755,1.06337177870003e-14,1.54264863038555e-11,22.8731398956018,"ENSG00000149090.14","ENSG00000149090","PAMR1","PAMR1",25891,"up"
4.95502448941028,2.03890989229823,8.12408262648028,3.55080283374728e-14,4.80778703689381e-11,21.6126868800219,"ENSG00000123500.10","ENSG00000123500","COL10A1","COL10A1",1300,"up"
1.63193836993648,6.49370261293942,8.11264539902668,3.80579686972937e-14,4.83098340151273e-11,21.5984116540138,"ENSG00000049323.17","ENSG00000049323","LTBP1","LTBP1",4052,"up"
2.10081687632772,4.27330354048017,8.09288356007854,4.30987029078898e-14,5.14902738858378e-11,21.5058859932393,"ENSG00000179954.16","ENSG00000179954","SSC5D","SSC5D",284297,"up"
3.14301966432287,1.55017949741441,7.99724434968825,7.85142258357574e-14,8.85902181513463e-11,20.8133746909312,"ENSG00000125869.11","ENSG00000125869","LAMP5","LAMP5",24141,"up"
2.99759359585542,2.91692482215397,7.97032670267206,9.28916154506439e-14,9.92962478843462e-11,20.7683432210061,"ENSG00000172987.14","ENSG00000172987","HPSE2","HPSE2",60495,"up"
1.82624878065718,4.97049882527562,7.95974608732449,9.92309918493027e-14,1.00638684430695e-10,20.698202767737,"ENSG00000115641.20","ENSG00000115641","FHL2","FHL2",2274,"up"
2.80389998469022,3.56374270692166,7.95212946977289,1.04057723931295e-13,1.00638684430695e-10,20.6637977610545,"ENSG00000117600.15","ENSG00000117600","PLPPR4","PLPPR4",9890,"up"
1.99354483181592,6.02411853082432,7.90594122006921,1.38720517899563e-13,1.28064259933642e-10,20.3416407491084,"ENSG00000164171.12","ENSG00000164171","ITGA2","ITGA2",3673,"up"
1.32182217397879,5.35416863694626,7.77459232815844,3.12718207729621e-13,2.7614377386907e-10,19.5566584346958,"ENSG00000168675.20","ENSG00000168675","LDLRAD4","LDLRAD4",753,"up"
1.94148848216936,2.21304131637325,7.7530016396979,3.57175375063098e-13,3.02259661147146e-10,19.4676482065828,"ENSG00000237807.5","ENSG00000237807","LINC02984","LINC02984",100507516,"up"
-5.5965602529548,-1.79771905117639,-7.71993915865736,4.37640062580702e-13,3.55538786840563e-10,18.6414040690352,"ENSG00000298205.1","ENSG00000298205","ENSG00000298205","ENSG00000298205",NA,"down"
3.31974550389318,-1.69948716065542,7.70668298530052,4.74720476618212e-13,3.70829726158304e-10,18.8240396211274,"ENSG00000198515.17","ENSG00000198515","CNGA1","CNGA1",1259,"up"
-2.24087145784212,4.45449882993096,-7.68027926339026,5.58076057765127e-13,4.19695447951378e-10,19.0305705284217,"ENSG00000181409.15","ENSG00000181409","AATK","AATK",9625,"down"
1.34376402643281,2.50026143422972,7.67437630377761,5.78605245821693e-13,4.19695447951378e-10,18.9804167914896,"ENSG00000161381.15","ENSG00000161381","PLXDC1","PLXDC1",57125,"up"
3.06391818933512,1.64302256792796,7.62980060722027,7.59707214679082e-13,5.27941897661003e-10,18.6886445900647,"ENSG00000156103.16","ENSG00000156103","MMP16","MMP16",4325,"up"
3.1448055925132,4.11274091823791,7.62551474305194,7.79825550459384e-13,5.27941897661003e-10,18.7170222946327,"ENSG00000106819.14","ENSG00000106819","ASPN","ASPN",54829,"up"
1.82279289730585,7.03010684210232,7.61901156985529,8.11361998433611e-13,5.31572973812472e-10,18.6061038545766,"ENSG00000143341.12","ENSG00000143341","HMCN1","HMCN1",83872,"up"
-1.60156254506496,4.3432489176502,-7.56559723051698,1.12286384200745e-12,7.12667644724104e-10,18.2928541795157,"ENSG00000115756.14","ENSG00000115756","HPCAL1","HPCAL1",3241,"down"
2.71371860417385,-2.14968617114618,7.55801805882958,1.17572622932388e-12,7.23606052047514e-10,17.8263317615166,"ENSG00000227906.11","ENSG00000227906","SNAP25-AS1","SNAP25-AS1",100131208,"up"
3.43826097376566,-0.871927186530226,7.53614140458252,1.34249516056971e-12,8.01943432681494e-10,17.8353556130833,"ENSG00000071909.19","ENSG00000071909","MYO3B","MYO3B",140469,"up"
2.6420917517413,-1.27433938510048,7.51483436874448,1.5273238768851e-12,8.86284226843894e-10,17.754225004485,"ENSG00000308504.1","ENSG00000308504","ENSG00000308504","ENSG00000308504",NA,"up"
3.16351097657293,2.01737974867871,7.46126623195894,2.11047621274595e-12,1.19066033002417e-09,17.7237114031192,"ENSG00000132639.16","ENSG00000132639","SNAP25","SNAP25",6616,"up"
1.98973813620034,1.25090200089653,7.41764367725744,2.74373009710284e-12,1.50608535870699e-09,17.4998056149665,"ENSG00000175928.7","ENSG00000175928","LRRN1","LRRN1",57633,"up"
3.40273173178724,0.123975135785427,7.39225596441692,3.19516482554303e-12,1.70773151596787e-09,17.2845786423998,"ENSG00000171004.19","ENSG00000171004","HS6ST2","HS6ST2",90161,"up"
