"contrast","genes_tested","fdr_005","fdr_005_lfc1","top_gene","top_logFC","top_fdr"
"disease_female",20310,4851,2353,"DIO2",4.08740627256376,2.31935812285121e-15
"disease_male",20310,7896,2175,"FHL2",2.03822043432544,1.2169933254714e-28
"disease_average",20310,8896,2443,"DIO2",3.78962320459358,1.49966373999351e-29
"sex_healthy",20310,82,47,"TTTY14",5.96032934790645,7.31514368755012e-21
"sex_ipf",20310,47,33,"XIST",-10.1604079994219,5.61780099235836e-33
"disease_sex_interaction",20310,10,10,"CUTALP",-1.74830563267797,0.000572303632042204
"age_disease_female",20310,4,4,"ENSG00000288985",-1.9836900936144,0.0421020336196266
"age_disease_male",20310,10,5,"ENSG00000275993",-1.50547679519938,9.59468695585573e-05
"age_disease_average",20310,13,6,"ENSG00000234156",-2.01229099399687,4.76573036570361e-05
"age_sex_healthy",20310,179,32,"ENSG00000275993",1.77768083200918,5.48906271037567e-07
"age_sex_ipf",20310,2,2,"ENSG00000307802",5.65562394354801,0.0435998685598738
