logFC,AveExpr,t,P.Value,adj.P.Val,B,gene_id,gene_id_noversion,gene_name,gene_label,entrezid,direction,panel_rank,panel_name
3.78962320459358,1.75939008397496,14.5630132107295,7.38386873458154e-34,1.49966373999351e-29,66.1128847110941,ENSG00000211448.14,ENSG00000211448,DIO2,DIO2,1734.0,up,1,top_10
1.61324881678729,5.94531300264802,14.2474941336766,7.51700111401731e-33,6.294117295626909e-29,63.9909622512891,ENSG00000134247.11,ENSG00000134247,PTGFRN,PTGFRN,5738.0,up,2,top_10
3.65550118259279,2.77315371348954,14.2185916043854,9.29707133770592e-33,6.294117295626909e-29,63.6179890460401,ENSG00000164694.18,ENSG00000164694,FNDC1,FNDC1,84624.0,up,3,top_10
1.93223460749131,4.97049882527562,14.0298915276821,3.72271665127555e-32,1.89020937968516e-28,62.4053274059838,ENSG00000115641.20,ENSG00000115641,FHL2,FHL2,2274.0,up,4,top_10
2.91475204419963,0.652184546612282,13.9799441093149,5.37403593435243e-32,2.18293339653396e-28,61.5221965496609,ENSG00000178401.17,ENSG00000178401,DNAJC22,DNAJC22,79962.0,up,5,top_10
2.64277394316312,7.44557757260407,13.4584214156637,2.4743152432717097e-30,8.37555709847473e-27,58.2438381182426,ENSG00000187955.14,ENSG00000187955,COL14A1,COL14A1,7373.0,up,6,top_10
1.94809021555009,2.16048434875281,13.3750866065315,4.5586937672194695e-30,1.32267243446039e-26,57.644293989245,ENSG00000182463.17,ENSG00000182463,TSHZ2,TSHZ2,128553.0,up,7,top_10
3.15212021788226,1.64302256792796,12.7841541912432,3.43789717030882e-28,8.727961441121521e-25,53.1921837671495,ENSG00000156103.16,ENSG00000156103,MMP16,MMP16,4325.0,up,8,top_10
2.00104901616706,4.27330354048017,12.7148557911393,5.69958355073443e-28,1.2862060212824001e-24,52.8766460901514,ENSG00000179954.16,ENSG00000179954,SSC5D,SSC5D,284297.0,up,9,top_10
1.50336036849423,6.49370261293942,12.6248105303815,1.09873511278129e-27,2.23153101405879e-24,52.2025417576803,ENSG00000049323.17,ENSG00000049323,LTBP1,LTBP1,4052.0,up,10,top_10
3.78962320459358,1.75939008397496,14.5630132107295,7.38386873458154e-34,1.49966373999351e-29,66.1128847110941,ENSG00000211448.14,ENSG00000211448,DIO2,DIO2,1734.0,up,1,top_25
1.61324881678729,5.94531300264802,14.2474941336766,7.51700111401731e-33,6.294117295626909e-29,63.9909622512891,ENSG00000134247.11,ENSG00000134247,PTGFRN,PTGFRN,5738.0,up,2,top_25
3.65550118259279,2.77315371348954,14.2185916043854,9.29707133770592e-33,6.294117295626909e-29,63.6179890460401,ENSG00000164694.18,ENSG00000164694,FNDC1,FNDC1,84624.0,up,3,top_25
1.93223460749131,4.97049882527562,14.0298915276821,3.72271665127555e-32,1.89020937968516e-28,62.4053274059838,ENSG00000115641.20,ENSG00000115641,FHL2,FHL2,2274.0,up,4,top_25
2.91475204419963,0.652184546612282,13.9799441093149,5.37403593435243e-32,2.18293339653396e-28,61.5221965496609,ENSG00000178401.17,ENSG00000178401,DNAJC22,DNAJC22,79962.0,up,5,top_25
2.64277394316312,7.44557757260407,13.4584214156637,2.4743152432717097e-30,8.37555709847473e-27,58.2438381182426,ENSG00000187955.14,ENSG00000187955,COL14A1,COL14A1,7373.0,up,6,top_25
1.94809021555009,2.16048434875281,13.3750866065315,4.5586937672194695e-30,1.32267243446039e-26,57.644293989245,ENSG00000182463.17,ENSG00000182463,TSHZ2,TSHZ2,128553.0,up,7,top_25
3.15212021788226,1.64302256792796,12.7841541912432,3.43789717030882e-28,8.727961441121521e-25,53.1921837671495,ENSG00000156103.16,ENSG00000156103,MMP16,MMP16,4325.0,up,8,top_25
2.00104901616706,4.27330354048017,12.7148557911393,5.69958355073443e-28,1.2862060212824001e-24,52.8766460901514,ENSG00000179954.16,ENSG00000179954,SSC5D,SSC5D,284297.0,up,9,top_25
1.50336036849423,6.49370261293942,12.6248105303815,1.09873511278129e-27,2.23153101405879e-24,52.2025417576803,ENSG00000049323.17,ENSG00000049323,LTBP1,LTBP1,4052.0,up,10,top_25
1.15950917804057,6.36494651073516,12.5511009675097,1.87943150686553e-27,3.47011399131262e-24,51.6654979756657,ENSG00000138185.21,ENSG00000138185,ENTPD1,ENTPD1,953.0,up,11,top_25
1.24396217354969,4.89930466016302,12.5215158684756,2.33102301727641e-27,3.94525645674032e-24,51.4727525012072,ENSG00000156011.19,ENSG00000156011,PSD3,PSD3,23362.0,up,12,top_25
3.06477573676379,4.11274091823791,12.2059976785854,2.30588920387391e-26,3.60250844082147e-23,49.2153928956598,ENSG00000106819.14,ENSG00000106819,ASPN,ASPN,54829.0,up,13,top_25
2.32500071694345,3.59730439559581,12.1845361398075,2.69395494820053e-26,3.9081589284252e-23,49.0619503593976,ENSG00000149090.14,ENSG00000149090,PAMR1,PAMR1,25891.0,up,14,top_25
3.63258616524389,1.89736160030168,12.1529663745796,3.3862741458184e-26,4.58501519343811e-23,48.7220746230218,ENSG00000123496.9,ENSG00000123496,IL13RA2,IL13RA2,3598.0,up,15,top_25
2.41167788969098,3.01758204208573,12.1150753807632,4.45538023152591e-26,5.655548281393199e-23,48.5295438152696,ENSG00000244694.8,ENSG00000244694,PTCHD4,PTCHD4,442213.0,up,16,top_25
4.52882747782737,2.03890989229823,11.9979742774518,1.0487221998180602e-25,1.25291458107675e-22,47.5965824336032,ENSG00000123500.10,ENSG00000123500,COL10A1,COL10A1,1300.0,up,17,top_25
-1.98784478389006,4.45449882993096,-11.899424486583,2.1174239883102102e-25,2.38916006681002e-22,47.0305023300789,ENSG00000181409.15,ENSG00000181409,AATK,AATK,9625.0,down,18,top_25
2.07985920266383,2.01549470169233,11.7474198468453,6.33221545285862e-25,6.76880504460834e-22,45.8933482883003,ENSG00000168453.17,ENSG00000168453,HR,HR,55806.0,up,19,top_25
2.82131783514213,1.61252532731038,11.7276903477004,7.2982028478187e-25,7.41132499195989e-22,45.6743153053737,ENSG00000105696.10,ENSG00000105696,TMEM59L,TMEM59L,25789.0,up,20,top_25
3.19088806739876,-0.871927186530226,11.7164823931235,7.911057048597e-25,7.651122317000239e-22,45.2572383685963,ENSG00000071909.19,ENSG00000071909,MYO3B,MYO3B,140469.0,up,21,top_25
1.94228473860996,4.38865034509425,11.7022890485334,8.761347425778581e-25,8.08831664625286e-22,45.632868503748,ENSG00000101230.6,ENSG00000101230,ISM1,ISM1,140862.0,up,22,top_25
1.16687459667322,5.35416863694626,11.6358941388746,1.41196225718138e-24,1.24682406275451e-21,45.125712281401,ENSG00000168675.20,ENSG00000168675,LDLRAD4,LDLRAD4,753.0,up,23,top_25
2.01398797062669,5.97142351352007,11.5951396703679,1.89197327523733e-24,1.5725078478557002e-21,44.8271794247322,ENSG00000137573.15,ENSG00000137573,SULF1,SULF1,23213.0,up,24,top_25
1.2257503067085,2.50026143422972,11.591961221859,1.93563250597698e-24,1.5725078478557002e-21,44.8418622342912,ENSG00000161381.15,ENSG00000161381,PLXDC1,PLXDC1,57125.0,up,25,top_25
3.78962320459358,1.75939008397496,14.5630132107295,7.38386873458154e-34,1.49966373999351e-29,66.1128847110941,ENSG00000211448.14,ENSG00000211448,DIO2,DIO2,1734.0,up,1,top_50
1.61324881678729,5.94531300264802,14.2474941336766,7.51700111401731e-33,6.294117295626909e-29,63.9909622512891,ENSG00000134247.11,ENSG00000134247,PTGFRN,PTGFRN,5738.0,up,2,top_50
3.65550118259279,2.77315371348954,14.2185916043854,9.29707133770592e-33,6.294117295626909e-29,63.6179890460401,ENSG00000164694.18,ENSG00000164694,FNDC1,FNDC1,84624.0,up,3,top_50
1.93223460749131,4.97049882527562,14.0298915276821,3.72271665127555e-32,1.89020937968516e-28,62.4053274059838,ENSG00000115641.20,ENSG00000115641,FHL2,FHL2,2274.0,up,4,top_50
2.91475204419963,0.652184546612282,13.9799441093149,5.37403593435243e-32,2.18293339653396e-28,61.5221965496609,ENSG00000178401.17,ENSG00000178401,DNAJC22,DNAJC22,79962.0,up,5,top_50
2.64277394316312,7.44557757260407,13.4584214156637,2.4743152432717097e-30,8.37555709847473e-27,58.2438381182426,ENSG00000187955.14,ENSG00000187955,COL14A1,COL14A1,7373.0,up,6,top_50
1.94809021555009,2.16048434875281,13.3750866065315,4.5586937672194695e-30,1.32267243446039e-26,57.644293989245,ENSG00000182463.17,ENSG00000182463,TSHZ2,TSHZ2,128553.0,up,7,top_50
3.15212021788226,1.64302256792796,12.7841541912432,3.43789717030882e-28,8.727961441121521e-25,53.1921837671495,ENSG00000156103.16,ENSG00000156103,MMP16,MMP16,4325.0,up,8,top_50
2.00104901616706,4.27330354048017,12.7148557911393,5.69958355073443e-28,1.2862060212824001e-24,52.8766460901514,ENSG00000179954.16,ENSG00000179954,SSC5D,SSC5D,284297.0,up,9,top_50
1.50336036849423,6.49370261293942,12.6248105303815,1.09873511278129e-27,2.23153101405879e-24,52.2025417576803,ENSG00000049323.17,ENSG00000049323,LTBP1,LTBP1,4052.0,up,10,top_50
1.15950917804057,6.36494651073516,12.5511009675097,1.87943150686553e-27,3.47011399131262e-24,51.6654979756657,ENSG00000138185.21,ENSG00000138185,ENTPD1,ENTPD1,953.0,up,11,top_50
1.24396217354969,4.89930466016302,12.5215158684756,2.33102301727641e-27,3.94525645674032e-24,51.4727525012072,ENSG00000156011.19,ENSG00000156011,PSD3,PSD3,23362.0,up,12,top_50
3.06477573676379,4.11274091823791,12.2059976785854,2.30588920387391e-26,3.60250844082147e-23,49.2153928956598,ENSG00000106819.14,ENSG00000106819,ASPN,ASPN,54829.0,up,13,top_50
2.32500071694345,3.59730439559581,12.1845361398075,2.69395494820053e-26,3.9081589284252e-23,49.0619503593976,ENSG00000149090.14,ENSG00000149090,PAMR1,PAMR1,25891.0,up,14,top_50
3.63258616524389,1.89736160030168,12.1529663745796,3.3862741458184e-26,4.58501519343811e-23,48.7220746230218,ENSG00000123496.9,ENSG00000123496,IL13RA2,IL13RA2,3598.0,up,15,top_50
2.41167788969098,3.01758204208573,12.1150753807632,4.45538023152591e-26,5.655548281393199e-23,48.5295438152696,ENSG00000244694.8,ENSG00000244694,PTCHD4,PTCHD4,442213.0,up,16,top_50
4.52882747782737,2.03890989229823,11.9979742774518,1.0487221998180602e-25,1.25291458107675e-22,47.5965824336032,ENSG00000123500.10,ENSG00000123500,COL10A1,COL10A1,1300.0,up,17,top_50
-1.98784478389006,4.45449882993096,-11.899424486583,2.1174239883102102e-25,2.38916006681002e-22,47.0305023300789,ENSG00000181409.15,ENSG00000181409,AATK,AATK,9625.0,down,18,top_50
2.07985920266383,2.01549470169233,11.7474198468453,6.33221545285862e-25,6.76880504460834e-22,45.8933482883003,ENSG00000168453.17,ENSG00000168453,HR,HR,55806.0,up,19,top_50
