held_out_inner_study,balanced_accuracy,sensitivity,specificity,precision,roc_auc,n_validation,candidate_c,candidate_l1_ratio,candidate_param_label,panel_name,outer_held_out_study
GSE213001,1.0,1.0,1.0,1.0,1.0,101,0.01,0.25,"C=0.01, l1_ratio=0.25",top_10,GSE73189
GSE138239,1.0,1.0,1.0,1.0,1.0,15,0.01,0.25,"C=0.01, l1_ratio=0.25",top_10,GSE73189
GSE184316,0.65,0.3,1.0,1.0,1.0,16,0.01,0.25,"C=0.01, l1_ratio=0.25",top_10,GSE73189
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,0.01,0.25,"C=0.01, l1_ratio=0.25",top_10,GSE73189
mean,0.9055555555555556,,,,,166,0.01,0.25,"C=0.01, l1_ratio=0.25",top_10,GSE73189
GSE213001,0.9615384615384616,1.0,0.9230769230769231,0.9538461538461539,1.0,101,0.1,0.25,"C=0.1, l1_ratio=0.25",top_10,GSE73189
GSE138239,1.0,1.0,1.0,1.0,1.0,15,0.1,0.25,"C=0.1, l1_ratio=0.25",top_10,GSE73189
GSE184316,0.65,0.3,1.0,1.0,1.0,16,0.1,0.25,"C=0.1, l1_ratio=0.25",top_10,GSE73189
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,0.1,0.25,"C=0.1, l1_ratio=0.25",top_10,GSE73189
mean,0.895940170940171,,,,,166,0.1,0.25,"C=0.1, l1_ratio=0.25",top_10,GSE73189
GSE213001,0.9358974358974359,1.0,0.8717948717948718,0.9253731343283582,1.0,101,1.0,0.25,"C=1, l1_ratio=0.25",top_10,GSE73189
GSE138239,1.0,1.0,1.0,1.0,1.0,15,1.0,0.25,"C=1, l1_ratio=0.25",top_10,GSE73189
GSE184316,0.75,0.5,1.0,1.0,1.0,16,1.0,0.25,"C=1, l1_ratio=0.25",top_10,GSE73189
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,1.0,0.25,"C=1, l1_ratio=0.25",top_10,GSE73189
mean,0.9145299145299146,,,,,166,1.0,0.25,"C=1, l1_ratio=0.25",top_10,GSE73189
GSE213001,0.9102564102564102,1.0,0.8205128205128205,0.8985507246376812,1.0,101,10.0,0.25,"C=10, l1_ratio=0.25",top_10,GSE73189
GSE138239,1.0,1.0,1.0,1.0,1.0,15,10.0,0.25,"C=10, l1_ratio=0.25",top_10,GSE73189
GSE184316,0.75,0.5,1.0,1.0,1.0,16,10.0,0.25,"C=10, l1_ratio=0.25",top_10,GSE73189
GSE199949,0.9722222222222222,0.9444444444444444,1.0,1.0,1.0,34,10.0,0.25,"C=10, l1_ratio=0.25",top_10,GSE73189
