"analysis","contrast","genes_compared","pearson_logFC","spearman_logFC","shared_sig","baseline_sig","current_sig","baseline_only","current_only"
"exclude_GSE184316","disease_average",20310,0.992163851014604,0.98157427426679,2323,2443,2528,120,205
"exclude_GSE184316","disease_female",20310,0.99799734687222,0.996257063273719,2173,2353,2350,180,177
"exclude_GSE184316","disease_male",20310,0.971256069196978,0.948992676253517,1760,2175,2036,415,276
"no_age","disease_average",20310,0.974289962931381,0.955609642674141,2219,2443,2602,224,383
"no_age","disease_female",20310,0.941439434846484,0.914605265492038,1973,2353,2751,380,778
"no_age","disease_male",20310,0.970321104885237,0.946428609248965,2011,2175,2520,164,509
"leave_out_GSE138239","disease_average",20310,0.988824686276083,0.973621147148852,2139,2443,2229,304,90
"leave_out_GSE138239","disease_female",20310,0.973738043281481,0.95082451835776,1552,2353,1650,801,98
"leave_out_GSE138239","disease_male",20310,0.996313251704553,0.991004179582454,2063,2175,2150,112,87
"leave_out_GSE184316","disease_average",20310,0.992163851014604,0.98157427426679,2323,2443,2528,120,205
"leave_out_GSE184316","disease_female",20310,0.99799734687222,0.996257063273719,2173,2353,2350,180,177
"leave_out_GSE184316","disease_male",20310,0.971256069196978,0.948992676253517,1760,2175,2036,415,276
"leave_out_GSE199949","disease_average",20310,0.996395942464389,0.992245272656169,2323,2443,2394,120,71
"leave_out_GSE199949","disease_female",20310,0.998637047629146,0.997806223937291,2251,2353,2381,102,130
"leave_out_GSE199949","disease_male",20310,0.988622967594142,0.979350489741796,1979,2175,2132,196,153
"leave_out_GSE213001","disease_average",20310,0.773597952371242,0.70214837196509,359,2443,575,2084,216
"leave_out_GSE213001","disease_female",20310,0.645207517066978,0.579359147527446,0,2353,0,2353,0
"leave_out_GSE213001","disease_male",20310,0.854395169524146,0.817702863160841,1077,2175,1438,1098,361
"leave_out_GSE73189","disease_average",20310,0.99899254247048,0.998383755815178,2438,2443,2622,5,184
"leave_out_GSE73189","disease_female",20310,0.999072235067344,0.998521619664765,2324,2353,2483,29,159
"leave_out_GSE73189","disease_male",20310,0.995625174597515,0.993050652433939,2149,2175,2458,26,309
